step,log_relative_activation,relative_activation,actual_activation_x,actual_activation_y,actual_activation_z,activation_error,loss,point_to_point_l2,point_to_point_rmse,point_to_point_inf,activation_diff_l2,activation_diff_inf,inverse_grad,inverse_grad_abs,adjoint_success,adjoint_relative_residual,forward_success,forward_result,forward_n_steps,forward_grad_norm,forward_relative_grad_norm,forward_objective,forward_best_objective,finite_outputs
1,0.0,1.0,1.3,0.5917159763313609,1.3,-1.0,5.930123553874659,86.94591920250177,0.3272994674877315,1.468124728994359,138.54609341298652,1.3,-10.356870422848518,10.356870422848518,True,9.976663539042553e-07,True,target_converged,1110,0.0099676741475024,9.935246132601607e-06,1029.8973860628137,1029.8973860628137,True
2,0.04999999995172288,1.0512710963252716,1.3666524252228531,0.5917159763313609,1.3,-0.9487289036747284,5.408415184623387,83.04751142252249,0.3126242900654824,1.3990624717408309,131.44268331211924,1.233347574777147,-10.576370922058649,10.576370922058649,True,9.89123910599094e-07,True,target_converged,656,0.0014389242790439555,9.95938927368902e-06,1047.659675517216,1047.659675517216,True
3,0.10002458152104376,1.1051980851917305,1.4367575107492496,0.5917159763313609,1.3,-0.8948019148082695,4.874973863022609,78.85835532270468,0.2968546188345651,1.3257065907507362,123.97130967514579,1.1632424892507505,-10.73989279360051,10.73989279360051,True,9.972666546117275e-07,True,target_converged,660,0.0014872664666230578,9.952489995119348e-06,1067.8117755331102,1067.8117755331102,True
4,0.15008187285060745,1.1619293693037573,1.5105081800948845,0.5917159763313609,1.3,-0.8380706306962427,4.334764268227267,74.37211241006811,0.2799665931538347,1.2479956091385103,116.11141188712222,1.0894918199051156,-10.829802730671515,10.829802730671515,True,9.91114818032733e-07,True,target_converged,670,0.0015056425255766384,9.74568492272402e-06,1090.4003889123026,1090.4003889123026,True
5,0.20017067683146117,1.2216112411039686,1.5880946134351592,0.5917159763313609,1.3,-0.7783887588960314,3.7920251906135296,69.57034046494374,0.2618907890787021,1.1657313558885223,107.84272170162826,1.0119053865648409,-10.824552336733547,10.824552336733547,True,9.575093847400924e-07,True,target_converged,672,0.0015090033038250897,9.454522383119664e-06,1115.466674916682,1115.466674916682,True
6,0.25027663631343633,1.2843806738816272,1.6696948760461154,0.5917159763313609,1.3,-0.7156193261183728,3.252230365156253,64.43694626724522,0.2425666252453408,1.0787519914182537,99.14626200453453,0.9303051239538846,-10.700559891022992,10.700559891022992,True,9.383763370358093e-07,True,target_converged,678,0.0016111485151538503,9.781645272200915e-06,1143.0399456293942,1143.0399456293942,True
7,0.30036713653604724,1.3503544810471224,1.7554608253612591,0.5917159763313609,1.3,-0.6496455189528776,2.7222818189522235,58.960505455942226,0.22195109575633892,0.9869658276986808,90.00584875417353,0.844539174638741,-10.43278116768527,10.43278116768527,True,9.671652355290572e-07,True,target_converged,682,0.0016439654687723827,9.686639839903982e-06,1173.129140796555,1173.129140796555,True
8,0.35038436759435154,1.4196130970119825,1.8454970261155772,0.5917159763313609,1.3,-0.5803869029880175,2.210586716352338,53.13649773492541,0.2000271843960644,0.8903840210696966,80.41033807705185,0.7545029738844229,-9.996144138789592,9.996144138789592,True,9.627933565474003e-07,True,target_converged,696,0.0016737249296821593,9.592389695211454e-06,1205.7113463781952,1205.7113463781952,True
9,0.4002359535026379,1.4921767404352324,1.939829762565802,0.5917159763313609,1.3,-0.5078232595647676,1.7270706860814107,46.97130109561815,0.17681890049371474,0.7891741313511458,70.35692875694765,0.660170237434198,-9.368167468466272,9.368167468466272,True,9.922154631276698e-07,True,target_converged,708,0.001762329595706691,9.854315987101398e-06,1240.7164855166961,1240.7164855166961,True
10,0.4497826342361647,1.5679713251610625,2.0383627227093815,0.5917159763313609,1.3,-0.4320286748389375,1.2827681666757047,40.48404232103142,0.1523982449660858,0.6836936651844691,59.85588514132422,0.5616372772906186,-8.53141304455209,8.53141304455209,True,9.73553575341662e-07,True,target_converged,724,0.0018241587162051876,9.993967271770547e-06,1278.0072671051626,1278.0072671051626,True
11,0.4988223526496632,1.6467808012828402,2.1408150416676923,0.5917159763313609,1.3,-0.3532191987171598,0.8893275788994323,33.710792633422926,0.12690100442564747,0.5745510607491464,48.93714010072788,0.45918495833230777,-7.47647148076911,7.47647148076911,True,9.887212623860353e-07,True,target_converged,738,0.001814612218242801,9.797487145324404e-06,1317.3534424170105,1317.3534424170105,True
12,0.5470705003180485,1.7281828838068471,2.2466377489489013,0.5917159763313609,1.3,-0.27181711619315285,0.5583295627174117,26.712435654082704,0.10055636935091479,0.46469401322795045,37.65919957134519,0.35336225105109875,-6.206093656940998,6.206093656940998,True,9.850441669516964e-07,True,target_converged,753,0.0018135395808724685,9.726392605035377e-06,1358.3999852427635,1358.3999852427635,True
