expression,min_relative_area_change,mean_relative_area_change,max_relative_area_change
MouthOpen,-0.8096311577963186,0.03633917553328655,15.741860983266928
BrowDownLeft,-0.5340471559289033,-0.003628955477411169,0.43619469934737887
NeckCompression,-0.21661431312636326,-0.0008521220170917895,0.2308093586975304
EyeClosedBrowUpLeft,-0.7092591207913428,0.008995085529869697,3.286366713757082
EyeClosedRight,-0.7676761834778676,0.007398124446087938,3.5448635430217
EyeClosedLeft,-0.7383697789470246,0.0049332495210195355,3.779329255249369
EyesUpMax,-0.5248048043109602,0.006806443229988871,1.8290027382754461
EyesDown,-0.8108885122036514,0.018266763959441126,4.398054917391444
JawFront,-0.6672096793765587,0.03293702456437836,3.634950393585588
EyesUp,-0.41854281329505927,-0.0004120689937725661,0.9568933246215892
MouthOpenSlightly,-0.9302666020148486,0.014343653091255803,8.842814314431688
Scream,-0.8105945899194316,0.04037982350964553,34.32827593391882
Smile,-0.9545843344570981,0.01791800020769731,15.513033660865602
EyeScrewedUpLeft,-0.6638523681953551,-0.0041118089965813944,0.35819392833250374
BrowUpLeft,-0.46040873170842267,0.012770213795093193,2.9649393405278825
LipsFunnel,-0.7451367968737308,0.0028755051653410395,7.206601475167151
LipsRight,-0.7582898443055404,-0.0048242257284706455,4.557379886893489
JawLeft,-0.7118861319733203,0.016874742952186172,2.08628135085438
MouthOpenMax,-0.7807226242046764,0.03823708754044654,34.24526629300426
BrowUpRight,-0.45785111566382786,0.012811935476153039,2.5228895647807374
EyesRight,-0.5299215764371898,0.0015125932953839085,0.6750115883658587
EyesLeft,-0.5117651512387176,0.0018079509845995375,0.9469206780221497
BrowDownRight,-0.5377578701440857,-0.00404600280344876,0.41540210606156713
LipsPressed,-0.8566524589745694,0.014316172025870181,3.893159106492573
LipsCornersDown,-0.6797561249248208,0.006227340141073612,6.394208816093518
EyeScrewedUpRight,-0.7924156260105019,-0.004936155836008744,0.3865993199640625
LipsLeft,-0.8105425607532271,-0.002462305662786651,4.315844777482252
Compressed,-0.9438501685165289,-0.028167888252843446,3.107737301374569
LowerLipBack,-0.8327597481288382,-0.01013709857426995,1.846403756918785
Puff,-0.6832440387040954,0.010817921718464782,2.1262659706057643
EyeClosedBrowUpRight,-0.6847279987910222,0.01142049921904076,3.5407568604897044
Extra_Funnel,-0.895446072286436,0.030180773033065524,16.11929290383907
LipsDisgust,-0.8038163588702032,-0.009124462958848936,3.791096863414017
LowerLipFront,-0.9175413555812871,0.002578148636957365,3.8716716238889113
JawRight,-0.8193703324009181,0.016811310369250883,6.381597229232701
SmileClosed,-0.7631953272886739,0.009311238939538174,4.138965845686418
