triangle_id,point_id_0,point_id_1,point_id_2,base_area,min_relative_area_change,min_expression,max_relative_area_change,max_expression
0,658,372820,507865,1.5442268064572631e-06,-0.037387730646040063,Smile,0.046989931474626712,Compressed
1,658,209644,174505,1.792110986888894e-06,-0.034527163674246353,Smile,0.049898406708882792,Compressed
2,658,174505,372820,2.1345404067119014e-06,-0.037431408809749489,Smile,0.047044726961736227,Compressed
3,690,209565,383003,1.9959262936111243e-06,-0.038996880258324929,Smile,0.038832327569980452,Compressed
4,690,341590,209565,2.294065609158118e-06,-0.039715585590332281,Smile,0.038018831662157693,Compressed
5,770,271928,397098,2.0220859516863606e-06,-0.010074997297376709,Smile,0.079460761161896265,Compressed
6,770,372821,373552,1.7290987315003649e-06,-0.012442734566085245,Smile,0.071821701246890912,Compressed
7,770,373552,271928,1.5000564252075593e-06,-0.011456063362440094,Smile,0.077812825480626069,Compressed
8,770,397098,507884,1.5041869645140011e-06,-0.024406768041958071,Smile,0.075982739637485475,Compressed
9,770,507884,360315,1.3767942125543232e-06,-0.032261231608265217,Smile,0.063243582816226773,Compressed
10,770,511221,372821,1.688927713320407e-06,-0.02884083509826374,Smile,0.067547246249547666,Compressed
11,770,360315,511221,1.5447129608714569e-06,-0.032298784615182208,Smile,0.063169415864223089,Compressed
12,771,383004,378066,1.8014699439433541e-06,-0.033276634638032765,Smile,0.046535964464051727,Compressed
13,771,408566,372075,2.1056050902936407e-06,-0.030358417156763018,Smile,0.050244420803726708,Compressed
14,771,372075,217864,2.6005572916821812e-06,-0.030334009157929609,Smile,0.050277879809931925,Compressed
15,771,217864,383004,2.3942758796041458e-06,-0.030754294563079765,Smile,0.049404445139888065,Compressed
16,771,378066,408566,1.9408109527100949e-06,-0.032778510252104986,Smile,0.048002613764096314,Compressed
17,777,13253,12775,1.3711542571793722e-06,-0.25264302756552359,LipsFunnel,0.32149403350574568,LipsPressed
18,777,13342,13536,1.1992450785171688e-06,-0.26527477000997413,LipsFunnel,0.36959788681220296,Scream
