candidate,display_name,origin,young_min_scale,prestrain_gain,step,target/error_rms_fraction_of_target,target/error_rms_m,target/error_rms_mm,bumpiness/contraction_target_relative_dihedral_rms_rad,bumpiness/contraction_target_relative_dihedral_rms_deg,bumpiness/displacement_laplacian_rms_m,bumpiness/displacement_laplacian_rms_mm,warning/inverted_tets,warning/inverted_tet_fraction,warning/detF_min,warning/skin_folded_triangles,warning/skin_folded_triangle_fraction,warning/skin_signed_normal_ratio_min,warning/has_inversion_or_fold,warning/text,warning/policy
e100-p000,baseline,reused-2026-08-17,1.0,0.0,0,1.0,0.005310139062299789,5.310139062299789,0.05045580604700007,2.8909047384237616,3.403262694925427e-21,3.403262694925427e-18,0,0.0,1.0,0,0.0,0.9999999999999996,False,none,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,1,0.9800153803610185,0.00520401795290963,5.20401795290963,0.05042109063370244,2.8889156917577554,9.527626644781115e-06,0.009527626644781115,0,0.0,0.869387931563541,0,0.0,0.9559059473932032,False,none,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,2,0.9597143087381688,0.00509621643947859,5.09621643947859,0.051477605540084355,2.9494495368860982,1.8650771827992763e-05,0.018650771827992765,0,0.0,0.7308922436616484,0,0.0,0.8249252567451592,False,none,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,3,0.9390177180177586,0.004986314664637708,4.986314664637708,0.05390671033710568,3.0886269897504026,2.826722611175143e-05,0.02826722611175143,0,0.0,0.3606799510297166,0,0.0,0.5783068277173367,False,none,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,4,0.9183237675743532,0.004876426910034885,4.876426910034885,0.05764487425349388,3.3028080052875413,3.895963713870931e-05,0.038959637138709306,0,0.0,0.21788099630492763,0,0.0,0.4050431242132897,False,none,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,5,0.8981067840161436,0.004769071915920564,4.769071915920564,0.06199819207560385,3.5522347433735257,4.9375386872258446e-05,0.049375386872258446,3,2.6166205996073323e-06,-0.5366222772575198,3,2.340604812283494e-05,-0.16138476635004317,True,3 inverted tets; 3 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,6,0.8787706961103536,0.004666394600219966,4.666394600219966,0.06659865939054246,3.8158221043073905,5.915945178659865e-05,0.05915945178659865,3,2.6166205996073323e-06,-0.4275960043573069,3,2.340604812283494e-05,-0.1632555239217787,True,3 inverted tets; 3 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,7,0.8603875688270552,0.004568777637945694,4.568777637945694,0.07117660694235745,4.078119177858637,6.695323934506615e-05,0.06695323934506615,4,3.48882746614311e-06,-0.40954713041343566,3,2.340604812283494e-05,-0.1719743925234323,True,4 inverted tets; 3 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,8,0.8432949625476271,0.004478013521664792,4.478013521664792,0.07579294063658745,4.342615615362052,7.328507075330302e-05,0.07328507075330302,3,2.6166205996073323e-06,-0.42221077649018685,2,1.560403208188996e-05,-0.5741606820913201,True,3 inverted tets; 2 folded triangles,visual-review-only; not an eligibility gate
e100-p000,baseline,reused-2026-08-17,1.0,0.0,9,0.8270245467300762,0.004391615351072155,4.391615351072154,0.08025123157598538,4.598056870030968,7.919255746128003e-05,0.07919255746128002,3,2.6166205996073323e-06,-0.42093258668772504,2,1.560403208188996e-05,-0.562538223541686,True,3 inverted tets; 2 folded triangles,visual-review-only; not an eligibility gate
