case,seed,domain,conversion,cut_boundary,cut_boundary/policy,target/error_rms_fraction_of_target,target/error_rms_mm,target/face_rest_area_weighted_error_rms_m,target/face_target_area_weighted_error_rms_m,bumpiness/contraction_target_relative_dihedral_rms_deg,bumpiness/residual_normal_laplacian_rms_m,warning/inverted_tets,warning/detF_min,warning/isface_folded_triangles,forward/success,forward/result,cut_boundary/triangles,cut_boundary/incident_vertices,cut_boundary/preexisting_fixed_vertices,cut_boundary/newly_fixed_vertices,cut_boundary/total_fixed_vertices,cut_boundary/model_total_fixed_dofs,cut_boundary/seed_projection_vertices,cut_boundary/seed_projection_enforced_zero_vertices,cut_boundary/seed_projection_rms_m,cut_boundary/final_displacement_rms_m,cut_boundary/final_displacement_max_abs_m,artifact/result_path,artifact/result_size_bytes,artifact/result_sha256,artifact/sidecar_path,artifact/sidecar_size_bytes,artifact/sidecar_sha256,activation/array_sha256
full-3d-replay,zero,full,3d,current,historical-isfixed,0.7278912580059967,3.865203802244177,0.0036317297994687713,0.003670669383344755,7.138010081546518,0.00024388707134866374,20,-0.4263746207726477,0,True,primary_success,13165,6980,380,0,380,81108,0,0,0.0,0.0010533781085113462,0.003085376992642598,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/full-3d-replay/zero/result.vtu,148098752,d533ff178dcb86bb1fae9c3ad08563f8413261c76a93e809b96f4099df076f97,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/full-3d-replay/zero/forward-summary.json,6742,4970ac07f348ce41372d176839bcd55c61def7f5d2b20a945c6a367ed78407dc,1a07a443170e4ab98a659161d94b29b12e59ab276b9a4b98c33fbb4667d1c5be
full-3d-replay,old,full,3d,current,historical-isfixed,0.6024685856678483,3.1991919705633483,0.0030095931306379515,0.0030458229409779914,8.544404406310827,0.00022721063399921482,29,-0.8050487961516253,0,True,primary_success,13165,6980,380,0,380,81108,0,0,0.0,0.001339298669928509,0.003294221554006075,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/full-3d-replay/old/result.vtu,148095347,5b156440b7ed78142857881299b01b9538649615935684d9c78229f280761cbd,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/full-3d-replay/old/forward-summary.json,6909,ed19587134c6b885172edaeb1de324c3f7614be2d6517dd4bab5719a34e32788,1a07a443170e4ab98a659161d94b29b12e59ab276b9a4b98c33fbb4667d1c5be
full-plane-stress,zero,full,plane-stress,current,historical-isfixed,0.7249167582212164,3.8494087947462123,0.0036432851252332817,0.00368299094109499,8.862031199161212,0.00025068097747810424,21,-0.6176783070079973,0,True,primary_success,13165,6980,380,0,380,81108,0,0,0.0,0.0010365712791532763,0.003765174741564925,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/full-plane-stress/zero/result.vtu,148094452,c04b3ce317aa14d825032632c4d1d35f6a591d6ba171171ca257b14c38d462b4,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/full-plane-stress/zero/forward-summary.json,6774,5958002871d462d101466017c46d97376b1d7e2c1c9eee8197eacc81c11cb6b0,1a07a443170e4ab98a659161d94b29b12e59ab276b9a4b98c33fbb4667d1c5be
full-plane-stress,old,full,plane-stress,current,historical-isfixed,0.6221191237806728,3.303539060591468,0.0031220914757980603,0.0031626364740473976,10.15587731922279,0.0002430610709886669,22,-0.7281964560487808,2,True,primary_success,13165,6980,380,0,380,81108,0,0,0.0,0.0011468814549304492,0.0038150269640741257,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/full-plane-stress/old/result.vtu,148095273,b0ea186ff822c07f7182431280782fb7151f58fb58c87158c20933bed896b04b,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/full-plane-stress/old/forward-summary.json,6960,d1ff625148925216d9c68e247896614603ace222ed427f09ce24fc42a12d0b5e,1a07a443170e4ab98a659161d94b29b12e59ab276b9a4b98c33fbb4667d1c5be
isface-3d,zero,isface,3d,current,historical-isfixed,0.7046361987167711,3.7417162035163627,0.0035624668112737455,0.0035954982546690267,7.86174324824011,0.000230826935149694,99,-2.6788978725864716,0,True,primary_success,13165,6980,380,0,380,81108,0,0,0.0,0.0010707152653186632,0.005015484506165371,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/isface-3d/zero/result.vtu,148101540,7bba06a07ac8aafe6b93b3853cb736b49f2e902b1e9e122f9f23a85f96fd9216,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/isface-3d/zero/forward-summary.json,6343,f9cc1539f96363d86c46d30a920546164d987262dd0084e222fc428ffe6441fb,1a07a443170e4ab98a659161d94b29b12e59ab276b9a4b98c33fbb4667d1c5be
isface-3d,old,isface,3d,current,historical-isfixed,0.6007863385545616,3.190259004454643,0.003030629187877114,0.0030711631394561684,9.46688287898607,0.0002156885894425304,28,-0.9385761177429771,3,True,primary_success,13165,6980,380,0,380,81108,0,0,0.0,0.00126495764716408,0.005420389532561129,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/isface-3d/old/result.vtu,148094625,d235f6a963b693c7315aae04b9dda7f2c4192afd1920695134e3f253da538e41,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/isface-3d/old/forward-summary.json,6535,24fb368849316a9026715bc36d2cbb35326a574173a6d984184515e73fe70706,1a07a443170e4ab98a659161d94b29b12e59ab276b9a4b98c33fbb4667d1c5be
isface-plane-stress,zero,isface,plane-stress,current,historical-isfixed,0.7094940219628836,3.767511920493292,0.003579693100786378,0.0036205074790019998,9.252928547358762,0.00023867951855827897,12,-0.5487251837496093,1,True,primary_success,13165,6980,380,0,380,81108,0,0,0.0,0.001044241813381689,0.005126752917624199,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/isface-plane-stress/zero/result.vtu,148100737,82c2587e65d3f83410a7e33fd5fbe2c2e599694c0f9cdae2c02ac3caf6ee4221,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/isface-plane-stress/zero/forward-summary.json,6414,e504ac56ac5e99acb0b432d233740a47302079bc85fc3925ca42b82915d6bbd6,1a07a443170e4ab98a659161d94b29b12e59ab276b9a4b98c33fbb4667d1c5be
isface-plane-stress,old,isface,plane-stress,current,historical-isfixed,0.6141024639284265,3.2609694819608843,0.00309934751759424,0.0031489555893991373,10.700518418897829,0.00023304991579483077,23,-1.0908025996846635,3,True,primary_success,13165,6980,380,0,380,81108,0,0,0.0,0.0011590879207929252,0.005618133972871612,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/isface-plane-stress/old/result.vtu,148100087,180a89b9d8199290ea26a8be199c9ee27ebc9d284f22ec793a3b79749ebff82e,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/isface-plane-stress/old/forward-summary.json,6586,33382e7ab33a009c243fcd51ca912dba69377badf2fabe244ce4dfc50e77cae7,1a07a443170e4ab98a659161d94b29b12e59ab276b9a4b98c33fbb4667d1c5be
isface-plane-stress-cut-fixed,zero,isface,plane-stress,hard-fixed,all-artificial-cut-incident-vertices-hard-fixed,0.7151342265933238,3.797462191420757,0.0036152920068048826,0.0036553647517030994,9.706835653784985,0.00024003587344913554,22,-0.4294725708493463,0,True,primary_success,13165,6980,380,6600,6980,100908,0,0,0.0,0.0,0.0,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/isface-plane-stress-cut-fixed/zero/result.vtu,147752283,1604d518015dc997a73a440d09c1534768e6fa53fc4d0adad0933ca1e8628f7a,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/isface-plane-stress-cut-fixed/zero/forward-summary.json,6455,90dfb7fb5c6802777f9ead26bca2d8468a0b0f0e7313b0ce90fd702502915615,1a07a443170e4ab98a659161d94b29b12e59ab276b9a4b98c33fbb4667d1c5be
isface-plane-stress-cut-fixed,old,isface,plane-stress,hard-fixed,all-artificial-cut-incident-vertices-hard-fixed,0.6147509816901864,3.2644132014602008,0.003109434718607817,0.0031578888144899752,11.082960388403494,0.0002343428838195241,25,-1.0431487094175766,4,True,primary_success,13165,6980,380,6600,6980,100908,6600,6980,0.0013773568735377622,0.0,0.0,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/isface-plane-stress-cut-fixed/old/result.vtu,147751120,9a9349e87e57fef2bcc1e7636be85fd57cab62b2b480f658795a3020dc5ce568,/home/liblaf/Projects/liblaf/apple/exp/2026/08/18/human-face-smile-plane-stress-skin/data/15-forward-domain-conversion-probe/isface-plane-stress-cut-fixed/old/forward-summary.json,6686,8e5d1b0ecd727140da65eea0abe92777029ae0fd4237e6ef821dd7d132d94e9e,1a07a443170e4ab98a659161d94b29b12e59ab276b9a4b98c33fbb4667d1c5be
