case,display_name,cohort,material_model,step,target/error_rms_fraction_of_target,target/error_rms_mm,target/face_rest_area_weighted_error_fraction,target/face_target_area_weighted_error_fraction,bumpiness/contraction_target_relative_dihedral_rms_deg,bumpiness/residual_normal_laplacian_rms_m,bumpiness/displacement_laplacian_rms_m,seam/boundary_band_to_interior_residual_ratio,seam/boundary_band_to_interior_normal_laplacian_ratio,activation/rms,activation/max_abs,activation/I_plus_Ainv_min_eigenvalue,activation/I_plus_Ainv_min_determinant,activation/I_plus_Ainv_max_condition_number,cut_boundary/policy,cut_boundary/displacement_rms_m,cut_boundary/displacement_max_abs_m,cut_boundary/displacement_exact_zero,warning/I_plus_Ainv_non_spd_active_tets,warning/inverted_tets,warning/detF_min,warning/isface_folded_triangles
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,0,1.0,5.310139062299789,1.0,1.0,2.8909047384237616,0.0002428382659609722,1.8889828729755664e-21,0.7760198153422891,3.45610405728017,0.0,0.0,1.0,1.0,1.0,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,0,1.0,0
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,1,0.9679460630842562,5.139928199783005,0.9726216327267115,0.9718604313720637,2.8715290930296336,0.00023133671866910836,1.2073896929711834e-05,0.7523780267456304,3.3436513571613844,0.0031449984237826487,0.08545155499370954,0.9215329571115459,0.8105553836993942,1.085831141075236,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,0,0.7427828480536082,0
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,2,0.9373217687137978,4.977308937991066,0.9465238471750339,0.9450300339320159,2.9215641547201545,0.0002213127832023114,2.4665915917930653e-05,0.7276034003098187,3.199502567141633,0.006202449799588831,0.17305001945448398,0.8457993794523067,0.6661055500559488,1.1699368285664744,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,0,0.34405504663584474,0
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,3,0.9086339255374051,4.824972501326973,0.9218550098199846,0.9197480750196085,3.118276565445046,0.0002142419415173142,3.862195474104997e-05,0.7038913056968835,3.053401387391584,0.009161400481473684,0.2592333870751719,0.7662362269840824,0.5582647448313189,1.2699337540730549,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,1,-0.15598875175036583,0
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,4,0.883590458744474,4.691988210054421,0.8995015139278576,0.8970765754077942,3.4484820590642786,0.0002096409618996882,5.409026770405525e-05,0.6860507266400656,2.8850106472169954,0.011991462712649049,0.3383677400747543,0.6927071237171134,0.45521306990483684,1.4092746670384428,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,4,-0.4898057150537723,0
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,5,0.8623763971775865,4.5793385930580595,0.8793700935023058,0.8769590644320454,3.8406893937171245,0.00020795787364692554,6.611315278080843e-05,0.6781668235063812,2.7638745611270297,0.014642535764913332,0.4238606088361904,0.6330069334633187,0.37421564466336144,1.5765695830364364,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,6,-1.0856528570118629,3
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,6,0.8431529569515789,4.477259452202151,0.8603107849800351,0.8580692522197503,4.2848324824921615,0.00020735681178745804,7.455732977956376e-05,0.6769712739114784,2.6852076971194503,0.017106143568476694,0.5070906932834519,0.5503696086800943,0.3114808683693283,1.7630208405212975,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,6,-1.485174451787616,3
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,7,0.8251927470071462,4.381888239809114,0.8421673657954608,0.8401504684478358,4.736271009128166,0.00020686048152091438,8.109964142210837e-05,0.6778807081506194,2.6209731863192243,0.019403422657183634,0.6058910130952704,0.4667708559750548,0.24908440808552787,1.9609765633707545,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,8,-1.637652383067022,3
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,8,0.8074997471338563,4.287935950052693,0.824335736067428,0.8225020694959092,5.215424503108757,0.00020682920730898533,8.717111712482985e-05,0.679040416898972,2.5648102807410655,0.021565735012092795,0.7035595905349206,0.39438363229439505,0.1891578524322937,2.1617216416855114,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,10,-0.9111614987112631,6
isface-e0200-p000,corrected IsFace + plane stress + cut fixed,primary-corrected,IsFace-only homogeneous E=.2 p000 plane-stress Koiter; fixed reference area; artificial cut hard-fixed,9,0.7904633215691005,4.19747016117932,0.8071316240741663,0.8054597443984195,5.686610775584158,0.00020732245113212595,9.306195184432236e-05,0.6799327990342873,2.5157373527998357,0.02362066531052329,0.7989341164575613,0.33261281315355257,0.14495858821335125,2.517763709793424,all-artificial-cut-incident-vertices-hard-fixed,0.0,0.0,True,0,12,-1.0391078522762491,7
