case,top_fat_thickness,pressure,warm_started,solver/result,solver/success,solver/steps,solver/free_dofs,solver/initial_free_grad_l2,solver/final_free_grad_l2,solver/final_free_grad_rms,solver/final_free_grad_linf,solver/final_over_initial_free_grad_l2,max_displacement,top_grid/u_y_mean,top_grid/u_y_p95_minus_p05,top_grid/laplacian_rms,top_grid/laplacian_rms_normalized,deformation/detF_min,deformation/detF_q001,deformation/detF_inverted,top_normal/flipped,display_valid,continuation_valid
top-fat-0p04-pressure-0p3,0.04,0.3,0,PRIMARY_SUCCESS,1,241,25062,26.28773353242027,0.0131460838785786,8.304022861466239e-05,0.0015692055729913039,0.0005000843401872486,0.034377453968138495,0.003922671203596784,0.01532731593513156,8.178415690225007,491.7513237158096,0.5059897272094999,0.592463679850308,0,0,1,1
top-fat-0p04-pressure-0p375,0.04,0.375,1,PRIMARY_SUCCESS,1,690,25062,0.013297098456003858,6.564946588034229e-06,4.1468978180014035e-08,4.3473964625971584e-07,0.0004937127155789426,0.04745342484571435,0.008096097048583587,0.026362961347383834,8.241615046544895,288.11150336301364,0.5070173169717079,0.5929941461995031,0,0,1,1
top-fat-0p04-pressure-0p45,0.04,0.45,1,PRIMARY_SUCCESS,1,703,25062,0.001978285852762734,9.573072290608252e-07,6.047048831417861e-09,1.0245404028505836e-07,0.00048390743315679976,0.05424128711131844,0.011385412649289836,0.03191087638702748,8.338780932683305,240.82762298202113,0.5053029410909643,0.5929439181129783,0,0,1,1
top-fat-0p04-pressure-0p525,0.04,0.525,1,PRIMARY_SUCCESS,1,760,25062,0.001978278031336535,9.762413135241225e-07,6.166650282082843e-09,8.385309891513785e-08,0.00049348033899187,0.06115043217962362,0.014696416064236403,0.03764648369401639,8.445429556409877,206.74727399373126,0.5035431807486911,0.5921822639588837,0,0,1,1
top-fat-0p04-pressure-0p6,0.04,0.6,1,PRIMARY_SUCCESS,1,831,25062,0.0019782772739157534,9.808592130662098e-07,6.195820294782924e-09,8.167413459610195e-08,0.0004958148314188138,0.06819045640947001,0.01803116145587146,0.043594847964595625,8.561538772519365,180.9918947110849,0.5017386314036679,0.5920092856356785,0,0,1,1
top-fat-0p08-pressure-0p3,0.08,0.3,0,PRIMARY_SUCCESS,1,126,33966,33.630845001984525,0.016562616233673392,8.986834346703364e-05,0.0034586488117819237,0.0004924829046875286,0.02155894586133628,-0.004979174589446277,0.0067009446414043414,5.610555935879408,771.63573603599,0.5308118342616839,0.602890410197842,0,0,1,1
top-fat-0p08-pressure-0p375,0.08,0.375,1,PRIMARY_SUCCESS,1,791,33966,0.016677564177094067,7.830982510800379e-06,4.249071620304377e-08,1.1142854188596926e-06,0.00046955193382232065,0.04583186480530995,0.007951115358622515,0.022204882846442113,5.646995540003568,234.37507532273102,0.531342993666139,0.6024297993884239,0,0,1,1
top-fat-0p08-pressure-0p45,0.08,0.45,1,PRIMARY_SUCCESS,1,698,33966,0.0019365486749802591,9.355778050894707e-07,5.076421885388714e-09,2.0393572665647602e-07,0.0004831160802601607,0.052583429580233106,0.011181388308053753,0.027464647244297574,5.68164201904222,190.6524135618196,0.5317911095313662,0.6019049299025627,0,0,1,1
top-fat-0p08-pressure-0p525,0.08,0.525,1,PRIMARY_SUCCESS,1,702,33966,0.0019365343545858624,9.369186671182538e-07,5.0836973693849914e-09,1.9658208739179242e-07,0.00048381205574771154,0.05944170100240959,0.01442418490587353,0.03287413718229866,5.726425310252154,160.53572863868447,0.5322713479781733,0.6013548392961122,0,0,1,1
top-fat-0p08-pressure-0p6,0.08,0.6,1,PRIMARY_SUCCESS,1,706,33966,0.0019365350873519996,8.89166744572457e-07,4.824596626120045e-09,1.524068871008974e-07,0.000459153438726636,0.06641315460168068,0.01768029346470823,0.03838786579613079,5.781417476735358,138.79787886244887,0.5327785070001418,0.6007795454680841,0,0,1,1
top-fat-0p12-pressure-0p3,0.12,0.3,0,PRIMARY_SUCCESS,1,118,40479,31.54715241686458,0.01494484938631274,7.428081413321675e-05,0.0033176800624400153,0.0004737305348144029,0.022280435702742834,-0.0052694623272542904,0.008292284019058415,4.696410285977178,521.9565212200769,0.4714911748570983,0.6055376737782651,0,0,1,1
top-fat-0p12-pressure-0p375,0.12,0.375,1,PRIMARY_SUCCESS,1,830,40479,0.015076499905073964,7.385831877277429e-06,3.6710012306828023e-08,1.0856203185905823e-06,0.0004898903541127436,0.0457865837359511,0.007351646307599409,0.016184114306147166,4.672082488473487,266.050470228186,0.46467358515136403,0.6047749834401219,0,0,1,1
top-fat-0p12-pressure-0p45,0.12,0.45,1,PRIMARY_SUCCESS,1,795,40479,0.0019791072477242763,9.530671951785153e-07,4.7370572530733454e-09,1.1601595026257839e-07,0.00048156419833964145,0.052076224939379405,0.010527920350903152,0.021106538870962678,4.708042203569602,205.57286636792122,0.4632679815557121,0.6050865564056163,0,0,1,1
top-fat-0p12-pressure-0p525,0.12,0.525,1,PRIMARY_SUCCESS,1,802,40479,0.0019790968318101625,9.443604903089976e-07,4.693782067796621e-09,1.332437185934095e-07,0.000477167400366786,0.05846828301966002,0.01371862535160247,0.02614081249683601,4.755346267223151,167.65076144451518,0.46193985673016724,0.6052623061042465,0,0,1,1
top-fat-0p12-pressure-0p6,0.12,0.6,1,PRIMARY_SUCCESS,1,827,40479,0.001979096869476886,9.519294383230422e-07,4.73140222749727e-09,1.205811164060793e-07,0.00048099183673341655,0.06496485879012098,0.01692394976421438,0.03126095204469488,4.813979334885397,141.9202892057565,0.4606904725907535,0.6049872150170859,0,0,1,1
