step,crinkle_points,crinkle_tetrahedra,fat_tetrahedra,muscle_tetrahedra,aponeurosis_tetrahedra,currently_strictly_straddling_plane_tetrahedra,currently_touching_or_straddling_plane_tetrahedra,skin_points,skin_lines,skin_components,x_min_m,x_max_m,y_min_m,y_max_m,z_min_m,z_max_m
0,85619,423522,360904,58419,4199,16732,16743,286,285,1,1.3460589769585278,1.4680545835837444,2.110828902932927,2.175718904044661,-0.02446428876198042,0.10129456819534544
1,85619,423522,360904,58419,4199,16701,16701,286,285,1,1.3460155646626268,1.4680759300652753,2.110828902932927,2.1759901810072835,-0.02446428876198042,0.10019856119875784
2,85619,423522,360904,58419,4199,16667,16667,286,285,1,1.34597703214897,1.468094820072821,2.110828902932927,2.1762672089444,-0.02446428876198042,0.09902648521355344
3,85619,423522,360904,58419,4199,16696,16696,286,285,1,1.345941863070735,1.468111599572073,2.110828902932927,2.1765490731172226,-0.02446428876198042,0.09795635368496863
4,85619,423522,360904,58419,4199,16750,16750,286,285,1,1.3459096601510325,1.4681269237043069,2.110828902932927,2.1768309004633952,-0.02446428876198042,0.09714210154263259
5,85619,423522,360904,58419,4199,16771,16771,286,285,1,1.3458798680800677,1.4681415609558477,2.110828902932927,2.1771096417768145,-0.02446428876198042,0.09660302888021711
6,85619,423522,360904,58419,4199,16824,16824,286,285,1,1.3458523861839835,1.4681560212361238,2.110828902932927,2.1773835913812785,-0.02446428876198042,0.09622161464953934
7,85619,423522,360904,58419,4199,16895,16895,286,285,1,1.3458259315843615,1.4681700445413672,2.110828902932927,2.177651532191017,-0.02446428876198042,0.09594496383355208
8,85619,423522,360904,58419,4199,16982,16982,286,285,1,1.3458002966723555,1.468184085834573,2.110828902932927,2.1779117953832094,-0.02446428876198042,0.09581688876856995
9,85619,423522,360904,58419,4199,17016,17016,286,285,1,1.345775762843054,1.4681975272127077,2.110828902932927,2.1781971008074166,-0.02446428876198042,0.09578267937128679
10,85619,423522,360904,58419,4199,17133,17133,286,285,1,1.345752226985086,1.4682217018562083,2.110828902932927,2.1785473275360543,-0.02446428876198042,0.09558729064050343
11,85619,423522,360904,58419,4199,17167,17167,286,285,1,1.345728234461464,1.4682458157694898,2.110828902932927,2.178718158286289,-0.02446428876198042,0.09551197725283588
12,85619,423522,360904,58419,4199,17249,17249,286,285,1,1.3457068933539806,1.4682696777095618,2.110828902932927,2.178988359008658,-0.02446428876198042,0.09552056532596244
13,85619,423522,360904,58419,4199,17274,17274,286,285,1,1.3456872456292823,1.4682991338460365,2.110828902932927,2.1792701647440036,-0.02446428876198042,0.09575440869127565
14,85619,423522,360904,58419,4199,17325,17325,286,285,1,1.3456738338352598,1.468329217674001,2.110828902932927,2.1794146769281255,-0.02446428876198042,0.09584489216721188
15,85619,423522,360904,58419,4199,17383,17383,286,285,1,1.3456567690431298,1.4683610506614329,2.110828902932927,2.1795642687490564,-0.02446428876198042,0.09581666773504845
16,85619,423522,360904,58419,4199,17417,17417,286,285,1,1.3456397540387226,1.4683910445876194,2.110828902932927,2.1796697306588206,-0.02446428876198042,0.0957533520333573
17,85619,423522,360904,58419,4199,17446,17446,286,285,1,1.3456288743413711,1.4684160807098143,2.110828902932927,2.1798315243400164,-0.02446428876198042,0.09568288859934818
18,85619,423522,360904,58419,4199,17494,17494,286,285,1,1.3455907548053962,1.4684401299086183,2.110828902932927,2.180017830004785,-0.02446428876198042,0.09570905395940006
19,85619,423522,360904,58419,4199,17541,17541,286,285,1,1.3455625998584184,1.4684640980979247,2.110828902932927,2.180178132185773,-0.02446428876198042,0.09572860548514357
20,85619,423522,360904,58419,4199,17568,17568,286,285,1,1.34553952098307,1.4684946343766387,2.110828902932927,2.1803645682075805,-0.02446428876198042,0.09574647512547974
21,85619,423522,360904,58419,4199,17653,17653,286,285,1,1.34551299449451,1.4685266183305445,2.110828902932927,2.1805168389057914,-0.02446428876198042,0.09562964333719091
22,85619,423522,360904,58419,4199,17650,17650,286,285,1,1.3454895359603853,1.4685601667236396,2.110828902932927,2.180652992436202,-0.02446428876198042,0.09556237700417214
23,85619,423522,360904,58419,4199,17726,17726,286,285,1,1.345462899149942,1.4685981252961673,2.110828902932927,2.1808413169044623,-0.02446428876198042,0.09551610831905397
24,85619,423522,360904,58419,4199,17767,17767,286,285,1,1.345441422704347,1.4686264816536845,2.110828902932927,2.180878476930618,-0.02446428876198042,0.09563542901161351
25,85619,423522,360904,58419,4199,17814,17814,286,285,1,1.3454195213475417,1.4686514218616948,2.110828902932927,2.1810284351306106,-0.02446428876198042,0.09560720304165482
26,85619,423522,360904,58419,4199,17898,17898,286,285,1,1.3453964290726927,1.4686786081233387,2.110828902932927,2.1811273773015114,-0.02446428876198042,0.09560713708105884
27,85619,423522,360904,58419,4199,17917,17917,286,285,1,1.3453760521773297,1.468703909017383,2.110828902932927,2.1812363632308203,-0.02446428876198042,0.09561973395966944
28,85619,423522,360904,58419,4199,17916,17916,286,285,1,1.3453573084933605,1.4687266172040194,2.110828902932927,2.1813360324308544,-0.02446428876198042,0.09567543621970993
29,85619,423522,360904,58419,4199,17968,17968,286,285,1,1.3453381502385962,1.4687451344594606,2.110828902932927,2.1814254880903032,-0.02446428876198042,0.09567303076314497
30,85619,423522,360904,58419,4199,17999,17999,286,285,1,1.345321973053657,1.4687648320433246,2.110828902932927,2.1814955393260327,-0.02446428876198042,0.09578559458306327
31,85619,423522,360904,58419,4199,17981,17981,286,285,1,1.345307629471714,1.4687861009810053,2.110828902932927,2.1815527532301666,-0.02446428876198042,0.09601397526616988
32,85619,423522,360904,58419,4199,18043,18043,286,285,1,1.3452930418115636,1.4688040413825898,2.110828902932927,2.1816365790688566,-0.02446428876198042,0.09608001185572397
33,85619,423522,360904,58419,4199,18109,18109,286,285,1,1.345278917508586,1.4688212519265977,2.110828902932927,2.18172826140182,-0.02446428876198042,0.09601188217368814
34,85619,423522,360904,58419,4199,18207,18207,286,285,1,1.3452605717064272,1.4688379677668741,2.110828902932927,2.181837127775236,-0.02446428876198042,0.0958770274469095
35,85619,423522,360904,58419,4199,18217,18217,286,285,1,1.345248753114746,1.4688556012402434,2.110828902932927,2.1819216974937685,-0.02446428876198042,0.0956779527213794
36,85619,423522,360904,58419,4199,18215,18215,286,285,1,1.3452372905224006,1.4688739629638823,2.110828902932927,2.182002886616912,-0.02446428876198042,0.09558820081941596
37,85619,423522,360904,58419,4199,18220,18220,286,285,1,1.3452091770955492,1.4688997363733383,2.110828902932927,2.1820694328537185,-0.02446428876198042,0.09563473994903081
38,85619,423522,360904,58419,4199,18192,18192,286,285,1,1.3451768810551608,1.4689212048147255,2.110828902932927,2.181972672034269,-0.02446428876198042,0.09571208692473909
39,85619,423522,360904,58419,4199,18168,18168,286,285,1,1.3451550296977233,1.4689351839963738,2.110828902932927,2.1820480711479484,-0.02446428876198042,0.09577154874276843
40,85619,423522,360904,58419,4199,18229,18229,286,285,1,1.3451348154345881,1.4689473780830882,2.110828902932927,2.182122865309264,-0.02446428876198042,0.09577620031012066
