step,objective,mae,rmse,linf,grad_norm,learning_rate,worst_point_index,worst_point_ties,control_0,control_1,control_2
0,0.031720111042745316,0.02660714019288468,0.031720111042745316,0.08046000830605209,0.0289656989521066,0.08,50,1,0.05,0.05,0.05
1,0.027910631337414334,0.022383940665486345,0.027910631337414334,0.07509772342740043,0.027886483299786022,0.07999945511683522,50,1,0.12999994464132725,0.12999996347176376,0.12999993479475883
2,0.02431643534198435,0.018168309274088426,0.02431643534198435,0.06974003022194253,0.026273569076663898,0.07999782048227912,50,1,0.20986419154853958,0.20995965440940467,0.2097403950220718
3,0.021050558714185846,0.014536526802783728,0.021050558714185846,0.06439505868345609,0.023821027214426336,0.07999509614114603,50,1,0.2893752708667938,0.28980179200993594,0.28879379605422506
4,0.018286746521860468,0.012042265214253679,0.018286746521860468,0.059080793907387186,0.020139109744611878,0.07999128216812512,50,1,0.3680737182904776,0.369351243357917,0.36623078081152294
5,0.016257838320063844,0.010443205972587011,0.016257838320063844,0.053837730356543115,0.015080243589737495,0.07998637866777841,50,1,0.44495275764176867,0.44820830220727753,0.4399803563679156
6,0.01516671572283229,0.009734782051920968,0.01516671572283229,0.04875288129921599,0.009878459537084267,0.07998038577453784,50,1,0.5178684198038102,0.525493138396161,0.5057646929725159
7,0.014981659741754957,0.009990175492035782,0.014981659741754957,0.043980697767534535,0.008452240909517617,0.07997330365270158,50,1,0.5829717889931234,0.5995349097328667,0.5570317060006356
8,0.01535882756662127,0.010848597155529912,0.01535882756662127,0.03971210742953071,0.011134394099714383,0.07996513249642961,50,1,0.635461114060067,0.6679544827496803,0.5885943945476957
9,0.015878614088991865,0.011728996183038892,0.015878614088991865,0.03609985413976063,0.013961253627787452,0.0799558725297383,50,1,0.6719016353036986,0.7283800695412728,0.6001804320811782
10,0.016263135218561944,0.01217686066483176,0.016263135218561944,0.03322163873705386,0.01579666007204633,0.0799455240064943,50,1,0.6915845858972829,0.7791429116016692,0.5948398195971585
11,0.016394401128329714,0.01220550026976725,0.016394401128329714,0.03155236209858592,0.01667005147956753,0.07993408721040762,37,1,0.6958861718773691,0.8194874741315504,0.5762325429015032
12,0.01625852952661796,0.011835669056295578,0.01625852952661796,0.032281679153613324,0.01672813902623614,0.0799215624550238,37,1,0.6870639716443278,0.8494476777917273,0.5475445076607189
13,0.01589984657142213,0.011365090664940718,0.01589984657142213,0.03236005396324296,0.01605679740710705,0.07990795008371532,37,1,0.6674941820463443,0.8696289498001033,0.5113857202694807
14,0.015395249605755544,0.01093074434263,0.015395249605755544,0.03188721071488168,0.014682897103398955,0.07989325046967222,37,1,0.6393847102418591,0.8810171386578158,0.4699680614923223
