step,objective,mae,rmse,linf,grad_norm,learning_rate,worst_point_index,worst_point_ties,control_0,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8
0,0.03350258023678287,0.02859779083015571,0.03350258023678287,0.09746248381992707,0.026956716836707917,0.08,479,1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
1,0.027332104361639794,0.022727002917211643,0.027332104361639794,0.08802775325044981,0.02673381128197919,0.07999945511683522,479,1,0.12999987815696779,0.1299999163346514,0.12999987582020645,0.12999991547038964,0.12999994390092856,0.12999991985010087,0.1299998610492355,0.12999991155085255,0.12999987815696779
2,0.02129381117243144,0.016860799538645284,0.02129381117243144,0.0785940125408445,0.02624880050306092,0.07999782048227912,479,1,0.2099229860597247,0.20998122281609094,0.20990885814481997,0.2099756649836964,0.21003265467431947,0.2100024773519899,0.20980550583822122,0.20994877668988376,0.20992298606043616
3,0.015543454656722779,0.011213667598971928,0.015543454656722779,0.06916578747254029,0.025015293073287814,0.07999509614114603,479,1,0.28961543120037003,0.2898960603926551,0.2895447776450145,0.2898702714686276,0.2901271976156348,0.28999388051648217,0.28900602926418417,0.2897419854075005,0.2896154512475269
4,0.010551765822068753,0.006731367119677198,0.010551765822068753,0.059762333630048216,0.021230370177596443,0.07999128216812512,479,1,0.36859676367887845,0.3695746558350098,0.36833706454910303,0.36949038494785824,0.3703018711972861,0.36989299834877776,0.3662397388382026,0.3690506045908325,0.36859701284133395
5,0.007788641222490537,0.004989169127649175,0.007788641222490537,0.0504879355435596,0.011817961733695353,0.07998637866777841,479,1,0.44467784808006117,0.44815522687988807,0.44368635547306956,0.44788890809894244,0.45040743192897154,0.4491862446210535,0.4352233107171053,0.44636368800598825,0.4446805858214579
6,0.008620293768093326,0.00707108164356828,0.008620293768093326,0.04196367389497585,0.015089491797133325,0.07998038577453784,479,1,0.5063396103396338,0.5199530408431915,0.5024339259860698,0.5191167346124538,0.5284230198913622,0.5239022699683431,0.47307574739897573,0.5132060416300674,0.5063709956123205
7,0.010540804480123489,0.009532048924592987,0.010540804480123489,0.035305322658689714,0.02034987647615983,0.07997330365270158,479,1,0.5395890091371942,0.5730514510080944,0.5307640540666847,0.5717218235542668,0.5972208933230733,0.5839145712384924,0.4763863235253785,0.5567892836085346,0.5397398393153819
8,0.011731416088212593,0.010820166399549925,0.011731416088212593,0.03076849109625407,0.02246073263440901,0.07996513249642961,479,1,0.5479169446268388,0.6046459598823404,0.533907501844805,0.603557582714066,0.6523793300476873,0.6251518310452312,0.4583131468215669,0.5774560875973188,0.5482608969752732
9,0.011911345475773688,0.010998146957258183,0.011911345475773688,0.02815661550252553,0.02329923753303676,0.0799558725297383,479,1,0.5377515131416227,0.6173330989977659,0.5189004960001753,0.6173495933506163,0.6932241877350165,0.6485822232928868,0.4264792651237996,0.579765398547727,0.5383196510833872
10,0.011183247128507838,0.010271440787643608,0.011183247128507838,0.02718485759048317,0.0234779509131,0.0799455240064943,479,1,0.5138933369627798,0.614519143936178,0.4906365116187932,0.6164449186227411,0.7207161397934502,0.6566081128140476,0.38516580562469155,0.5678674949106052,0.5146908052566554
11,0.009724444958419646,0.008818461359468142,0.009724444958419646,0.027577378244392436,0.023055894935476943,0.07993408721040762,479,1,0.4796777885994107,0.5992068292676009,0.4523939479948923,0.6038037288205466,0.7364196886383083,0.651736860640158,0.337089784495712,0.544990728031768,0.48069756352740467
12,0.0077518926271040196,0.006805332811079027,0.0077518926271040196,0.029079707197797525,0.021591655124251943,0.0799215624550238,479,1,0.4375027228413931,0.5738734231334035,0.40646172047040297,0.5819661054639063,0.742157588334404,0.6362553682975834,0.2842434629142159,0.513693399782306,0.43873362439133656
13,0.0056194641384146645,0.004393995640701785,0.0056194641384146645,0.031433126352439306,0.01729695554906903,0.07990795008371532,479,1,0.389279009717303,0.5406814230470969,0.3545907598643846,0.5533714724593112,0.7401003738742697,0.6123245873843404,0.2284989652509889,0.4762941254080401,0.3907112352963464
14,0.004182734575252728,0.002404913099474448,0.004182734575252728,0.034276861182584814,0.006814767928905573,0.07989325046967222,479,1,0.3371248593199455,0.5021417643266641,0.29859851843926855,0.521334209353946,0.7335796161170789,0.5826261228639388,0.1727681043456667,0.43585068616659456,0.33875750616638695
15,0.00456513142202328,0.0025592125969402892,0.00456513142202328,0.03685119945775352,0.014411383726384954,0.07987746401589185,479,1,0.28581892669273024,0.46358955041082145,0.2425837486600262,0.49297597539916316,0.7293070662035533,0.5528133443931018,0.12453681600329129,0.39919923341376906,0.2876758816671065
16,0.00575399466832623,0.004198953175790517,0.00575399466832623,0.03828810772446839,0.020366702806168573,0.07986059115516782,479,1,0.2435844998107137,0.4332838887400024,0.19458550031277821,0.4762683231616752,0.7336850571637371,0.5309112000002747,0.09219140320202156,0.3747001496390815,0.2456966655320156
