step,objective,mae,rmse,linf,grad_norm,learning_rate,worst_point_index,worst_point_ties,control_0,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8
0,0.09746248381992707,0.02859779083015571,0.03350258023678287,0.09746248381992707,0.06040747391594502,0.08,479,1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
1,0.08802775147139276,0.022727006812424472,0.027332107156600515,0.08802775147139276,0.06040747391594502,0.07999945511683522,479,1,0.1299998078973716,0.1299999360857646,0.12999961219306938,0.1299999551065183,0.12999998513820635,0.1299999090586617,0.12999980789737162,0.12999993608576463,0.1299996121930694
2,0.07859308338319378,0.016857127234695318,0.02129117403235279,0.07859308338319378,0.06040747391594502,0.07999782048227912,479,1,0.20999907091288628,0.20999932728879916,0.2099986795056148,0.209999365330177,0.20999942539334854,0.20999927323477746,0.20999907091288633,0.20999932728879922,0.20999867950561485
3,0.06915860807423879,0.011198921648538258,0.01553169589346926,0.06915860807423879,0.06040747391594502,0.07999509614114603,479,1,0.2899966992977706,0.28999708385858414,0.28999611219152865,0.28999714092019746,0.28999723101423885,0.28999700277819584,0.28999669929777067,0.2899970838585842,0.28999611219152877
4,0.05972445405815154,0.006711964913571614,0.010526098736108033,0.05972445405815154,0.06040747391594502,0.07999128216812512,479,1,0.36999160334806336,0.3699921160894122,0.36999082054951554,0.36999219217061324,0.3699923122945018,0.3699920079835777,0.36999160334806347,0.36999211608941224,0.36999082054951565
5,0.050290749839747226,0.00512461817591098,0.007874096230679022,0.050290749839747226,0.06040747391594502,0.07998637866777841,479,1,0.44998269343449393,0.4499833343502667,0.4499817149529704,0.4499834294501487,0.44998357960245267,0.4499831992202745,0.4499826934344941,0.4499833343502667,0.4499817149529705
6,0.04085762391150968,0.008255294981528149,0.009738008451546607,0.04085762391150968,0.06040747391594502,0.07998038577453784,479,1,0.5299688800323527,0.5299696491146921,0.5299677058798488,0.5299697632320892,0.5299699434109678,0.5299694869621989,0.5299688800323528,0.5299696491146921,0.5299677058798489
7,0.031425204750068644,0.013320605987611292,0.014465955923207752,0.031425204750068644,0.06040747391594502,0.07997330365270158,479,1,0.6099490737513611,0.6099499709906646,0.6099477039425374,0.609950104124152,0.6099503143273555,0.609949781817695,0.6099490737513613,0.6099499709906646,0.6099477039425375
8,0.033833567785366954,0.01873770486917038,0.020131692382514173,0.033833567785366954,0.05828569112929243,0.07996513249642961,690,1,0.68992218536554,0.6899232107504594,0.6899206199177214,0.6899233628983531,0.689923603123223,0.689922994559406,0.6899221853655402,0.6899232107504594,0.6899206199177215
9,0.0359632752737692,0.022604966392188314,0.024231966994173494,0.0359632752737692,0.057179899648575554,0.0799558725297383,269,1,0.7596188594546649,0.760757179886483,0.7608876022351844,0.7429473008295181,0.759112668575466,0.760691534217027,0.6675877860772639,0.7345281177968613,0.7582309642818436
10,0.0394494861613586,0.024821425185468753,0.026653223161889547,0.0394494861613586,0.056096637080229876,0.0799455240064943,288,1,0.8193916596407007,0.7905076943638699,0.7300852753733029,0.7900779301756362,0.8184900558338107,0.7904279003253559,0.6476530416068618,0.7741550670952352,0.8167551961591939
11,0.043106646690190965,0.025889151776513814,0.027893152669771062,0.043106646690190965,0.057179899648575554,0.07993408721040762,703,1,0.7958661882281115,0.7960032433863277,0.701964564340833,0.8138419237641862,0.8685764691934711,0.8166401362223918,0.6293155212417967,0.8093351486914575,0.8691289077538938
12,0.042912621180387946,0.025845019511595436,0.02792228490257286,0.042912621180387946,0.05416128074209785,0.0799215624550238,638,1,0.7747119214697455,0.8007995882858856,0.6764043484842347,0.8350355051185391,0.911291195638454,0.8180072611200895,0.6123195079305965,0.8160610480815619,0.8366312332014404
13,0.04168496192179865,0.02524187396774037,0.0273411575759366,0.04168496192179865,0.05416128074209785,0.07990795008371532,638,1,0.7555688515115799,0.804272975699126,0.6527885954698287,0.8526993478349025,0.9426434535412619,0.8015341472629598,0.5948858068609587,0.7973037828127226,0.7931216971326277
14,0.04157965252012745,0.024225975433500767,0.026334329745565873,0.04157965252012745,0.05416128074209785,0.07989325046967222,382,1,0.738201881746246,0.8065579280779025,0.6308783280647323,0.8672132139095015,0.964045599056443,0.7719552811444129,0.5770205623498352,0.7626855181305271,0.7414109878692424
