step,objective,mae,rmse,linf,grad_norm,learning_rate,worst_point_index,worst_point_ties,bump_highpass_rms,bump_laplacian_rms,bump_peak_to_valley,control_0,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8
0,0.020129600341337307,0.020129600341337307,0.02457338355764635,0.04,0.012416042759966663,0.06,80,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.01800657851143341,0.01800657851143341,0.02263719437002661,0.03746502763311403,0.010950861863230223,0.059999410786555685,74,2,0.000503232936974117,0.40673259483234125,0.0017206162897202605,0.05999985471931837,0.059999855038679155,0.05999985503867979,0.05999985535433379,0.05999985493330875,0.0599998553543338,0.05999985503867979,0.059999855038679155,0.05999985471931837
2,0.01634792875141764,0.01634792875141764,0.020778491844893977,0.03557567374903432,0.011224762358038596,0.05999764316948391,73,2,0.0009292734936116016,0.7836119528195234,0.002935390188830952,0.09971332539847631,0.11999616280241115,0.1199991208645981,0.11999912149664331,0.11999912065459736,0.11999912149664332,0.11999912086459813,0.11999616280241118,0.09971332539847635
3,0.014662982032882604,0.014662982032882604,0.01897417416482646,0.033738949033574196,0.011385080483001787,0.05999469721856714,87,2,0.0013013512384349754,1.1310135552467773,0.0042983887377089,0.11221965378905113,0.17996932449154637,0.17999661904618677,0.17999662002614275,0.1799966187630883,0.17999662002614278,0.1799966190461868,0.1799693244915464,0.11221965378905126
4,0.012901849034371733,0.012901849034371733,0.017219824257686287,0.031926929953261005,0.011224762358038596,0.0599905730501065,88,2,0.00169844761904982,1.4698061745931517,0.006048382202430461,0.10532414614524614,0.23990969202141696,0.2399911711963964,0.23999117261182712,0.23999117092778482,0.23999117261182712,0.23999117119639643,0.239909692021417,0.10532414614524634
5,0.011432062169407594,0.011432062169407594,0.015536290054946349,0.03015355040672755,0.009658348120295568,0.05998527082691709,88,2,0.0021510270949117644,1.8129040653976183,0.007887611451014017,0.08873430097788745,0.2998506420305923,0.29998159921743317,0.29998160103899346,0.29998159893399223,0.29998160103899346,0.2999815992174332,0.29985064203059236,0.08873430097788772
6,0.010189499217075612,0.010189499217075612,0.013952435967147086,0.028380327609284925,0.009450172193573263,0.05997879075832159,88,2,0.002621877930088017,2.148379563805472,0.009598562883006369,0.0645554682748802,0.3521492444719606,0.35995270817190783,0.35996672724704426,0.35996672472982993,0.35996672724704426,0.35995270817190794,0.35214924447196067,0.06455546827488054
7,0.009118560281518771,0.009118560281518771,0.012477729883176263,0.026607296399240896,0.010627660989520667,0.05997113310014203,88,2,0.0030719502571464664,2.4712388083863335,0.011051097625507985,0.03901548983673386,0.3934152011426308,0.4198769264321015,0.4199453733199908,0.41994537047273933,0.4199453733199908,0.4198769264321016,0.39341520114263084,0.039015489836734266
8,0.008030262667445859,0.008030262667445859,0.011098943034388433,0.024834491578502718,0.010882912125758417,0.059962298154689626,88,2,0.003430693607137014,2.7819522263627694,0.012095518900533304,0.034868392131041676,0.42464428280217403,0.479764799275864,0.47991636169479723,0.479916358575984,0.47991636169479723,0.47976479927586413,0.42464428280217414,0.03486839213104215
9,0.006996675348156328,0.006996675348156328,0.009823230701862275,0.023061947969129977,0.008147982059577761,0.05995228627075291,88,2,0.003718480674802436,3.0790887878336335,0.012782054929008696,0.045625946034299966,0.44585795714771737,0.5395900424906387,0.5398785149289431,0.5398785117551372,0.5398785149289431,0.5395900424906388,0.4458579571477175,0.0456259460343005
10,0.006251298575812085,0.006251298575812085,0.008691894698715355,0.021289873982955444,0.008096939304055207,0.0599410978435839,88,2,0.00397548307237518,3.358248123488157,0.013687051685989653,0.05978056008134383,0.4577711387557115,0.5952896078521015,0.5998183963390095,0.5998306530620466,0.5998183963390095,0.5952896078521016,0.4577711387557117,0.05978056008134443
11,0.005602210297430229,0.005602210297430229,0.0077212565150514435,0.01951841586251771,0.008368770455524652,0.05992873331488256,88,2,0.004220347757440115,3.6173956150368825,0.015103949650193786,0.07038755042567259,0.46055704769925987,0.6450924931100029,0.6597269153576488,0.659771605931398,0.6597269153576488,0.645092493110003,0.4605570476992601,0.07038755042567325
12,0.0049661788735247975,0.0049661788735247975,0.006925353218417957,0.01774780029898703,0.007627377385932715,0.05991519317277932,88,2,0.004457262304508629,3.856341214494238,0.016381251472404015,0.07550323067181722,0.4555212032968408,0.687448544692287,0.7195891913882732,0.7197001941873957,0.7195891913882732,0.6874485446922871,0.4555212032968411,0.07550323067181795
