step,objective,mae,rmse,linf,grad_norm,learning_rate,worst_point_index,worst_point_ties,bump_highpass_rms,bump_laplacian_rms,bump_peak_to_valley,control_0,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8
0,0.04,0.020129600341337307,0.02457338355764635,0.04,0.05000289494028615,0.06,80,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.03746504084269802,0.019375049110298644,0.023452958251917434,0.03746504084269802,0.026473302295285602,0.059999410786555685,74,2,0.0003723980065566225,0.23894244567192227,0.001662386326166582,6.219572996808905e-28,4.1842583470555054e-14,0.0010432806955613947,0.05999842301071581,0.059999988000002384,0.059998423010715826,0.0010432806955613945,4.1842583470556196e-14,6.219572996809003e-28
2,0.03576606574949782,0.018442453698921765,0.022195979174048464,0.03576606574949782,0.021735177817618082,0.05999764316948391,73,2,0.0005807773511576847,0.4533251321870031,0.002706931723163298,3.7244004216216264e-23,2.0015075907364876e-10,0.03677305399993425,0.10870568039936626,0.11627186387293593,0.10870568039936628,0.03677305399993427,2.0015075907365406e-10,3.724400421621685e-23
3,0.034123092121788316,0.01742033403755019,0.020845092870349843,0.034123092121788316,0.022872892574822987,0.05999469721856714,87,2,0.0008637652637059716,0.6953576338561018,0.00388415885817818,2.524620873336566e-22,9.681677387069863e-10,0.08015022762203657,0.16170809889070947,0.1702675241093291,0.16170809889070947,0.08015022762203658,9.681677387070142e-10,2.5246208733366054e-22
4,0.032671569456334426,0.016465632065536872,0.019593740745490463,0.032671569456334426,0.02093674659869525,0.0599905730501065,72,1,0.0011495579198689087,0.9262842229705087,0.005013015918334789,4.050910872524203e-22,1.5128323045312898e-09,0.11513524530775904,0.20513617141117377,0.2234106817761068,0.21409138678189307,0.12669885992433608,2.5242102720576495e-09,7.072319345952043e-22
5,0.031243659031777588,0.015565054803309322,0.018423945465652566,0.031243659031777588,0.02093674659869525,0.05998527082691709,72,1,0.0014276278841675427,1.1456231267072607,0.005959252716119752,2.343045534199363e-21,5.681962014170112e-09,0.15298845357120808,0.2499036763246897,0.2748635485449768,0.2583670172978214,0.1657746759887927,3.7001952765030813e-09,1.05092595808473e-21
6,0.029805978097397084,0.01466821554043862,0.017275215897481728,0.029805978097397084,0.020936746598695235,0.05997879075832159,88,1,0.0017098074929134996,1.3640231633316902,0.006955327181031442,5.460040892106022e-21,1.2244702564296872e-08,0.1978509930419788,0.29950910065123004,0.3252895054169861,0.2965262422366995,0.19924548779383205,4.6251194607767895e-09,1.321244807648117e-21
7,0.02840493751694293,0.013772541748861411,0.016145802786635858,0.02840493751694293,0.020936746598695235,0.05997113310014203,88,1,0.0019959405200825906,1.5829264775936027,0.008040134331638837,7.979298700849231e-21,1.7548924631458717e-08,0.23695255216998273,0.3428265588513184,0.3750739236804659,0.34123774311108757,0.23857188333471924,8.321535732124619e-09,2.970094821622134e-21
8,0.02707892630661804,0.012875190365220786,0.015037432086644285,0.02707892630661804,0.02093674659869525,0.059962298154689626,72,1,0.002286065186360921,1.8024760553840493,0.00913960588260799,1.0055953719874562e-20,2.19212597842429e-08,0.27135892744542806,0.38101011192279266,0.4244575516669492,0.39060433971776554,0.2838791259626289,1.4069406962809894e-08,5.639340981933211e-21
9,0.02569100141534475,0.011967565831871224,0.013943690630838794,0.02569100141534475,0.02093674659869525,0.05995228627075291,72,1,0.002581504749642495,2.0242990161591283,0.010207282679100978,1.3011189660547353e-20,2.8090004619237958e-08,0.312882115727507,0.4255018378601393,0.47359876208346574,0.43442370220370585,0.32403121847047545,1.8878263533685192e-08,7.872519375453347e-21
10,0.02425599351083813,0.011060202150933821,0.01288334965829126,0.02425599351083813,0.020936746598695235,0.0599410978435839,88,1,0.0028785451580766964,2.246142763290675,0.011255325018742999,1.6657486388045767e-20,3.56717355102648e-08,0.35923036119983465,0.474333393504312,0.5226057771397524,0.47352625299346446,0.3598071329934188,2.294811752236427e-08,9.762513348180655e-21
11,0.022870093749490644,0.010142460250348154,0.01185561620809321,0.022870093749490644,0.02093674659869525,0.05992873331488256,72,1,0.0031812048311549244,2.4706538859685994,0.012320251709756386,1.9771818382814474e-20,4.2147354208885704e-08,0.4007159557926099,0.5180885248577982,0.5715546827737085,0.5184763027646845,0.40223841445137287,2.866479534477603e-08,1.2463585232615515e-20
