step,objective,mae,rmse,linf,grad_norm,learning_rate,worst_point_index,worst_point_ties,bump_highpass_rms,bump_laplacian_rms,bump_peak_to_valley,control_0,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,control_10,control_11,control_12,control_13,control_14,control_15,control_16,control_17,control_18,control_19,control_20,control_21,control_22,control_23,control_24
0,0.013489176650069538,0.009257309147691838,0.013489176650069538,0.035,0.003705737274817112,0.06,840,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.012711144412767389,0.008359770680912065,0.012711144412767389,0.032620816925175725,0.0036386125679330693,0.059999410786555685,880,4,0.0005629884351435026,0.13956830937015272,0.0023899523085025333,0.059987455838839104,0.05999711051407423,0.05999795848774548,0.059997110514074234,0.059987455838839104,0.05999711051407422,0.05999933464326591,0.059999529919960874,0.059999334643265914,0.05999711051407422,0.05999795848774547,0.059999529919960874,0.059999667885092915,0.059999529919960874,0.05999795848774549,0.05999711051407422,0.05999933464326591,0.059999529919960874,0.05999933464326591,0.05999711051407423,0.059987455838839104,0.05999711051407423,0.05999795848774547,0.05999711051407422,0.059987455838839104
2,0.011998924604680827,0.007787250757717245,0.011998924604680827,0.031173051741744093,0.0035640921657455844,0.05999764316948391,756,4,0.0010484103570733946,0.2644680937857919,0.004500757961384589,0.07501828189508813,0.11826477378989551,0.11925319917723431,0.11826477378989551,0.07501828189508811,0.11826477378989547,0.11993344474711776,0.1199915585838508,0.11993344474711776,0.11826477378989547,0.11925319917723429,0.11999155858385081,0.12002226756058143,0.11999155858385081,0.1192531991772343,0.1182647737898955,0.11993344474711776,0.11999155858385083,0.11993344474711776,0.11826477378989549,0.07501828189508819,0.1182647737898955,0.11925319917723427,0.11826477378989547,0.07501828189508816
3,0.011348387419243069,0.007376277733826769,0.011348387419243069,0.030102420027500125,0.0034817859886456222,0.05999469721856714,756,4,0.001520018504598642,0.38175829706185904,0.006698551970678169,0.05714147159289894,0.1716491774916173,0.17663849105470789,0.17164917749161726,0.057141471592898896,0.17164917749161723,0.179726311696055,0.17995678236373716,0.17972631169605496,0.17164917749161723,0.17663849105470786,0.1799567823637372,0.18007547896817544,0.1799567823637372,0.17663849105470786,0.17164917749161726,0.17972631169605496,0.17995678236373722,0.17972631169605496,0.17164917749161723,0.05714147159289901,0.17164917749161723,0.1766384910547078,0.1716491774916172,0.05714147159289895
4,0.010762342673752524,0.007031244509415759,0.010762342673752524,0.02934919506621761,0.0033924674265632684,0.0599905730501065,755,8,0.0019759952135745937,0.49186759502373706,0.008680703079807207,0.028637024336970403,0.21441126241719666,0.23012283341310666,0.2144112624171966,0.02863702433697037,0.21441126241719657,0.2392707276985031,0.23986315154696564,0.23927072769850305,0.21441126241719657,0.23012283341310663,0.23986315154696566,0.2401606812682199,0.23986315154696566,0.2301228334131066,0.2144112624171966,0.23927072769850308,0.23986315154696572,0.23927072769850308,0.21441126241719657,0.02863702433697045,0.2144112624171966,0.23012283341310655,0.21441126241719655,0.028637024336970393
5,0.010225953332116629,0.006744597525118774,0.010225953332116629,0.02876783373933783,0.0032960636584099656,0.05998527082691709,960,4,0.002370006419045187,0.5890047098716817,0.010584119521665169,0.0029404976846454448,0.24027994581421064,0.2764825853367048,0.24027994581421058,0.002940497684645431,0.24027994581421058,0.29842019440229767,0.2996616917824093,0.2984201944022976,0.24027994581421058,0.2764825853367048,0.2996616917824093,0.30027036503893995,0.2996616917824093,0.27648258533670467,0.24027994581421058,0.2984201944022976,0.29966169178240937,0.2984201944022976,0.24027994581421055,0.0029404976846454413,0.24027994581421058,0.27648258533670467,0.24027994581421053,0.002940497684645396
6,0.009713578712238017,0.006412861637058674,0.009713578712238017,0.028262282437661882,0.003189634426341768,0.05997879075832159,720,4,0.0026702299768488675,0.6707060714094718,0.012794728819195342,0.0,0.2477851792819381,0.31181515036343677,0.24778517928193805,0.0,0.24778517928193808,0.356987766504927,0.35928759778433117,0.3569877665049269,0.24778517928193805,0.3118151503634368,0.35928759778433117,0.36038989129133864,0.35928759778433117,0.31181515036343666,0.24778517928193808,0.3569877665049269,0.35928759778433117,0.3569877665049269,0.24778517928193802,0.0,0.24778517928193805,0.3118151503634367,0.247785179281938,0.0
7,0.00921498554676679,0.006032768525011693,0.00921498554676679,0.02775776539570033,0.0030685523300661276,0.05997113310014203,720,4,0.002917970770834629,0.7399859655355057,0.015077417883999461,0.0027889334338952955,0.24026204955439698,0.3333053146752178,0.24026204955439692,0.0027889334338953163,0.24026204955439695,0.4147460131819302,0.41866513523999577,0.41474601318193016,0.24026204955439692,0.3333053146752179,0.41866513523999577,0.42050251394954796,0.41866513523999577,0.33330531467521773,0.24026204955439698,0.41474601318193016,0.41866513523999577,0.41474601318193016,0.2402620495543969,0.0027889334338952365,0.24026204955439692,0.3333053146752179,0.24026204955439687,0.0027889334338952443
8,0.008732172499075633,0.00565088720893245,0.008732172499075633,0.027254724854239416,0.0029286880122521832,0.059962298154689626,720,4,0.0031429361451277503,0.8016267502272698,0.01736500914637045,0.014880417197234205,0.22212282050457335,0.3407388340575949,0.2221228205045733,0.014880417197234222,0.22212282050457335,0.4714163443780596,0.4777072190751921,0.47141634437805957,0.22212282050457333,0.3407388340575951,0.47770721907519204,0.48059032590728795,0.47770721907519204,0.34073883405759486,0.22212282050457338,0.47141634437805957,0.47770721907519204,0.47141634437805957,0.2221228205045733,0.014880417197234114,0.22212282050457333,0.34073883405759514,0.22212282050457327,0.01488041719723411
9,0.008277324439228531,0.005296517346126376,0.008277324439228531,0.02675369549328547,0.0027678724937013734,0.05995228627075291,720,4,0.003376945199351136,0.8599242976549206,0.01963341275504072,0.030242595859366506,0.19712570467061097,0.3360429380784396,0.1971257046706109,0.030242595859366513,0.19712570467061097,0.5266495671028237,0.5363100640181356,0.5266495671028236,0.19712570467061094,0.33604293807843977,0.5363100640181355,0.5406317558433195,0.5363100640181355,0.33604293807843955,0.19712570467061102,0.5266495671028236,0.5363100640181355,0.5266495671028236,0.19712570467061094,0.030242595859366422,0.19712570467061097,0.3360429380784399,0.1971257046706109,0.030242595859366395
