step,objective,mae,rmse,linf,grad_norm,learning_rate,worst_point_index,worst_point_ties,bump_highpass_rms,bump_laplacian_rms,bump_peak_to_valley,control_0,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,control_10,control_11,control_12,control_13,control_14,control_15,control_16,control_17,control_18,control_19,control_20,control_21,control_22,control_23,control_24
0,0.035,0.009257309147691838,0.013489176650069538,0.035,0.040000286414054835,0.06,840,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.03262082209251504,0.008858789079096365,0.012873819636170314,0.03262082209251504,0.03188638484454694,0.059999410786555685,880,4,0.0003721940051322696,0.08354431514024886,0.0022443699586394052,2.3177642829069405e-11,1.4316256027377332e-06,0.000163248536430099,1.4316256027377332e-06,2.317764282906949e-11,1.431625602737737e-06,0.05712772327897236,0.05999207348229529,0.05712772327897236,1.4316256027377414e-06,0.0001632485364300994,0.05999207348229527,0.05999998500000373,0.05999207348229528,0.00016324853643009992,1.4316256027377357e-06,0.057127723278972364,0.05999207348229529,0.05712772327897236,1.4316256027377408e-06,2.3177642829069518e-11,1.4316256027377423e-06,0.00016324853643010027,1.4316256027377436e-06,2.3177642829069596e-11
2,0.03120672859275889,0.008511953227451807,0.01234523562113134,0.03120672859275889,0.016224455799562592,0.05999764316948391,760,1,0.0006944867315456919,0.1563050580418777,0.0044357094748656775,4.5479901912118376e-11,2.4134246399672373e-06,0.0002499833174491873,2.142317949859842e-06,3.4602096764379927e-11,3.6322356165390536e-06,0.11358027249821111,0.1071868399684337,0.09662915285310475,2.142317949859855e-06,0.0008843329220475951,0.11308848123355589,0.1192695315161261,0.10718683996843367,0.0002499833174491887,1.867593178632083e-05,0.10389070984795945,0.11308848123355592,0.11358027249821112,2.4134246399672504e-06,3.683166565889314e-10,1.86759317863209e-05,0.0008843329220475991,3.6322356165390714e-06,4.5479901912118744e-11
3,0.030244174207135627,0.00820395344506092,0.011889754482877298,0.030244174207135627,0.016224455799562592,0.05999469721856714,760,1,0.0009790218023133961,0.2203977183351745,0.0064935262615080725,6.590173994722595e-11,4.781379389033492e-06,0.0029156775151971846,0.00023827739247906214,6.455246049816908e-09,5.091025164140729e-06,0.16704065327533907,0.14882102807095593,0.13509501669429852,0.00023827739247906317,0.001341137600738623,0.15432716871213928,0.17451669938183534,0.1488210280709559,0.0029156775151971998,2.955839932803153e-05,0.14000791986257183,0.1543271687121393,0.1670406532753391,4.781379389033517e-06,5.861031173934548e-10,2.9558399328031634e-05,0.0013411376007386288,5.091025164140754e-06,6.590173994722647e-11
4,0.029620399471245992,0.007896410995948223,0.011447056216229577,0.029620399471245992,0.009455011383357637,0.0599905730501065,919,2,0.0012621527276239696,0.28412641697667296,0.008500731753658907,8.538793185463199e-11,7.838433038798532e-06,0.0068067667757485805,0.0005909717132151974,1.606232279187757e-08,6.18092933582566e-06,0.21914123228586763,0.19758662115227915,0.1820210549202115,0.0005909717132151999,0.0016660850601008176,0.1882844486410789,0.22791739047621037,0.19758662115227912,0.006806766775748615,3.72771242639293e-05,0.16957204149620295,0.1882844486410789,0.21914123228586768,7.838433038798572e-06,7.405625756483526e-10,3.727712426392943e-05,0.0016660850601008248,6.180929335825691e-06,8.538793185463265e-11
5,0.029127305848953945,0.007589268823076937,0.011026646913123321,0.029127305848953945,0.005642284181909674,0.05998527082691709,960,1,0.0015372594518753774,0.34616135884284915,0.010527156052644916,1.0957627501867864e-10,1.0202921353840507e-05,0.009773445772392685,0.0008577341667756013,2.3322908776829686e-08,1.0632420935097507e-05,0.27222520433713726,0.23881892923290376,0.2216799957994236,0.000857734166775605,0.008182442347357799,0.2262889955988753,0.2777745468323524,0.2388189292329037,0.009773445772392735,0.0007825670105144212,0.2029499480590658,0.2262889955988753,0.2722252043371373,1.0202921353840559e-05,2.252314362025599e-08,0.000782567010514424,0.008182442347357835,1.0632420935097562e-05,1.0957627501867948e-10
6,0.02874527235774961,0.007281020146642167,0.010622433810263341,0.02874527235774961,0.005642284181909674,0.05997879075832159,960,1,0.001801024292820979,0.4064599917704978,0.012404101424443858,1.3113086491422105e-10,1.2073663880483945e-05,0.012122025670854204,0.001067669012357562,2.903343392758463e-08,1.547153087158847e-05,0.32118507951717484,0.274356658469217,0.25585662953241617,0.0010676690123575666,0.01881439641533179,0.2716045527474279,0.32345701920982317,0.2743566584692169,0.012122025670854266,0.0036551775610886694,0.24175477619702673,0.2716045527474279,0.3211850795171749,1.2073663880484008e-05,1.408023181409526e-07,0.0036551775610886832,0.018814396415331877,1.547153087158855e-05,1.3113086491422206e-10
7,0.028410189925328504,0.006972712552618611,0.010235328866007197,0.028410189925328504,0.005642284181909674,0.05997113310014203,720,1,0.0020583046841974855,0.46568991203536214,0.014168487260554068,1.508242131478738e-10,1.3595578977611877e-05,0.01402992969548053,0.0012374228937263698,3.364886779366817e-08,2.0584201524680235e-05,0.36705776085512043,0.30539239951177827,0.28569902026595156,0.001237422893726375,0.03214573109736081,0.32141692804802935,0.3659794228902278,0.3053923995117782,0.014029929695480604,0.007964293229235826,0.2872396943810752,0.32141692804802935,0.3670577608551205,1.3595578977611948e-05,3.2723292833661855e-07,0.007964293229235857,0.032145731097360956,2.0584201524680337e-05,1.5082421314787497e-10
8,0.028073775537003284,0.00666504734563971,0.009858352834959644,0.028073775537003284,0.005642284181909674,0.059962298154689626,720,1,0.002310655691474145,0.5244871139384443,0.0158483113469908,1.6913881488083933e-10,1.5950652271510534e-05,0.020640089018335327,0.0032998186797184295,1.206482557172046e-07,2.4807748859650144e-05,0.4105453040882167,0.3457132504262176,0.31917462976229094,0.0032998186797184442,0.04333611070215426,0.3653256446398019,0.40603480194110997,0.34571325042621753,0.02064008901833543,0.011538702475100429,0.32733213052338817,0.3653256446398019,0.41054530408821677,1.5950652271510616e-05,4.809100028142499e-07,0.011538702475100472,0.043336110702154464,2.4807748859650266e-05,1.6913881488084062e-10
9,0.027728088686105632,0.006367927486181893,0.009493277668640863,0.027728088686105632,0.005642284181909674,0.05995228627075291,720,1,0.002561447052914956,0.5831184245184697,0.01746096615849057,1.863960130605898e-10,1.894402736475492e-05,0.030486320959478688,0.006745794399967217,2.7077188125020705e-07,2.8349768185343992e-05,0.4521489331706179,0.3919557058430956,0.3609082348758104,0.006745794399967246,0.05284255533502396,0.40430095063124816,0.4441225902901864,0.3919557058430955,0.03048632095947884,0.014544843092013308,0.36291827331505266,0.40430095063124816,0.45214893317061794,1.894402736475501e-05,6.094812850409316e-07,0.014544843092013364,0.05284255533502421,2.8349768185344128e-05,1.8639601306059123e-10
