step,learning_rate,objective_total,data_mse,error_mae,error_rms,error_max,error_rms_fraction_of_target,top_y_mean,top_y_std,top_y_min,top_y_max,top_y_range,top_y_near_muscle_mean,top_y_far_mean,top_y_highpass_rms,top_y_highpass_peak_to_valley,top_y_first_difference_rms,top_y_second_difference_rms,activation_rms,activation_max_abs,activation_neighbor_jump_rms,activation_bound_hits,activation_smooth_mse
0.0,0.05,0.005000000000000002,0.005000000000000002,0.049999999999999996,0.07071067811865477,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.04999950751430866,0.004969551523148904,0.004969551523148904,0.050255542623022384,0.07049504608941613,0.09994889627598738,0.9969505025976869,0.0003106146739917634,0.00024351417303757799,5.110372401262732e-05,0.0008798639324059139,0.0008287602083932866,0.0005896767585572595,0.00014216919985039991,2.3759433808478825e-05,0.00017725492310464628,3.9490350679840306e-05,2.2296362290679324e-05,0.049954582404474396,0.049998049975475585,0.0,0.0,0.0
2.0,0.05,0.0049403723569756254,0.0049403723569756254,0.05051039405575721,0.07028778241611856,0.09989793101867711,0.9940193516200401,0.000620743920604398,0.00048689371368147385,0.00010206898132288916,0.0017581686749009527,0.0016560996935780635,0.001178930732215307,0.00028395328375059424,4.740875473836863e-05,0.00035371478929941785,7.886754737109401e-05,4.448898363047633e-05,0.09972763956574415,0.0999773548026326,0.0,0.0,0.0
3.0,0.04999950751430866,0.004912482383095923,0.004912482383095923,0.05076356272222401,0.07008910316943656,0.09984723236702092,0.9912096027678425,0.0009300181808237662,0.0007303610518037131,0.00015276763297908234,0.002635518887309395,0.002482751254330313,0.0017676284144141393,0.00042499597253863394,7.101019800082767e-05,0.0005298630315089803,0.00011820367853545552,6.66272132751427e-05,0.1493539743380152,0.14992381080562753,0.0,0.0,0.0
4.0,0.049998030076755136,0.004885893009086774,0.004885893009086774,0.05101397501635143,0.06989916315011771,0.09979694439643598,0.9885234452542612,0.001238018638454073,0.000974134840074233,0.0002030556035640227,0.0035123683230030974,0.0033093127194390747,0.0023556094137890046,0.0005648966655383185,9.461359541583439e-05,0.0007060948945443582,0.00015755878438593093,8.874859107748078e-05,0.19884807224638248,0.19982316122595994,0.0,0.0,0.0
5.0,0.04999556774590014,0.00486060628083708,0.00486060628083708,0.051260471523246365,0.06971804845832304,0.09974722836097998,0.9859620967194507,0.0015442730968521676,0.0012184288743772819,0.00025277163902003534,0.004388993570605907,0.004136221931585872,0.002942683459552521,0.0007032069851462592,0.00011825439497377635,0.0008827012334441818,0.00019697901667272395,0.00011087722092530319,0.24820168003456827,0.24966106107205693,0.0,0.0,0.0
6.0,0.04999212061934227,0.004836613734844934,0.004836613734844934,0.05150183463958089,0.06954576719574625,0.09969826424578222,0.9835256717386621,0.0018482532969568994,0.0014634621979122521,0.00030173575421778043,0.00526553377350877,0.00496379801929099,0.003528634629897255,0.0008394264622913792,0.00014195698099819275,0.0010598923285619717,0.00023650046677006265,0.0001330267509315823,0.2973877440048665,0.29942314808825826,0.0,0.0,0.0
7.0,0.04998768883371418,0.0048138951317526985,0.0048138951317526985,0.05173681742592502,0.06938223931059517,0.09965025182899806,0.9812130382085937,0.0021493735250494627,0.0017094683556844548,0.00034974817100193894,0.006142195287090816,0.005792447116088877,0.0041132256782542365,0.0009729995856145815,0.0001657377822675305,0.0012378203185120713,0.0002761527276322362,0.00015520314173090219,0.34636421628351993,0.34909512045501484,0.0,0.0,0.0
8.0,0.04998227256467711,0.004792417218598065,0.004792417218598065,0.05196385475234802,0.06922728666211081,0.09960341090093972,0.9790216768384716,0.0024469912011158457,0.0019567021784758893,0.0003965890990602878,0.007023578145582457,0.006626989046522169,0.004696201766432058,0.0011033151936788658,0.0001896075570350786,0.0014165953612985617,0.00031596153189221226,0.0001774067221656236,0.3950771311194564,0.3986628216107834,0.0,0.0,0.0
9.0,0.049975872026913955,0.004772132687506244,0.004772132687506244,0.052181346020592385,0.06908062454484791,0.09955798031704327,0.9769475612852762,0.002740410393479192,0.002205444009110473,0.00044201968295673954,0.007907119369445992,0.007465099686489252,0.005277293976083093,0.00122970910939246,0.0002135730190166147,0.001596296539676847,0.00035595062649798685,0.0001996337039699275,0.44346327637740873,0.44984698538335555,0.0,0.0,0.0
10.0,0.04996848747412076,0.00475297952890996,0.00475297952890996,0.052387586187148116,0.0689418561463931,0.09951421554174687,0.9749850797740403,0.0030288892847719186,0.0024560012881854484,0.00048578445825313906,0.008793356375340684,0.008307571917087544,0.0058562230637241855,0.001351470970326189,0.00023763801911997625,0.0017769790038251862,0.0003961430854301861,0.00022187736490431547,0.49145283564285525,0.5015375508020906,0.0,0.0,0.0
11.0,0.04996011919899664,0.004734881002790606,0.004734881002790606,0.05258079301897759,0.06881047160709339,0.0994723843621226,0.9731270218004023,0.003311652531777499,0.002708707236370645,0.0005276156378773979,0.009682872289428936,0.009155256651551539,0.00643270383849276,0.0014678561480462502,0.00026180443674247327,0.0019586784773528982,0.0004365621873241904,0.00024412905042386072,0.5389722777967424,0.5537370496991955,0.0,0.0,0.0
12.0,0.0499507675332322,0.004717746453940493,0.004717746453940493,0.052759148483134274,0.06868585337564419,0.09943276055277078,0.9713646538700582,0.0035879091566962114,0.0029639162830597462,0.0005672394472292162,0.010576278427872015,0.0100090389806428,0.00700645040852341,0.0015781033640727327,0.00028607287252748734,0.0021414138882375365,0.00047723191468431326,0.0002663790819304439,0.5859476448642801,0.6064506716602126,0.0,0.0,0.0
13.0,0.049940432847496385,0.0047014731582457605,0.0047014731582457605,0.05292085422778876,0.06856728927298907,0.09939561547790422,0.9696879042502036,0.0038568760295993806,0.0032219959705322133,0.000604384522095781,0.011474190129325294,0.010869805607229513,0.00757718237157218,0.0016814580416376818,0.0003104431868332056,0.0023251886437244476,0.0005181770847396247,0.00028861760678481463,0.6323082477195584,0.6596756807493211,0.0,0.0,0.0
