step,objective_total,objective_data,objective_regularizer,gradient_rms,equilibrium_residual_rms,forward_iterations,forward_converged,numerically_equilibrated,min_det_f,min_det_g,min_det_ainv,min_singular_ainv,orientation_preserving,verified_admissible,top_uy_mean,top_uy_range,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_l2_rms,activation_max_abs,activation_neighbor_jump_rms,activation_physical_h1_squared
0,0.003333333333333335,0.003333333333333335,0.0,2.6534244074812612e-06,2.0171483355801316e-17,1,1,1,0.9999999999999929,0.9999999999999929,1.0,1.0,1,1,0.0,0.0,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.003315669319749632,0.0033112003783607475,4.468941388884509e-06,6.9038014145878884e-06,1.2052155193530045e-10,5,1,1,0.9880621318872934,0.9813484572290058,0.9005648994208871,0.9029688035630864,1,1,0.0003397622064479662,0.0015971996653731226,0.09966745273700058,5.884223726196256e-05,0.007829359929897724,0.4334399967727414,0.045626984367817404,0.04986795416990239,0.014478839666516303,0.08937882777769018
2,0.0033152525820577443,0.0032868809119116086,2.8371670146135893e-05,1.7206179686802205e-05,3.986598343344845e-12,6,1,1,0.9756763592331232,0.9646498031679483,0.8023367378619413,0.8098646372073484,1,1,0.0007306774266021662,0.0022953734489732374,0.0993007690591308,8.295829034722342e-05,0.011429365144000626,0.5946458922932173,0.08585814396236928,0.0998101074681231,0.034548050623565835,0.5674334029227178
3,0.003263319239041364,0.003260150035559769,3.1692034815951612e-06,6.39602329777178e-06,6.718018107262881e-12,6,1,1,0.9585004624525791,0.9480204188969013,0.7196633625501208,0.7909282614230323,1,1,0.0011797429675239205,0.003592021460013787,0.09889615819979715,0.00012121465563962713,0.017828576850198372,0.8348069949757696,0.12411098344513018,0.14987152068727375,0.011293430964484175,0.06338406963190323
4,0.0032420958267070474,0.0032297644508851985,1.2331375821848705e-05,1.1730212117744713e-05,7.594246147286437e-12,6,1,1,0.9376803414797651,0.9289522919661918,0.6341833880343642,0.7234636181900901,1,1,0.001713688978455647,0.005589937277174573,0.09843420824416477,0.0001713225214870916,0.02641226512822511,1.1560961871802147,0.16487344660062167,0.200096552378828,0.022858406235405075,0.2466275164369741
5,0.0032139211214432463,0.0031954795407530268,1.8441580690219483e-05,1.4318246965113159e-05,8.106157811120599e-12,6,1,1,0.9131151830870767,0.9069794234593598,0.5555291735167984,0.6686102271863045,1,1,0.00234570965227967,0.008053831681678832,0.0979103601375211,0.0002347728247537377,0.03729480763421475,1.569158367973746,0.20580892844887672,0.25052850037147517,0.028089569641822267,0.3688316138043896
6,0.0031642195905034714,0.0031568943059719643,7.325284531507124e-06,9.946905334398143e-06,2.7067973412324794e-11,6,1,1,0.8856305857269227,0.8814275264080653,0.4839411008304967,0.6300194180588309,1,1,0.0030958728009372644,0.011157404428847344,0.09731743378200995,0.000317050620975444,0.05143653311041733,2.1025406121062375,0.24661440924058314,0.3012099043514466,0.017955350616249692,0.14650569063014246
7,0.00311376239628249,0.003113042737836787,7.196584457031608e-07,6.397360105991876e-06,3.8369121953926056e-13,7,1,1,0.856794536118746,0.8516068833373587,0.41687428291590717,0.5884537376006823,1,1,0.004003228758827972,0.015121386368826676,0.09663916500834618,0.0004272649666552585,0.07022283618222581,2.807959291123955,0.2878410521273113,0.35218081976232624,0.00620940615932127,0.014393168914063215
8,0.003069425796936515,0.003062885547788806,6.540249147708877e-06,1.0523707433318278e-05,2.7332035488525173e-11,9,1,1,0.8289367789899958,0.8188282463983615,0.35110690907343606,0.5220356268068024,1,1,0.00511829631004618,0.020169226250938675,0.09585748089411915,0.0005662113524657911,0.0943504866878725,3.676052618886207,0.3295232795533503,0.4034813152712187,0.016602759889602185,0.13080498295417753
9,0.0030174859941815005,0.0030062222442030066,1.1263749978494073e-05,1.3064712783196624e-05,4.783080889808862e-11,18,1,1,0.8033297978301718,0.7851279819753088,0.2912618407539533,0.46417203810421437,1,1,0.006494909427750141,0.02673764016810731,0.0949666611638475,0.0007406864375103655,0.1254916367912969,4.743800595032991,0.3713434584689617,0.45515064368139746,0.021656617504903268,0.22527499956988145
