step,objective_total,objective_data,objective_regularizer,gradient_rms,equilibrium_residual_rms,forward_iterations,forward_converged,numerically_equilibrated,min_det_f,min_det_g,min_det_ainv,min_singular_ainv,orientation_preserving,verified_admissible,top_uy_mean,top_uy_range,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_l2_rms,activation_max_abs,activation_neighbor_jump_rms,activation_physical_h1_squared
0,0.003333333333333335,0.003333333333333335,0.0,1.0606026207749236e-05,1.562880196799613e-17,1,1,1,0.9999999999999716,0.9999999999999716,1.0,1.0,1,1,0.0,0.0,0.10000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0033108454506867763,0.0033108454506867763,0.0,1.1865302369036802e-05,9.856604707010004e-12,6,1,1,0.9791851301651177,0.9791851301651177,0.9001559341217917,0.9008347015014788,1,1,0.00034475955004892767,0.0012960533003841634,0.09966211091513327,4.952617488974034e-05,0.0074089206554677845,0.40350985776138953,0.04805375240989163,0.049964717562541706,0.00385001275464122,0.024062837509278623
2,0.003284806207183085,0.003284806207183085,0.0,1.3494073406211854e-05,6.0158397703656445e-12,8,1,1,0.9487418917288511,0.9487418917288511,0.8011433459640058,0.8057398990282094,1,1,0.0007620096396458273,0.00263609721043799,0.09926942440424068,0.00010440005759314925,0.015483081312695216,0.8995256717248857,0.095104705137895,0.09999516272464096,0.008354617199976825,0.10199723405447758
3,0.0032540037155999063,0.0032540037155999063,0.0,1.567539784622262e-05,2.4737654638264327e-12,6,1,1,0.9038427144842611,0.9038427144842611,0.702939974508747,0.7106867848473625,1,1,0.0012797260997568418,0.004245631486951836,0.09880289037674819,0.0001755793101560066,0.02557503738155138,1.5606786537036677,0.1427431862916533,0.15014194110766882,0.013208823031319612,0.2497227680415439
4,0.003216790065038632,0.003216790065038632,0.0,1.8692455117099914e-05,5.166904439939119e-12,16,1,1,0.8405061487939189,0.8405061487939189,0.6054830104250765,0.6154124987737666,1,1,0.0019388811194384846,0.006610586040382971,0.09823629774740035,0.0002706573231915153,0.038514302356634306,2.4624992141683446,0.1907075290183764,0.20044076512261483,0.018214679637691397,0.4710466914468274
5,0.0031707448825817244,0.0031707448825817244,0.0,2.3015745545250016e-05,3.496639737840971e-11,7,1,1,0.7589927679871576,0.7589927679871576,0.508815827885732,0.5199895281559676,1,1,0.0028039815033532693,0.009963523440834772,0.09753068567248552,0.0004189234902919455,0.057322896174723956,3.856997574317017,0.238911180339218,0.250942765511819,0.023306450256522313,0.7680964956171974
6,0.003112967188254687,0.003112967188254687,0.0,2.746395705047816e-05,3.246231106761671e-10,15,1,1,0.7036810231004161,0.7036810231004161,0.41287942991329,0.42459529578921995,1,1,0.003947833998529124,0.01599181310089155,0.09663799234650967,0.0007840381276127821,0.09910693188218853,6.842919880874494,0.28728944641094045,0.3016842789644023,0.028466130319087127,1.1432614286230347
7,0.0030375336077831765,0.0030375336077831765,0.0,4.07595839726567e-05,9.261846659385273e-11,35,1,1,0.6302850231339803,0.6302850231339803,0.3172161599973229,0.32768987796482385,1,1,0.005419552291288239,0.029802136203629457,0.09545994355408728,0.0011593574564326735,0.15670584415503847,9.574818142838943,0.33360233691702285,0.35267530947433756,0.03327487163627064,1.5599593894385362
8,0.002947848300107976,0.002947848300107976,0.0,5.165085581401452e-05,9.230322451316837e-10,75,1,1,0.5453753101680222,0.5453753101680222,0.22191512953348555,0.2302190286193247,1,1,0.007606710933566557,0.05004081576841587,0.09404012388509454,0.001599706265020079,0.23045164818409902,14.697017458896388,0.380002164690449,0.403900464202436,0.03841768077202589,2.086563803282651
9,0.002847936427914789,0.002847936427914789,0.0,6.058310436491545e-05,2.484771807642814e-07,80,0,0,0.1743720389136772,0.1743720389136772,0.13460249642326805,0.14138917668500384,1,0,0.011434235245818452,0.07586522219783484,0.09243272842313141,0.002399717306903695,0.3498383251413181,21.383002041432498,0.4266023809735721,0.4545362019843539,0.04369780308654687,2.702979104936766
