index,singular_value,relative_to_largest
0,0.03711317833858621,1.0
1,0.027179256223004076,0.7323343739263114
2,0.02253706913209322,0.6072524677484076
3,0.017780231957165944,0.4790813601291596
4,0.01672522623814651,0.4506546457854151
5,0.013487973042796222,0.3634281311006152
6,0.01228120838638347,0.33091233184991914
7,0.01011082438606385,0.2724321882060886
8,0.009001139548996579,0.24253216652259021
9,0.008126232337215114,0.21895813565410402
10,0.007149760395373141,0.1926474830623602
11,0.0069386551237379,0.18695933451013136
12,0.006923779123318862,0.1865585065270542
13,0.006769704601033118,0.18240702909550385
14,0.0065489657963364815,0.17645930878217417
15,0.00624171090353157,0.16818044648690528
16,0.005788848305542881,0.155978241818332
17,0.005326951663295311,0.14353261837876416
18,0.005004740637429411,0.13485076895788337
19,0.004867671863465749,0.1311575047293882
20,0.004346995028680842,0.11712807211020548
21,0.0039622716781449125,0.10676185267661048
22,0.002690913670570497,0.07250561097249869
23,0.002380245732107466,0.0641347855037451
24,0.0022619717984545206,0.060947940858591745
25,0.0021694602926423164,0.05845525470360348
26,0.002031610066440491,0.05474093455176394
27,0.0019437916794546423,0.052374702638542305
28,0.001824186453121384,0.04915198683549005
29,0.0015721964142209296,0.04236221430236096
30,0.0014354819930219506,0.038678497969803195
31,0.001426646157027059,0.038440419842560046
32,0.0013651009273014352,0.03678210782292804
33,0.0013372852061118736,0.036032624150691805
34,0.001290411801749561,0.034769638697527895
35,0.0011387016553465192,0.030681868444627988
36,0.001020484837078253,0.027496562751060983
37,0.00046325466478146986,0.012482214822863297
38,0.00021264050115304002,0.005729514708039968
39,4.438860436933792e-05,0.0011960334942046047
40,2.1512529967797572e-05,0.0005796466627443547
41,9.274744715547437e-06,0.00024990435017268714
42,8.60649621886026e-06,0.00023189865713851214
43,5.071057682814129e-06,0.000136637655674502
44,3.2018294819754204e-06,8.62720366540666e-05
45,1.509771352775956e-06,4.068019556294001e-05
46,1.1380622706870321e-06,3.06646404763399e-05
47,3.6973923561517494e-07,9.962478347772243e-06
48,2.495486861249834e-07,6.723991242364982e-06
49,4.476094706383616e-08,1.2060661217284816e-06
50,8.10602762730529e-09,2.184137276886774e-07
51,1.1073765198964779e-09,2.9837824984801945e-08
52,6.174470604054705e-11,1.6636868305173335e-09
53,2.2230661857900763e-11,5.989964442034263e-10
54,9.693834197762638e-18,2.6119655151399557e-16
55,7.757581503558793e-18,2.0902498386922877e-16
56,6.309100719999834e-18,1.699962385986307e-16
57,5.629096763721668e-18,1.516737993272096e-16
58,3.541278870358116e-18,9.541836697603133e-17
59,3.0477115582334175e-18,8.21193897873398e-17
60,2.876765659512575e-18,7.751331975040331e-17
61,2.581940961916561e-18,6.956938417834567e-17
62,2.379141184450649e-18,6.410502390136387e-17
63,2.1484919256818515e-18,5.789027029916447e-17
64,2.0759656082201293e-18,5.593607718748701e-17
65,1.9481530692186567e-18,5.249221857113706e-17
66,1.870919101721655e-18,5.0411179679981175e-17
67,1.8181478619372576e-18,4.8989279369989904e-17
68,1.7548289565619846e-18,4.728317635726461e-17
69,1.6688106842553408e-18,4.4965447826393634e-17
70,1.5779581898268719e-18,4.251746308093166e-17
71,1.4772638201975469e-18,3.980429287732681e-17
72,1.3533917428604974e-18,3.6466608451407924e-17
73,1.301263594063874e-18,3.5062035975263345e-17
74,1.232188570751772e-18,3.3200836627637397e-17
75,1.2070082894783127e-18,3.2522363847867966e-17
76,1.1213474146523185e-18,3.0214265251609144e-17
77,1.0941346746811237e-18,2.9481028671251325e-17
78,1.081016941917513e-18,2.912757651892051e-17
79,1.0484149783454748e-18,2.824912942730771e-17
80,9.801532858566764e-19,2.640984495897029e-17
81,9.10920273326475e-19,2.4544388653973086e-17
82,8.645405642235491e-19,2.3294705625486532e-17
83,8.473123740409011e-19,2.2830498813947138e-17
84,8.427208397620742e-19,2.2706781727877654e-17
85,7.823935532845343e-19,2.1081286710254274e-17
86,7.601038248466055e-19,2.0480698740272882e-17
87,7.392257739872575e-19,1.991814786767243e-17
88,6.927910959760206e-19,1.8666983723561408e-17
89,6.763371679393599e-19,1.822363910115935e-17
90,6.59294937332684e-19,1.7764442897288088e-17
91,6.083360819743519e-19,1.6391376573153013e-17
92,6.000121286132146e-19,1.6167090922239547e-17
93,5.835678023212707e-19,1.5724005015074145e-17
94,5.7281449043434e-19,1.5434261253738817e-17
95,5.386032972328353e-19,1.451245410239776e-17
96,5.277877838884613e-19,1.4221034347244935e-17
97,4.936220233068615e-19,1.3300451359986259e-17
98,4.840012860778643e-19,1.3041224377558977e-17
99,4.679553170069979e-19,1.2608872049109017e-17
100,4.448834089850629e-19,1.1987208557735459e-17
101,4.35164666349093e-19,1.1725340858146243e-17
102,4.1183797856816403e-19,1.109681242632836e-17
103,3.8989508210625124e-19,1.0505569707590392e-17
104,3.7631037256781396e-19,1.0139535049644825e-17
105,3.6756448835061895e-19,9.903880637688896e-18
106,3.513713598400211e-19,9.467563155988278e-18
107,3.3885015111090155e-19,9.13018410925486e-18
108,3.273763910891196e-19,8.821028156156315e-18
109,3.219291507581737e-19,8.674254406916885e-18
110,3.042376615843062e-19,8.19756418619618e-18
111,2.957346347868198e-19,7.968453471939571e-18
112,2.9022656742326145e-19,7.820040762219378e-18
113,2.7713785295142403e-19,7.46737049635241e-18
114,2.581583017610507e-19,6.955973950973798e-18
115,2.5598365568129664e-19,6.897378967275161e-18
116,2.4569552005343297e-19,6.620169197365285e-18
117,2.375408723625956e-19,6.40044542117878e-18
118,2.2763424404873914e-19,6.1335152158625555e-18
119,2.0845760511706602e-19,5.616808218775881e-18
120,2.0175959988623688e-19,5.436333101023293e-18
121,1.985261376243298e-19,5.3492087315497876e-18
122,1.9502396597654082e-19,5.254844093311628e-18
123,1.9192589975592322e-19,5.171367916942315e-18
124,1.7773717960641535e-19,4.78905843053662e-18
125,1.6879021701247001e-19,4.547986040769256e-18
126,1.5953027329895615e-19,4.2984804977776334e-18
127,1.5820369881543706e-19,4.262736469836489e-18
128,1.49614277096631e-19,4.031297878389426e-18
129,1.4699504031729783e-19,3.9607235730729246e-18
130,1.4189446781730308e-19,3.823290652252674e-18
131,1.4014964446770105e-19,3.7762770730414325e-18
132,1.3115901805577346e-19,3.5340281788641284e-18
133,1.2534364603411221e-19,3.377335265942277e-18
134,1.1970107679025662e-19,3.2252984559343054e-18
135,1.154429066642913e-19,3.110563735907965e-18
136,1.0959569959756545e-19,2.953013040212184e-18
137,1.0757284014178525e-19,2.8985078874245275e-18
138,9.99103824862677e-20,2.692045978244656e-18
139,9.583497999950422e-20,2.582235860405023e-18
140,9.185574190362388e-20,2.4750168542725526e-18
141,9.055326231715231e-20,2.439922053859908e-18
142,8.352157731404063e-20,2.25045606582296e-18
143,8.167690403285374e-20,2.200752069459248e-18
144,7.776073830486878e-20,2.0952325234840288e-18
145,6.910507356626251e-20,1.8620090399106195e-18
146,6.873999243181886e-20,1.852172072267671e-18
147,6.78972464737282e-20,1.829464613736304e-18
148,6.059665043221516e-20,1.6327529234868415e-18
149,5.960040609201209e-20,1.6059095113943967e-18
150,5.661804102996634e-20,1.5255508572571138e-18
151,5.4159295754984153e-20,1.4593009324311968e-18
152,5.0231950262094004e-20,1.353480152085717e-18
153,4.80664049689656e-20,1.295130385504909e-18
154,4.593939653738381e-20,1.2378189795084477e-18
155,4.530446417179343e-20,1.2207109765290789e-18
156,4.375877302960527e-20,1.1790629363616023e-18
157,4.263299114677301e-20,1.1487291861082106e-18
158,4.059527749053591e-20,1.0938237927288862e-18
