state,case,nx,ny,variant,target_vector_rms,target_vertical_rms,top_uy_mean,top_uy_range,highpass_rms_width_0p02,slope_rms,curvature_rms,psd_total_non_dc,psd_band_1_4,psd_band_4_12,psd_band_12_24,psd_fraction_12_24
global_best,50x5-free,50,5,free,0.08675119601447809,0.08543196527829856,0.023126164354960514,0.13135057019847837,0.004554864564529294,0.7448122679848969,168.5858811639023,0.0006945170422659332,0.0006365112823837985,5.251855459292383e-05,4.750316270517046e-06,0.006839740397181113
global_best,100x10-free,100,10,free,0.08985048286446043,0.0871936156130046,0.016199561426788127,0.09916154530255857,0.0037184021414663525,0.6563530568685145,244.98295967254893,0.0002901065493028706,0.0002526170290444999,3.462328672574266e-05,1.6419688593000516e-06,0.005659882078656003
global_best,200x20-free,200,20,free,0.09104774116797815,0.08820800826511611,0.01442083864624999,0.0838226144907055,0.0023552132332035707,0.39364262813926854,89.62344874374301,0.00022842993204380614,0.00020690844152161997,1.9795722754669904e-05,1.3825885573148049e-06,0.006052571766512915
global_best,50x5-regularized,50,5,regularized,0.08922351804600065,0.08531676603739166,0.021721570922694246,0.11941713488625424,0.003644946618690468,0.6509422618929078,144.05249698541755,0.0005757190541341191,0.0005081308516420928,6.412364713747045e-05,2.8674717926011975e-06,0.004980678982240517
global_best,100x10-regularized,100,10,regularized,0.08800558255125025,0.08600002322453784,0.021055246434117818,0.11790770220563399,0.0034562451623673537,0.5867761620504517,122.9851564269998,0.00058186493952159,0.0005418437798508093,3.9101897419409066e-05,5.165750313097069e-07,0.0008877919878355887
global_best,200x20-regularized,200,20,regularized,0.0876588384591207,0.0848722992376475,0.02195279581922315,0.11084610613526026,0.0031772674352841044,0.526770411663285,81.74686046627465,0.0005559705487244538,0.0005148737897288882,3.959156122202332e-05,1.0234802926782702e-06,0.0018408894050708435
global_best,50x5-tied,50,5,tied,0.08675119601447809,0.08543196527829856,0.023126164354960514,0.13135057019847837,0.004554864564529294,0.7448122679848969,168.5858811639023,0.0006945170422659332,0.0006365112823837985,5.251855459292383e-05,4.750316270517046e-06,0.006839740397181113
global_best,100x10-tied,100,10,tied,0.09071422174296419,0.08899343310781327,0.01363929566849713,0.09696967016643382,0.00361153297536017,0.5361895059936584,126.92530754614225,0.00023082994184078835,0.00018936351582727104,3.818962065541786e-05,2.9278442944820372e-06,0.012683988355815105
global_best,200x20-tied,200,20,tied,0.09235029203817736,0.08999733170976,0.011641681547462457,0.07512640163731713,0.0023744508452537547,0.3499469066555884,66.9135296751319,0.00014616363755826675,0.00012569208632028176,1.9231505491359334e-05,8.960461622199192e-07,0.006130431461537203
admissible_prefix,50x5-free,50,5,free,0.09445791662536018,0.08904248030741788,0.011853879610452516,0.04908612542805859,0.001293010600160141,0.227708671349814,46.46373291809181,7.941237978415067e-05,7.129892035809961e-05,7.568231602489401e-06,4.891347650258303e-07,0.006159427111431978
admissible_prefix,100x10-free,100,10,free,0.09215319618668084,0.09073473765251051,0.010778210963288085,0.08135067052286064,0.0033649204464454197,0.5031888543954978,150.59403207721314,0.0001361324889791918,0.00010642231526720047,2.7545636922469188e-05,1.5956492814155708e-06,0.011721296608772577
admissible_prefix,200x20-free,200,20,free,0.0928185681395028,0.09153711297329174,0.009498639296717844,0.052261337292328965,0.0017529600450576033,0.2608336260871851,53.84146713783259,9.427338116979534e-05,8.368857803181384e-05,9.795187000426707e-06,5.697605357567713e-07,0.006043705324736135
admissible_prefix,50x5-regularized,50,5,regularized,0.09445646826538352,0.08939738187069947,0.011624772458980404,0.05086627611506907,0.0013477700987527168,0.24788174093920523,48.140538269146866,9.085552120433773e-05,7.854974254096805e-05,1.1775418711503029e-05,4.7456256608941304e-07,0.0052232661240487815
admissible_prefix,100x10-regularized,100,10,regularized,0.08883059974656948,0.0839535582341903,0.02643916277555791,0.12408449311728321,0.0026402483131091367,0.5770596970092909,69.42439908232963,0.0008185015835103586,0.0007663965544446329,5.147082442223633e-05,4.1975783097883007e-07,0.0005128369198488151
admissible_prefix,200x20-regularized,200,20,regularized,0.0910078928790231,0.08713757909189054,0.01600604178397832,0.07324900498829556,0.001525214477107483,0.32538075575185366,24.361610337973723,0.00026898633660034084,0.0002475897342829912,2.1035713095799062e-05,2.166393408169571e-07,0.0008053916178606471
admissible_prefix,50x5-tied,50,5,tied,0.09445791662536018,0.08904248030741788,0.011853879610452516,0.04908612542805859,0.001293010600160141,0.227708671349814,46.46373291809181,7.941237978415067e-05,7.129892035809961e-05,7.568231602489401e-06,4.891347650258303e-07,0.006159427111431978
admissible_prefix,100x10-tied,100,10,tied,0.09072137452731475,0.08925922104025696,0.013231021045427773,0.09680321191005618,0.003202622525245156,0.493199139189181,113.41553870900745,0.00021917641594722725,0.00018068483270446836,3.66695372531251e-05,1.4382440256084348e-06,0.006562038253033262
admissible_prefix,200x20-tied,200,20,tied,0.09395659752140761,0.09291518339325396,0.007743357817054979,0.04951190157773898,0.0015865760778121824,0.23047753388557057,38.54610877184419,6.0971639065031345e-05,5.207171074966222e-05,8.3330182762943e-06,4.0430408671985226e-07,0.006631018829732102
