variant,resolution,nx,ny,common_progress_fraction,target_data_loss,selected_step,actual_data_loss,relative_loss_mismatch,top_highpass_rms_width_0p02,top_error_rms,activation_l2_rms,activation_neighbor_jump_rms,min_det_f,min_det_g,min_det_ainv,equilibrium_residual_rms,common_grid_target_vector_rms,common_grid_highpass_rms_width_0p02,common_grid_psd_band_12_24
free,50x5,50,5,0.25,0.0032446146412786698,3,0.003258523424299214,0.00428672879780352,0.00020178668089265212,0.09887148361837018,0.14324778595946047,0.0057665996751048,0.9445792602455759,0.9445792602455759,0.7029673676373134,3.947939136647854e-13,0.0988550885089054,0.00016125703204032527,8.32691743821353e-09
free,100x10,100,10,0.25,0.0032446146412786698,3,0.003255887611083138,0.0034743632297811523,0.0002430830126751235,0.09883148705371893,0.13882400807751621,0.056694007936097746,0.9515341738941561,0.936719646635121,0.7045178356174581,3.830307331191157e-11,0.09880828888842107,0.00022843017596243034,1.1682642986319895e-08
free,200x20,200,20,0.25,0.0032446146412786698,3,0.003257052466486195,0.0038333751716732828,0.0001301897035987739,0.09884916489004136,0.13282622002842595,0.020598114111353885,0.9559999143222254,0.937605873541149,0.7086614098680949,4.196589209854664e-11,0.0988291856263709,0.0001297838358634777,4.296094690601857e-09
free,50x5,50,5,0.5,0.0031558959492240047,6,0.0031520326042271483,0.0012241674183860007,0.0004985936015366125,0.09724246918235595,0.28848068406611266,0.009049000843653478,0.8593024174875666,0.8593024174875666,0.4100874645490362,1.249248115227729e-10,0.09720581448961918,0.0003929729165316192,5.779749144351738e-08
free,100x10,100,10,0.5,0.0031558959492240047,5,0.003177092574597949,0.006716515916551766,0.0006192896248474208,0.0976282629354525,0.23413779154637598,0.10417360692777987,0.9003674848586232,0.8765320880488269,0.5113708817739583,1.2643106919572067e-11,0.09757784341568572,0.0005888432684269991,8.919824734841652e-08
free,200x20,200,20,0.5,0.0031558959492240047,5,0.0031794503351964525,0.0074636129807256766,0.0003641868765186205,0.0976644818016732,0.22543606750901754,0.03955252220300715,0.8941208490273376,0.875843780660783,0.5188030116921141,3.888762498557086e-12,0.09762895480878639,0.0003634697055958589,4.323403789927277e-08
free,50x5,50,5,0.75,0.003067177257169339,9,0.0030560623964184597,0.0036238077616476587,0.0015276383163996931,0.09575065111661318,0.41159731977362707,0.055393396158465544,0.7305981894646628,0.7305981894646628,0.13754463541332038,5.069161117912848e-11,0.09571414943824474,0.0011532287666358681,6.391110696760165e-07
free,100x10,100,10,0.75,0.003067177257169339,7,0.0030557860440412776,0.003713907665895505,0.001487356757339094,0.0957463217681172,0.3305538247909743,0.15399754047117004,0.7936934149124473,0.7936934149124473,0.31980883797843357,1.638092076649466e-11,0.09565511186934475,0.0014282350872184143,5.365330805259599e-07
free,200x20,200,20,0.75,0.003067177257169339,7,0.0030579723272529794,0.003001107906249545,0.0010277399528097213,0.0957805668273003,0.319529935661874,0.06041179297642002,0.7431414472085832,0.7431414472085832,0.330917502166368,2.389012951031377e-11,0.09573805153498788,0.001021425933231411,3.330025814822169e-07
free,50x5,50,5,1.0,0.002978458565114674,11,0.002978458565114674,0.0,0.001593472337076786,0.09452711619077366,0.4288944360238431,0.10367504066511968,0.6651660255727292,0.18337668982056335,0.02659531453933848,1.5237721412425235e-11,0.09445791662536018,0.001293010600160141,4.891347650258303e-07
free,100x10,100,10,1.0,0.002978458565114674,8,0.002989754427408014,0.003792519535320535,0.002941916015393716,0.09470619452931282,0.378274316851516,0.17836196566544757,0.7421976853864827,0.732917628623169,0.2278268973152006,1.0965724524807327e-11,0.0946064617876514,0.0028185997706892734,1.505563239836919e-06
free,200x20,200,20,1.0,0.002978458565114674,7,0.0030579723272529794,0.026696279434474533,0.0010277399528097213,0.0957805668273003,0.319529935661874,0.06041179297642002,0.7431414472085832,0.7431414472085832,0.330917502166368,2.389012951031377e-11,0.09573805153498788,0.001021425933231411,3.330025814822169e-07
regularized,50x5,50,5,0.25,0.003245077420776399,4,0.0032303909118425313,0.004525780753284389,0.00029206057488343515,0.09844375417225612,0.17679094769201803,0.019602166379415798,0.9195016591512012,0.9195016591512012,0.604854994109979,8.708981023814744e-13,0.09842032556781273,0.00024101319776022293,1.7555748867295435e-08
regularized,100x10,100,10,0.25,0.003245077420776399,3,0.003260150035559769,0.004644762768021709,0.00012121465563962713,0.09889615819979715,0.12411098344513018,0.011293430964484175,0.9585004624525791,0.9480204188969013,0.7196633625501208,6.718018107262881e-12,0.09887382552620154,0.00011307961422535799,2.780659328155662e-09
regularized,200x20,200,20,0.25,0.003245077420776399,3,0.0032603246665718717,0.004698576896148413,7.04645149935195e-05,0.0988988068669972,0.12241049564780736,0.008750725171007018,0.9671463153960249,0.9462160069756193,0.7151687207400945,6.860906477525704e-11,0.09887587813273593,6.923852111588372e-05,1.3421981221910365e-09
regularized,50x5,50,5,0.5,0.003156821508219463,6,0.0031611527683653175,0.0013720320057935991,0.0005191590770805418,0.09738304937254715,0.26090736451251273,0.01985768216251979,0.8579307896415879,0.8579307896415879,0.41020097274980416,4.631839278046804e-13,0.09734219195447073,0.00042191953584017386,5.7109905743614254e-08
regularized,100x10,100,10,0.5,0.003156821508219463,6,0.0031568943059719643,2.3060458854557553e-05,0.000317050620975444,0.09731743378200995,0.24661440924058314,0.017955350616249692,0.8856305857269227,0.8814275264080653,0.4839411008304967,2.7067973412324794e-11,0.09725782638133376,0.00030340539509274734,1.4511414440228576e-08
regularized,200x20,200,20,0.5,0.003156821508219463,6,0.0031559240194207476,0.0002843014077224125,0.0002178253078347993,0.09730247714350464,0.24427341586273582,0.019434257980433325,0.9031304924209523,0.8695744150951255,0.4857714240273908,5.163983326554109e-10,0.09724319472010506,0.00022209170049000338,5.986196732794292e-09
regularized,50x5,50,5,0.75,0.0030685655956625268,8,0.00307810470657408,0.0031086547164045964,0.0008419500275188306,0.09609533869924305,0.34607179652751824,0.02534185223729498,0.7435345968106327,0.7435345968106327,0.21526606733056555,7.129377472839807e-10,0.09603129853539877,0.0006838467631723761,1.619177631066826e-07
regularized,100x10,100,10,0.75,0.0030685655956625268,8,0.003062885547788806,0.001851043328436439,0.0005662113524657911,0.09585748089411915,0.3295232795533503,0.016602759889602185,0.8289367789899958,0.8188282463983615,0.35110690907343606,2.7332035488525173e-11,0.09575867149521908,0.000546715654044887,3.7163217567458116e-08
