state,variant,coarse,fine,profile_l2_difference,profile_difference_fraction_of_fine,profile_correlation
global_best,free,50x5-free,100x10-free,0.017068196734502668,0.5879858715958286,0.9612488601642442
global_best,free,100x10-free,200x20-free,0.0067843382631785345,0.26312087701753206,0.9655231178892582
global_best,regularized,50x5-regularized,100x10-regularized,0.011234638205462206,0.28024892361243464,0.9456876347567316
global_best,regularized,100x10-regularized,200x20-regularized,0.006409343188511649,0.16054159622232564,0.9825567949242776
global_best,tied,50x5-tied,100x10-tied,0.02160299646606975,0.8488487396450816,0.9203467786770697
global_best,tied,100x10-tied,200x20-tied,0.011917335988763851,0.5761430906442613,0.8383455366981436
admissible_prefix,free,50x5-free,100x10-free,0.011866600855772704,0.6020981095188738,0.7007290758168173
admissible_prefix,free,100x10-free,200x20-free,0.006763753262594516,0.40510166614714166,0.9195784592237491
admissible_prefix,regularized,50x5-regularized,100x10-regularized,0.03166406765076041,0.6551296644958687,0.9493642349735796
admissible_prefix,regularized,100x10-regularized,200x20-regularized,0.02052283486943254,0.7282520116279837,0.9924162172664615
admissible_prefix,tied,50x5-tied,100x10-tied,0.014434547121719649,0.5828096892460958,0.7403931069663258
admissible_prefix,tied,100x10-tied,200x20-tied,0.014178273439363901,1.0512441065276428,0.8420943339214911
