resolution,index,singular_value
50x5,0,0.05566112224070987
50x5,1,0.035004484367421866
50x5,2,0.030394486655319793
50x5,3,0.02702658014708469
50x5,4,0.024238750155652286
50x5,5,0.019703740767546666
50x5,6,0.01697671521623306
50x5,7,0.014195560710631659
50x5,8,0.013558005255174966
50x5,9,0.012148976749784258
50x5,10,0.011056618259667817
50x5,11,0.008310398953807797
50x5,12,0.0075773854437745525
50x5,13,0.005952324886285319
50x5,14,0.005766722315894298
50x5,15,0.00528260935350464
50x5,16,0.004995757194636134
50x5,17,0.004738202610714715
50x5,18,0.0027177473894257733
50x5,19,0.0011671998572245679
50x5,20,0.000307519143023189
50x5,21,8.09060002273768e-05
50x5,22,6.861322384081748e-05
50x5,23,2.6963429623067024e-05
50x5,24,1.6956291677810155e-05
50x5,25,3.442214143167855e-07
50x5,26,6.687101437607606e-18
50x5,27,4.733084647174978e-18
50x5,28,4.207689944610305e-18
50x5,29,3.322878328304942e-18
50x5,30,2.538333917361302e-18
50x5,31,2.2463007873155823e-18
50x5,32,1.8675501590755154e-18
50x5,33,1.7144600493271936e-18
50x5,34,1.5849891960471612e-18
50x5,35,1.4409655889869665e-18
50x5,36,1.3094160973289438e-18
50x5,37,1.074321158384622e-18
50x5,38,9.689128028906662e-19
50x5,39,8.646108797265529e-19
50x5,40,7.357233782311724e-19
50x5,41,6.187603764570771e-19
50x5,42,5.533398091323304e-19
50x5,43,4.619656655836797e-19
50x5,44,3.1807906383252245e-19
50x5,45,2.551759689601419e-19
50x5,46,1.2169059811264695e-19
50x5,47,5.985655933165117e-20
100x10,0,0.03711317833858621
100x10,1,0.027179256223004076
100x10,2,0.02253706913209322
100x10,3,0.017780231957165944
100x10,4,0.01672522623814651
100x10,5,0.013487973042796222
100x10,6,0.01228120838638347
100x10,7,0.01011082438606385
100x10,8,0.009001139548996579
100x10,9,0.008126232337215114
100x10,10,0.007149760395373141
100x10,11,0.0069386551237379
100x10,12,0.006923779123318862
100x10,13,0.006769704601033118
100x10,14,0.0065489657963364815
100x10,15,0.00624171090353157
100x10,16,0.005788848305542881
100x10,17,0.005326951663295311
100x10,18,0.005004740637429411
100x10,19,0.004867671863465749
100x10,20,0.004346995028680842
100x10,21,0.0039622716781449125
100x10,22,0.002690913670570497
100x10,23,0.002380245732107466
100x10,24,0.0022619717984545206
100x10,25,0.0021694602926423164
100x10,26,0.002031610066440491
100x10,27,0.0019437916794546423
100x10,28,0.001824186453121384
100x10,29,0.0015721964142209296
100x10,30,0.0014354819930219506
100x10,31,0.001426646157027059
100x10,32,0.0013651009273014352
100x10,33,0.0013372852061118736
100x10,34,0.001290411801749561
100x10,35,0.0011387016553465192
100x10,36,0.001020484837078253
100x10,37,0.00046325466478146986
100x10,38,0.00021264050115304002
100x10,39,4.438860436933792e-05
100x10,40,2.1512529967797572e-05
100x10,41,9.274744715547437e-06
100x10,42,8.60649621886026e-06
100x10,43,5.071057682814129e-06
100x10,44,3.2018294819754204e-06
100x10,45,1.509771352775956e-06
100x10,46,1.1380622706870321e-06
100x10,47,3.6973923561517494e-07
100x10,48,2.495486861249834e-07
100x10,49,4.476094706383616e-08
100x10,50,8.10602762730529e-09
100x10,51,1.1073765198964779e-09
100x10,52,6.174470604054705e-11
100x10,53,2.2230661857900763e-11
100x10,54,9.693834197762638e-18
100x10,55,7.757581503558793e-18
100x10,56,6.309100719999834e-18
100x10,57,5.629096763721668e-18
100x10,58,3.541278870358116e-18
100x10,59,3.0477115582334175e-18
100x10,60,2.876765659512575e-18
100x10,61,2.581940961916561e-18
100x10,62,2.379141184450649e-18
100x10,63,2.1484919256818515e-18
100x10,64,2.0759656082201293e-18
100x10,65,1.9481530692186567e-18
100x10,66,1.870919101721655e-18
100x10,67,1.8181478619372576e-18
100x10,68,1.7548289565619846e-18
100x10,69,1.6688106842553408e-18
100x10,70,1.5779581898268719e-18
100x10,71,1.4772638201975469e-18
100x10,72,1.3533917428604974e-18
100x10,73,1.301263594063874e-18
100x10,74,1.232188570751772e-18
100x10,75,1.2070082894783127e-18
100x10,76,1.1213474146523185e-18
100x10,77,1.0941346746811237e-18
100x10,78,1.081016941917513e-18
100x10,79,1.0484149783454748e-18
100x10,80,9.801532858566764e-19
100x10,81,9.10920273326475e-19
100x10,82,8.645405642235491e-19
100x10,83,8.473123740409011e-19
100x10,84,8.427208397620742e-19
100x10,85,7.823935532845343e-19
100x10,86,7.601038248466055e-19
100x10,87,7.392257739872575e-19
100x10,88,6.927910959760206e-19
100x10,89,6.763371679393599e-19
100x10,90,6.59294937332684e-19
100x10,91,6.083360819743519e-19
100x10,92,6.000121286132146e-19
100x10,93,5.835678023212707e-19
100x10,94,5.7281449043434e-19
100x10,95,5.386032972328353e-19
100x10,96,5.277877838884613e-19
100x10,97,4.936220233068615e-19
100x10,98,4.840012860778643e-19
100x10,99,4.679553170069979e-19
100x10,100,4.448834089850629e-19
100x10,101,4.35164666349093e-19
100x10,102,4.1183797856816403e-19
100x10,103,3.8989508210625124e-19
100x10,104,3.7631037256781396e-19
100x10,105,3.6756448835061895e-19
100x10,106,3.513713598400211e-19
100x10,107,3.3885015111090155e-19
100x10,108,3.273763910891196e-19
100x10,109,3.219291507581737e-19
100x10,110,3.042376615843062e-19
100x10,111,2.957346347868198e-19
100x10,112,2.9022656742326145e-19
100x10,113,2.7713785295142403e-19
100x10,114,2.581583017610507e-19
100x10,115,2.5598365568129664e-19
100x10,116,2.4569552005343297e-19
100x10,117,2.375408723625956e-19
100x10,118,2.2763424404873914e-19
100x10,119,2.0845760511706602e-19
100x10,120,2.0175959988623688e-19
100x10,121,1.985261376243298e-19
100x10,122,1.9502396597654082e-19
100x10,123,1.9192589975592322e-19
100x10,124,1.7773717960641535e-19
100x10,125,1.6879021701247001e-19
100x10,126,1.5953027329895615e-19
100x10,127,1.5820369881543706e-19
100x10,128,1.49614277096631e-19
100x10,129,1.4699504031729783e-19
100x10,130,1.4189446781730308e-19
100x10,131,1.4014964446770105e-19
100x10,132,1.3115901805577346e-19
