step,optimizer_phase,optimizer_iteration,optimizer_evaluation,learning_rate,evaluation_success,objective,gradient_rms,gradient_inf,activation_update_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,min_singular_ainv,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms
0,adam,0,1,0.03,1,0.0013468013333333404,3.3101436803361704e-06,1.56583145443819e-05,0.0,1,1,,0,9.461119458572164e-18,0.9999999999999778,0.9999999999999778,1.0,1.0,0.03366666666666676,0.03669879198738482,0.050000000000000086,0.03669879198738482,3.239945264339065e-17,3.2381323224342745e-15,2.499144002924421e-13,0.0,0.0
1,adam,1,2,0.029699999999999997,1,0.0012587481388772461,3.09533702948121e-06,1.3167470867358441e-05,0.029443462090161895,1,1,,0,1.8459703284359918e-17,0.9648065480062844,0.9544043860121423,0.9400448586520465,0.9401096508697769,0.032572324936975844,0.035478840720593534,0.048309600033767226,0.03546663016141462,8.253207900590631e-05,0.012708906958231559,0.5328549856645985,0.011161698954572979,0.0294434620901619
2,adam,2,3,0.029403,1,0.0011767860165906978,2.9058822153063193e-06,1.0814636338457925e-05,0.028680377816724643,1,1,,0,1.7779066109187353e-17,0.9309010695498653,0.9068496835159674,0.8810250348916209,0.8813295393374754,0.03151750168866172,0.034304314839254516,0.04668845869043227,0.034256246054338226,0.00015713914604624624,0.024576160030533072,1.0179854613827384,0.02196518708708545,0.058086791798438404
3,adam,3,4,0.029108969999999998,1,0.0011005912084266706,2.744271867597852e-06,9.343143590696945e-06,0.027619510526297457,1,1,,0,1.5711732124428333e-17,0.8994293231601833,0.8586064649646327,0.8229840583733355,0.8240746171636476,0.03049804715781319,0.033175159508684667,0.045181846496508464,0.03307165857343643,0.00022301240565623137,0.035431062626725435,1.4585366198683982,0.03223771313314706,0.08556754368506975
4,adam,4,5,0.028817880299999998,1,0.001029625641016917,2.609390267986096e-06,8.050230780288821e-06,0.026348253585292993,1,1,,0,1.5152482203889214e-17,0.8728432974259321,0.7996404127795308,0.7657438940183363,0.7678487276466848,0.029505914884339797,0.03208778024446249,0.04388407410322303,0.031917455888416234,0.0002807190274327197,0.04526991119976508,1.86016234873583,0.041867183777411686,0.11157961135139483
5,adam,5,6,0.028529701496999998,1,0.0009632141464544197,2.4963024861334382e-06,6.8838930233190376e-06,0.02507872501754876,1,1,,0,1.709238532882542e-17,0.8527296015557089,0.7309465012630927,0.7094434655583923,0.7130208128941944,0.02853080947801492,0.031035691493092588,0.04274988187870594,0.030797843832776315,0.0003300844053756447,0.054053202575970266,2.219443895035798,0.05082825374616994,0.1359798074318397
6,adam,6,7,0.02824440448203,1,0.0009007130025705074,2.3981433187633154e-06,5.874040791883371e-06,0.02406663634512255,1,1,,0,1.8348326137209017e-17,0.8355576409712843,0.6579315254408914,0.6542797217375286,0.6598779020981296,0.027563465983766113,0.03001188102352979,0.04176177708261503,0.029715363802406313,0.00037043046218763846,0.06171080843417234,2.5274410671432603,0.05912904679972873,0.15888678723630978
7,adam,7,8,0.027961960437209697,1,0.0008416482055130273,2.308760751330009e-06,5.030197128707141e-06,0.023388440172372224,1,1,,0,1.668126162667303e-17,0.8101814130904843,0.5824870984221789,0.6003964983604513,0.6086376146259237,0.02659826860941433,0.029011173804467605,0.04086339772876523,0.02867060607762545,0.0004011554608358318,0.06819466277825298,2.7745442692428095,0.06677368200305984,0.18060409971924918
8,adam,8,9,0.0276823408328376,1,0.0007857285675014816,2.2240875549356343e-06,4.398405992424874e-06,0.0229472662603825,1,1,,0,1.5504170851115158e-17,0.7844022667219801,0.5063864601353819,0.5480723203704388,0.5589213028513037,0.02563336478544489,0.028030850281457423,0.0400417090448541,0.0276628435110675,0.0004220389884014124,0.07349936933731731,2.9532326112122664,0.07378746775328486,0.20145447953565151
9,adam,9,10,0.027405517424509224,1,0.0007327904914652593,2.14209688053671e-06,4.32339016611427e-06,0.022621731971170643,1,1,,0,1.9012257316139055e-17,0.7581578727282914,0.43108588126711034,0.49735854640924243,0.5099486549801071,0.02466954212558736,0.027070103277698432,0.03921619656525846,0.026690670994605186,0.00043344805875576546,0.07767342905200887,3.059780741421549,0.08023944130004422,0.22168992724366754
