step,optimizer_phase,optimizer_iteration,optimizer_evaluation,learning_rate,evaluation_success,objective,gradient_rms,gradient_inf,activation_update_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,min_singular_ainv,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms
0,adam,0,1,0.03,1,0.033666666666666664,4.0570787548893896e-05,0.00010221954443932235,0.0,1,1,,0,6.225748016032108e-18,0.9999999999999929,0.9999999999999929,1.0,1.0,0.033666666666666664,0.036698791987384724,0.05,0.036698791987384724,0.0,0.0,0.0,0.0,0.0
1,adam,1,2,0.029699999999999997,1,0.03240248363273308,4.436364680837436e-05,0.00010210861028136824,0.028737865950230323,1,14,,0,2.1591724418343696e-12,0.9878474244603718,0.9818635623031543,0.9400064691565312,0.9400139557642074,0.03240248363273308,0.03552074713364907,0.048422202036498996,0.03551872006035379,9.340673945315635e-05,0.012814590134096523,0.47178527044382806,0.005411648544427157,0.028737865950230326
2,adam,2,3,0.029403,1,0.031009884155402012,4.878342911520628e-05,0.00010724513603359168,0.027944351597828602,1,8,,0,3.671580099761506e-11,0.9755394186845714,0.9621477588399997,0.8805650435996542,0.8806173073748306,0.031009884155402012,0.03423816691800906,0.04672312619142172,0.0342299501632713,0.0001974442336211873,0.026926852901875433,0.9879592506956113,0.01064317042683962,0.056618438633366665
3,adam,3,4,0.029108969999999998,1,0.0294652387659885,5.396121783236657e-05,0.0001144388984823501,0.028076987463410082,1,11,,0,1.8541738849621237e-11,0.9599223664281351,0.9408441785952254,0.8216329889345912,0.821759927567102,0.0294652387659885,0.03283790396963105,0.04496624465019553,0.03281813281542945,0.00032013901811328013,0.043468254463749266,1.60951805578853,0.016225436927871224,0.08466967601960014
4,adam,4,5,0.028817880299999998,1,0.02776046500269031,5.974213571512737e-05,0.00020060403147483216,0.028021788501122052,1,8,,0,6.266293034520452e-10,0.9413919451494085,0.917897709797159,0.7631954223301416,0.7633968723593362,0.02776046500269031,0.031315779483804526,0.043264518467847284,0.031279887340606105,0.00046490246967144773,0.06289919392690768,2.3515138123795274,0.02201324171884823,0.11266247823467317
5,adam,5,6,0.028529701496999998,1,0.026038034311837266,7.78446747531484e-05,0.0003621772198295816,0.027714144153203436,1,9,,0,2.7341511606233425e-09,0.9198154708722697,0.8933054352963846,0.7052244761666395,0.7055672648723311,0.026038034311837266,0.02966906127952662,0.04154786858438645,0.029615340994452066,0.0006270644269518608,0.08488713191843021,3.189242122101952,0.027398666486830175,0.14021382735485388
6,adam,6,7,0.02824440448203,1,0.02425597536402275,9.264420568405383e-05,0.0004644093198078788,0.02613808718756427,1,17,,0,3.0641867740774795e-09,0.8984696929787026,0.8654146018284925,0.64857984047463,0.6490886512854273,0.02425597536402275,0.027823245040656846,0.03981715288504723,0.027749709123352853,0.0007104270697800997,0.09859793614805545,3.7141134715494135,0.03239887859766019,0.16527078055892763
7,adam,7,8,0.027961960437209697,1,0.022171027917904547,9.77655882244504e-05,0.0004495772267729221,0.02565609379678064,1,25,,0,2.028978049358028e-10,0.872210598136452,0.8328166626795973,0.59453237148548,0.5942473100375971,0.022171027917904547,0.025794694428144915,0.03801014243605873,0.025698488497814802,0.0007923786138572752,0.1139935633038803,4.41672253162056,0.03998395360800659,0.18915342871008387
8,adam,8,9,0.0276823408328376,1,0.0201373669808113,0.0001195976674162231,0.0006446640258908078,0.025355948689031974,1,20,,0,1.3600839831831251e-11,0.8385061584331592,0.7871807965290482,0.5394826489093415,0.5389243957113198,0.0201373669808113,0.02369273503452736,0.03621900552376546,0.023556975047719995,0.0009705694545835105,0.14316407083619329,5.741695495960867,0.0499382857941494,0.21252664814078556
9,adam,9,10,0.027405517424509224,1,0.01834172825262031,0.0001585742333440119,0.0007579449208576744,0.023938879481703836,1,18,,0,6.38856226811425e-09,0.8048141386307096,0.7340862059404396,0.4839917699990674,0.4839821366435444,0.01834172825262031,0.0215416513267301,0.034649900892921845,0.021336111773957635,0.0012718675783614537,0.18192274272019598,7.851074580811829,0.05915783551784033,0.2343615276460287
