step,optimizer_phase,optimizer_iteration,optimizer_evaluation,learning_rate,evaluation_success,objective,gradient_rms,gradient_inf,activation_update_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,min_singular_ainv,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms
0,adam,0,1,0.03,1,0.001360544,1.3569592528543922e-05,4.5664487565370356e-05,0.0,1,1,,0,7.990818503162195e-18,0.9999999999999964,0.9999999999999964,1.0,1.0,0.033999999999999996,0.0368855527273213,0.05,0.0368855527273213,0.0,0.0,0.0,0.0,0.0
1,adam,1,2,0.029699999999999997,1,0.0012661305248217796,1.3533127489786239e-05,3.649367072358396e-05,0.029822622647876447,1,10,,0,1.40402113444108e-11,0.9825606258408842,0.9739242293140716,0.9400146939038708,0.9400348200438331,0.032821678526152226,0.03558272790022962,0.04834687805910562,0.03556845768307532,6.529565754373758e-05,0.009790157999668751,0.2648016448719772,0.012950634438774094,0.029822622647876447
2,adam,2,3,0.029403,1,0.0011688359060768483,1.3839633290558392e-05,3.336356623778998e-05,0.02919569813214547,1,7,,0,3.957918857519175e-09,0.957739420118252,0.9485843317853193,0.8806516892476627,0.8807205661029458,0.03153059004336663,0.034188242219758073,0.046602844002453625,0.03413474588774711,0.00013480668337174624,0.01954796810874937,0.549733112920828,0.023933829781765337,0.058945432173126214
3,adam,3,4,0.029108969999999998,1,0.0010676111512294944,1.4432262922862293e-05,2.99451701028924e-05,0.02874780158334667,1,13,,0,4.715023002432233e-12,0.9170452129189686,0.9170452129189686,0.8217882622713535,0.8218425697829326,0.0301046306739604,0.03267431944554461,0.04474948594926594,0.03256022415904085,0.00024514087866781426,0.030761562982082574,1.013241955776539,0.03456655862168929,0.0876052892705677
4,adam,4,5,0.028817880299999998,1,0.0009630395842031371,1.5224688525962934e-05,2.925660435060591e-05,0.02832023359666927,1,10,,0,3.889996210178804e-09,0.7896698403453806,0.7896698403453806,0.7634472250145999,0.7634124419640596,0.02846264914979228,0.03103287908337119,0.04277779526249822,0.030844218129126858,0.0006331277457330131,0.07401799993197691,2.481706981206962,0.044828580013885,0.1157874123316342
5,adam,5,6,0.028529701496999998,1,0.0008540419200681622,1.6018147898548905e-05,3.234916574405292e-05,0.027779424167502217,1,16,,0,7.471284636926727e-09,0.8128062933686642,0.8128062933686642,0.7056284287779417,0.7062032364803564,0.026707263482830326,0.0292239956212042,0.040604066394632536,0.02892799215327374,0.0009738783444002985,0.07601711283001708,3.484416824990154,0.053115965133562267,0.14325648487701753
6,adam,6,7,0.02824440448203,1,0.0007389357954527749,1.6926501869080243e-05,3.625303845784065e-05,0.02736771873383233,1,6,,0,7.103608408421423e-09,0.7940696611311391,0.7940696611311391,0.64815463922773,0.6490532565333343,0.024718806644375466,0.027183373511261894,0.03819101219241326,0.026782432677396377,0.0011134753537795305,0.09081046740813481,3.9832966824489175,0.060872015948006855,0.17023890539353276
7,adam,7,8,0.027961960437209697,1,0.0006183916948703679,1.7811074062047862e-05,4.167336199119648e-05,0.027029735942394426,1,6,,0,4.975549043637311e-09,0.7762360656440752,0.7762360656440752,0.5909232017821566,0.592416637032995,0.02245121845654842,0.024867482680608583,0.035490241655880515,0.02436565431697302,0.0012233773659113556,0.10574332371137048,4.387668429182809,0.06856502160949965,0.19681113318714707
8,adam,8,9,0.0276823408328376,1,0.0004939262577600924,1.854899120744074e-05,5.025336859752515e-05,0.026704472056048284,1,8,,0,2.0043742494476682e-09,0.7599126321131401,0.7599126321131401,0.5340233198095352,0.5359160614674037,0.019822705816821287,0.022224451798865417,0.032410523852999536,0.021641392314875323,0.0013139054736306262,0.12191072915623022,4.743940431819634,0.07646638651693907,0.22298077472366282
9,adam,9,10,0.027405517424509224,1,0.0003693429885227806,1.929198554205295e-05,6.759873059291578e-05,0.02637060229811047,1,18,,0,4.1968895158068225e-11,0.7429810404618508,0.7429810404618508,0.47752973723699116,0.47936160542501466,0.016806551411699885,0.019218298273332646,0.029553859452057765,0.01857461327292944,0.0013928652316998898,0.139902744896378,5.091189535974663,0.0847635538959337,0.248743341711557
