activation_neighbor_jump_rms,activation_rms,adjoint/absolute_residual,adjoint/best_solver,adjoint/relative_residual,adjoint/result,adjoint/success,elapsed_s,error_mae,error_max,error_rms,evaluation_success,forward/grad_norm,forward/result,forward/steps,forward/success,grad_norm,learning_rate,loss,min_det_ainv,min_det_f,min_det_g,step,top_curvature_rms,top_highpass_rms,top_laplacian_rms,top_slope_rms
0.0,0.0,8.772414997125425e-07,0,0.0004939628233592007,success,True,0.09531401901040226,0.0236328125,0.05,0.02752685546875,True,0.0,primary_success,1,True,3.5778061889409615e-05,0.02,0.000757727771997452,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0
0.01301948848970906,0.015713494268838276,8.264780090444074e-07,0,0.0004890879719063249,success,True,0.24207868598750792,0.023051755754745693,0.046948226354234755,0.02619244364210595,True,3.462733008082437e-07,primary_success,95,True,2.8630570721933883e-05,0.0198,0.0006860441039448965,0.9412652980958558,0.9640161334256385,0.9387771271547759,1,0.40194504889304367,0.0001176986598529121,0.3949464972713545,0.019693487518483353
0.021282003814153436,0.029751412706608218,7.625987367674955e-07,0,0.00047203324743837834,success,True,0.2451535300060641,0.02240179839622343,0.04436391508104517,0.025041203101777824,True,3.974491966860338e-07,primary_success,92,True,2.679754357277297e-05,0.019602,0.0006270618527844874,0.8862499557518905,0.9407431772166166,0.8864473054030727,2,0.7901524738506812,0.0002335564875092078,0.7766924902424083,0.03531512966360672
0.026740832239174468,0.042948438140704134,7.676746616296027e-07,0,0.0004973891844756202,success,True,0.6423521119868383,0.021597639639754064,0.04200706855271993,0.02392283070610691,True,4.185675138758065e-07,primary_success,371,True,2.7898531008562797e-05,0.01940598,0.0005723018289930517,0.832993882023126,0.7115222001942711,0.7115222001942711,3,1.3612569091757607,0.0004814211414961925,1.3346179722782578,0.05166591601218229
0.030450402330540118,0.055486422490515344,7.214342794793668e-07,0,0.0004915072123680333,success,True,0.48702884701197036,0.020633227812489087,0.03987354325934927,0.02275089978447172,True,3.975289846458677e-07,primary_success,263,True,2.8085786302322677e-05,0.0192119202,0.0005176034410030755,0.7810585693345223,0.6956821019593907,0.6956821019593907,4,1.881619158189374,0.0006469758625191021,1.836849214702514,0.06376726063734968
0.033358844329053276,0.06777585311041896,6.783146260988027e-07,0,0.0004887461397671354,success,True,0.3590657930180896,0.019506579024810584,0.03778336404849943,0.021511938098459065,True,3.9025459101574033e-07,primary_success,167,True,2.963439969526202e-05,0.019019800998,0.00046276348075193467,0.7309186050628479,0.6312556444375018,0.6312556444375018,5,2.426907755941115,0.0008206540239737721,2.3488727882166547,0.07527449044024873
0.03584538925844299,0.07986832979675448,6.112620495002144e-07,0,0.0004685929312324403,success,True,0.7349441940023098,0.018262452835733144,0.041051307504172976,0.02021917347821359,True,3.889190130959933e-07,primary_success,430,True,3.000410624133606e-05,0.01882960298802,0.00040881497614209594,0.6823863380793308,0.6015571429890039,0.6015571429890039,6,2.6930011243380703,0.0009932649160372912,2.601701797209335,0.08353807144268822
0.03808691526411467,0.09182369508252243,6.046929344328734e-07,0,0.0004989957899973013,success,True,0.29909792001126334,0.016844287136792212,0.03387297943394634,0.0187832055331774,True,3.6420263227113716e-07,primary_success,132,True,2.916718033539646e-05,0.0186413069581398,0.00035280881010158605,0.6347836670085975,0.5675472991735695,0.5675472991735695,7,2.90626747748005,0.0009894414403713065,2.81785003558389,0.08850939090942408
0.04033725889233837,0.10376553997170437,5.407953249504592e-07,0,0.00048464644193617275,success,True,0.26404898599139415,0.015325794353284444,0.031884437009567806,0.01729575792044308,True,3.562052098293437e-07,primary_success,105,True,2.858987371151401e-05,0.0184548938885584,0.0002991432420425696,0.5884443163190302,0.5457116221289325,0.5457116221289325,8,2.96633887136693,0.0009973481857178568,2.8820243494092623,0.09342590879296994
0.042649613511362976,0.11567004141877962,4.965939297738381e-07,0,0.0004885531282170528,success,True,0.48158726800465956,0.013826174985814933,0.029943838826276655,0.015755105160384527,True,3.395303372517087e-07,primary_success,253,True,2.8741139488536994e-05,0.018270344949672817,0.0002482233386147751,0.5427898770448206,0.5708343141292773,0.5708343141292773,9,3.236887761361821,0.0011302040036130516,3.1799510876377113,0.10300824374086925
