step,optimizer_phase,optimizer_iteration,optimizer_evaluation,learning_rate,evaluation_success,objective,gradient_rms,gradient_inf,activation_update_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,min_singular_ainv,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms
0,adam,0,1,0.03,1,0.0013468013333333333,3.3006071133163826e-06,1.5533369413942387e-05,0.0,1,1,,0,6.225748016032108e-18,0.9999999999999929,0.9999999999999929,1.0,1.0,0.033666666666666664,0.036698791987384724,0.05,0.036698791987384724,0.0,0.0,0.0,0.0,0.0
1,adam,1,2,0.029699999999999997,1,0.0012626542486650959,2.911192461056053e-06,1.3068231004349468e-05,0.02944345190369687,1,6,,0,3.767216181251642e-11,0.9300742399460338,0.9581968242667052,0.9401097687605156,0.9401668859412845,0.03263277821064262,0.035533846522225764,0.048394335151744676,0.0355215075200508,8.179462908924623e-05,0.01275195452323752,0.5320307686056179,0.011176419145044312,0.029443451903696877
2,adam,2,3,0.029403,1,0.001190774554501059,2.574929562617768e-06,1.0322701655559479e-05,0.027467506087813114,1,9,,0,4.443875969397194e-11,0.8711427041251018,0.9170723340216541,0.881073078121664,0.881467843101119,0.03173703033991056,0.03450760140173552,0.04721939609030092,0.03446284648658363,0.00014941166620196941,0.02438787555132082,1.0087190814350804,0.02195034207225955,0.05650734672693248
3,adam,3,4,0.029108969999999998,1,0.001128386370871792,2.306787172405936e-06,1.0883571077351976e-05,0.025321417075906485,1,6,,0,1.7515266707990897e-09,0.8200948761955171,0.8786052016302566,0.8233956599145601,0.8238747957650427,0.030938846408783187,0.03359146276767048,0.04644185112210125,0.03350658460266212,0.00021901844002541077,0.036489953723483216,1.550438965153854,0.03292035686692108,0.08107402799476468
4,adam,4,5,0.028817880299999998,1,0.0010814189249931613,2.094007801819081e-06,9.590599778864505e-06,0.023972600223902366,1,8,,0,4.905265970223852e-09,0.7762041084899723,0.8179913172637697,0.7673690021141856,0.7672095803735604,0.03020660837827939,0.03288493462047874,0.0458048772499174,0.03278861306998026,0.00038683193199402365,0.05161406491388819,4.093020295475416,0.04383449929002239,0.10365385963689941
5,adam,5,6,0.028529701496999998,1,0.0010344325036795493,2.093578791867261e-06,1.4331164903941287e-05,0.022979976025863855,1,10,,0,6.719840633844197e-12,0.73341468602997,0.7757867466799842,0.711403781146807,0.7119528728152816,0.029527912810873195,0.03216259479083659,0.045030007256405054,0.032046604988361066,0.00040872815223735675,0.06005152493262648,4.501531472710011,0.05272769140181757,0.12489885496100542
6,adam,6,7,0.02824440448203,1,0.0009916813411219214,1.731812188724435e-06,9.015666422747438e-06,0.022464591875212447,1,8,,0,7.754800527366805e-11,0.6953373967153438,0.7562097449787811,0.6617236752549501,0.6630010262700947,0.02890929315391985,0.03149097237498267,0.044259644133221025,0.03135934577859381,0.00043766223316256,0.07033013934551775,4.918954291413788,0.06060932385641076,0.14543880879596113
7,adam,7,8,0.027961960437209697,1,0.0009543898040197972,1.6010323717533609e-06,9.265137027167025e-06,0.02196637412057621,1,7,,0,5.681029068443167e-10,0.6630221076016207,0.7545876045444547,0.6146655689565855,0.6154503462577529,0.028326665901218927,0.03089319996406648,0.043568599000814404,0.03075548971930313,0.00047689052151641577,0.07747260957330857,5.214992072917042,0.06803499986497044,0.16551768165300612
8,adam,8,9,0.0276823408328376,1,0.0009210950210171371,1.482025006671794e-06,9.063949847579259e-06,0.02125130877594473,1,5,,0,2.1428866401881457e-09,0.6390850853363039,0.7257663122356943,0.5724506792460209,0.5718280158563341,0.027794467531309926,0.03034954729509383,0.04292948646343711,0.030205555457248765,0.0005059658214766288,0.08288788993466246,5.382783978708918,0.07492959426773409,0.18503160659345907
9,adam,9,10,0.027405517424509224,1,0.0008910910412898628,1.3726359256338076e-06,8.542578913750915e-06,0.020532732462260138,1,9,,0,8.098321265078958e-10,0.6141603149819113,0.6907563127860905,0.5347987188609985,0.5322826452991584,0.02731848383788697,0.029851148073229323,0.04231802456808373,0.029695172328717365,0.0005098353541760908,0.08597782372937533,5.367386431829961,0.0814569419488295,0.20399147776941437
