step,optimizer_phase,optimizer_iteration,optimizer_evaluation,learning_rate,evaluation_success,objective,gradient_rms,gradient_inf,activation_update_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,inverted_cell_fraction,inverted_rest_measure_fraction,negative_det_f_mean,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms,detF/min,detG/min,detAinv/min,target/rms,target/mae,target/max,activation/rms,activation/neighbor_jump_rms
0,adam,0,1,0.03,1,0.0014813333333333334,0.0004695343178180937,0.0007550858310022863,0.0,1,1,,0,9.830796932642262e-20,1.0,1.0,1.0,0.0,0.0,0.0,0.03666666666666667,0.038488093396962825,0.05,0.038488093396962825,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.038488093396962825,0.03666666666666667,0.05,0.0,0.0
1,adam,1,2,0.029699999999999997,1,0.0014489350030137927,0.0004952795086984557,0.0007993038998700523,0.029964513290082057,1,3,,0,5.620591296294477e-10,0.9690499618548518,0.9496339132445084,0.940007649215748,0.0,0.0,0.0,0.03626243817417232,0.0380648788650876,0.049455043760181526,0.03806439347926767,8.312665714108194e-05,0.010616914011466975,0.3917473778335687,0.0,0.02996451329008206,0.9690499618548518,0.9496339132445084,0.940007649215748,0.0380648788650876,0.03626243817417232,0.049455043760181526,0.02996451329008206,0.0
2,adam,2,3,0.029403,1,0.0014148904943904572,0.0005236050867747969,0.0008471028748767908,0.026091377096131206,1,3,,0,2.5730294821953637e-10,0.9706918761852419,0.9004218560626118,0.8839406787787076,0.0,0.0,0.0,0.03583284635029496,0.03761503016601817,0.04887753596412197,0.037614557507850754,0.00016886511237957229,0.021682999740816757,0.781682119341151,0.0,0.049366606947664766,0.9706918761852419,0.9004218560626118,0.8839406787787076,0.03761503016601817,0.03583284635029496,0.04887753596412197,0.049366606947664766,0.0
3,adam,3,4,0.029108969999999998,1,0.0013793785542237742,0.000554107045659622,0.0008980565954624564,0.02668023004262878,1,3,,0,4.1704425768953156e-10,0.9563083842537743,0.8376173267365457,0.829514119188459,0.0,0.0,0.0,0.03537901627610468,0.037139985921157456,0.048268405659228804,0.03713901705299523,0.00026077285268522683,0.03353896457960489,1.2164950003178572,0.0,0.07293164946961864,0.9563083842537743,0.8376173267365457,0.829514119188459,0.037139985921157456,0.03537901627610468,0.048268405659228804,0.07293164946961864,0.0
4,adam,4,5,0.028817880299999998,1,0.0013422573856686087,0.0005864560743066453,0.0009515936192282634,0.024948525726535744,1,3,,0,2.67092399024181e-10,0.9410702760005893,0.7733766320632515,0.7767711161625717,0.0,0.0,0.0,0.03489850519405676,0.03663683099926369,0.04762211393902608,0.036634749452504146,0.00035861221370603384,0.046140292125788865,1.6797074343398133,0.0,0.09734070195626145,0.9410702760005893,0.7733766320632515,0.7767711161625717,0.03663683099926369,0.03489850519405676,0.04762211393902608,0.09734070195626145,0.0
5,adam,5,6,0.028529701496999998,1,0.0013032290892185893,0.0006201966363775488,0.0010069909611332118,0.023713801375346972,1,3,,0,9.8359900788474e-11,0.9250961621352213,0.7194705687588422,0.7263917426867766,0.0,0.0,0.0,0.034386882608565164,0.03610026439264108,0.046929318054465555,0.03609675127891181,0.0004634319254189648,0.05959624345553458,2.1651622251784475,0.0,0.1209571023982204,0.9250961621352213,0.7194705687588422,0.7263917426867766,0.03610026439264108,0.034386882608565164,0.046929318054465555,0.1209571023982204,0.0
6,adam,6,7,0.02824440448203,1,0.0012622450822112987,0.000654977037425689,0.0010635849601961698,0.02370187914802726,1,3,,0,1.0949069973413179e-10,0.9086357577770561,0.6696628019908593,0.6781782763024035,0.0,0.0,0.0,0.0338421187286235,0.03552808863717972,0.04618735173198318,0.03552263932153201,0.0005760433477384314,0.0740200534527103,2.6808338202210997,0.0,0.14425177932852007,0.9086357577770561,0.6696628019908593,0.6781782763024035,0.03552808863717972,0.0338421187286235,0.04618735173198318,0.14425177932852007,0.0
7,adam,7,8,0.027961960437209697,1,0.001219239098334638,0.0006905823170957531,0.0011206891294143065,0.023434697309141595,1,3,,0,1.5357222683927097e-10,0.8919996895713425,0.6169006152328821,0.6317639830475321,0.0,0.0,0.0,0.033261451990460815,0.03491760441861151,0.04539375428148439,0.034909309619179305,0.000697137855170287,0.08952307334185215,3.236499134342109,0.0,0.16761342234167506,0.8919996895713425,0.6169006152328821,0.6317639830475321,0.03491760441861151,0.033261451990460815,0.04539375428148439,0.16761342234167506,0.0
8,adam,8,9,0.0276823408328376,1,0.0011740185610052663,0.0007264639505419169,0.0011769752398790934,0.023654539201716937,1,3,,0,3.1209798718377187e-10,0.8735978445191893,0.5581251678510654,0.5869417830781466,0.0,0.0,0.0,0.032640193706134656,0.03426395425232275,0.04454246840995037,0.03425145734229827,0.0008278292220604024,0.10626047028114857,3.8403959525535822,0.0,0.1911141791322452,0.8735978445191893,0.5581251678510654,0.5869417830781466,0.03426395425232275,0.032640193706134656,0.04454246840995037,0.1911141791322452,0.0
9,adam,9,10,0.027405517424509224,1,0.0011266046392889245,0.0007608114212713439,0.0012294862533362562,0.02426309535384905,1,3,,0,5.655751543593873e-10,0.838173698316523,0.4960238927845256,0.5435117200316948,0.0,0.0,0.0,0.03197655454413436,0.03356493168902515,0.043629233834369674,0.033546238191533906,0.0009691245961903834,0.12434889725752372,4.49569967870828,0.0,0.21479971927303784,0.838173698316523,0.4960238927845256,0.5435117200316948,0.03356493168902515,0.03197655454413436,0.043629233834369674,0.21479971927303784,0.0
