evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1,8.705021946660002e-10,4.922654004189319e-09,5.524748039049219e-08,2,3.706092408572495e-14,0.8446204171975139,0.6461210160980301,0.2518889324604275
2,1.2739832864348283e-05,5.823343626604896e-06,5.366078170264568e-05,12,7.690143169674267e-16,0.520699040409854,0.5076414251037503,0.19282833459009924
3,6.898757906382446e-10,7.22670487951781e-09,7.42087896047917e-08,3,7.130312837110462e-15,0.8446228417473168,0.6461168910864821,0.2518796820250249
4,3.6122616099557133e-10,2.1600999233857534e-08,1.5471960116490485e-07,3,1.191899158198609e-11,0.8446402160205899,0.6461030848468222,0.25204129915812246
5,1.3490372510766298e-10,1.3473824861750127e-08,1.242548384314456e-07,3,2.1436992307145307e-11,0.844651586285742,0.6460996998393652,0.25165072265121935
6,6.405523474868744e-11,6.69145035799936e-09,5.6315215475402136e-08,3,1.6999376269147005e-11,0.8446499168216279,0.6460991081846743,0.2517293995927727
7,2.1560786167589266e-11,1.8977187546240244e-09,1.4811871021994167e-08,3,1.8870363927517448e-11,0.8446517263882681,0.646095140949111,0.25183572672310034
8,1.5269605506706e-11,1.4644107472372099e-09,1.0865216711405905e-08,3,2.1375202820733555e-11,0.8446534906851914,0.6460937379652519,0.2518598549755245
9,1.0771247835571437e-11,3.1272156638723774e-09,2.6937075356272492e-08,3,2.334083946529777e-11,0.8446543107529635,0.6460932096568649,0.2518996975558504
10,5.804909072677906e-12,1.0916770222563366e-09,1.0006343053904305e-08,3,2.4624782180617545e-11,0.8446537198153921,0.6460923447914007,0.2518655944556002
11,3.94608725944908e-12,8.877825173789481e-10,7.922341654200816e-09,3,2.418463915797317e-11,0.8446520553529636,0.6460920721567928,0.25185200679676684
12,1.756307253529891e-12,5.469612706208503e-10,3.826507553634294e-09,3,2.4385215334787976e-11,0.8446491212993561,0.6460912491991422,0.25183740549586203
13,7.485068355767427e-13,3.4737817439692855e-10,3.0196738623604306e-09,3,2.4159471675455075e-11,0.8446477359578022,0.646091367982114,0.2518420311425587
14,3.8526547955152386e-13,4.4866869458478314e-10,2.1830328895901977e-09,3,2.5073211927714593e-11,0.8446473759868771,0.6460907249056925,0.2518407777994703
15,1.7039862105174582e-13,3.39713697656246e-10,2.841866784816795e-09,3,2.4493931942135436e-11,0.8446483041743239,0.646091618991024,0.251845796799922
16,9.885344658395815e-14,9.541166344514707e-11,1.0325894032455836e-09,3,2.439935149312845e-11,0.8446484656816706,0.6460915169271465,0.25185347326687
17,7.73728364872633e-14,8.078333955386757e-11,8.45807723485847e-10,3,2.442360391250821e-11,0.8446486233770253,0.6460914886457526,0.25185525034898754
18,3.992733091129123e-14,7.165231112208654e-11,5.771618812860034e-10,3,2.4441470939345477e-11,0.8446488261612695,0.6460914540570791,0.25185631102429773
19,1.1512133303100543e-14,4.88850213436798e-11,4.160855096109507e-10,3,2.4415413972334954e-11,0.8446485663297422,0.646091362641376,0.2518509358008092
20,4.773883930301834e-15,4.9029699030085895e-11,2.982300223367878e-10,3,2.4416028631771413e-11,0.8446487872555853,0.6460912812616146,0.25185415085778745
21,2.8348823363917e-16,9.899456321472369e-12,6.379249982907305e-11,3,2.4367248348464532e-11,0.8446486008321386,0.6460912753110284,0.2518509593948686
22,6.220231505769614e-17,3.5133848415749466e-12,3.1663465224565824e-11,3,2.4375991754387407e-11,0.8446486162205692,0.6460912786419368,0.251850978288677
23,2.4826193516780052e-17,1.8007392698128958e-12,1.2666609897584288e-11,3,2.4377935829994e-11,0.8446486285008579,0.646091278560044,0.2518512554987512
24,7.40977703448993e-18,1.0006514273041166e-12,8.468063591887718e-12,3,2.4376730177146596e-11,0.8446486316220905,0.6460912760508731,0.25185124169348616
25,7.774377901925889e-19,6.567474069663219e-13,3.632523079813987e-12,3,2.43773160287878e-11,0.8446486254649019,0.6460912752032504,0.25185105702586363
26,9.82828138235057e-19,1.3134497445865596e-12,1.0146848736472825e-11,3,2.4376689576532023e-11,0.8446486214495954,0.646091275280932,0.25185103599841063
27,2.2766510834737628e-19,4.101476000917638e-13,3.890751114274118e-12,3,2.4377027091075578e-11,0.8446486236162339,0.6460912752390168,0.25185104734472685
28,4.2099553333438675e-20,2.8714371045565805e-13,2.68784459521705e-12,3,2.4376606843579012e-11,0.8446486224156043,0.6460912753727123,0.25185101346508626
29,6.549981529502804e-21,7.638236223909713e-14,5.06157649008397e-13,3,2.4376536863074775e-11,0.8446486220943848,0.6460912752632283,0.2518510097227208
