evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1,2.5120356556644988e-05,3.591535171260423e-05,4.69207647814277e-05,2,5.222170025199577e-15,0.9266381869705057,0.6431337640147995,0.6940505723354891
2,0.00397552154118062,0.014708062244667973,0.01836360216306181,17,8.008869762052465e-11,-1.6502414554334117,-0.2780271967251611,0.16847667704005234
3,2.4917816833282944e-05,3.5639493490991915e-05,4.855840558036995e-05,3,7.994745939758476e-15,0.9269008061408112,0.6432192118417951,0.6939461133061952
4,2.1791223367012737e-05,0.000500029114705093,0.0006617670647539568,5,1.5378353465404508e-14,0.9140600774229111,0.6166703309945784,0.6746496715327625
5,2.095513147984215e-05,0.0001421393135421829,0.00017516132108710266,4,2.278515832496361e-12,0.9277758168556871,0.6385225531254937,0.6882293561924283
6,2.9603015086696555e-05,0.0009570015674850222,0.00139392717515673,7,4.693683606919109e-11,0.8962376523110196,0.5850846245177626,0.6528230799153276
7,1.7331737453965604e-05,0.000239786935940845,0.00030879810971364355,5,7.082649221846771e-14,0.9327095211406098,0.636498445596303,0.6824187286283191
8,1.2880111662958157e-05,2.7277858758282228e-05,4.663783918711968e-05,5,3.630179186966907e-13,0.9565608665808546,0.6571002138059866,0.6869403053824851
9,2.4550709315778518e-05,0.0008804917808000388,0.0013462066643880458,6,7.950443718327483e-13,0.9125239723716257,0.5898738908670266,0.646420158512614
10,1.2027450268111511e-05,0.0001039803424479011,0.00014114742672546467,5,5.929639940915474e-12,0.9537038191104427,0.649338085139602,0.68085926901841
11,1.1219530459870786e-05,0.00018084409952072287,0.00026438367693710975,5,2.5454456210237695e-11,0.9542015445633051,0.6439998681110961,0.6749096894470297
12,1.0259910909040926e-05,9.257711247513853e-05,0.0001347915678769104,5,1.4512236377506055e-11,0.9603094356570573,0.6490382895845132,0.6758637013083516
13,9.56283361864998e-06,7.468063057471073e-05,0.00011202637436582361,5,2.2081281715973752e-11,0.9632609889104241,0.6479196476189528,0.6726314623743209
14,9.17142926992357e-06,1.4789073853299271e-05,2.5149243769115393e-05,5,4.1626423516999605e-11,0.9630039049802368,0.6478134576371383,0.672700758830706
15,9.468728273691917e-06,0.0001829302070492646,0.00028757999419194426,6,6.958922589886672e-14,0.945900553105833,0.6222108989380013,0.6577973729849217
16,9.010361982840587e-06,3.988970081763394e-05,5.951706655235231e-05,6,7.966686385373874e-16,0.9581852480864947,0.6399183713297533,0.6678441069800192
17,8.932043138503578e-06,4.331504300553138e-05,6.512600381889737e-05,6,3.795591778480359e-15,0.9553926250378891,0.6356930028095239,0.6653735711894507
18,8.966376828459858e-06,3.886143179332126e-05,6.15757749594463e-05,6,9.895227297296375e-12,0.9773784451079381,0.6482298611246435,0.6632332279980405
19,8.88110023842083e-06,3.507604252007936e-05,5.572750502102519e-05,6,1.8596809833600672e-13,0.9652810032560108,0.6415602777713922,0.6646357647227396
20,8.830192597303239e-06,1.1782080543427387e-06,1.616040273026636e-06,6,1.699237681861532e-13,0.9631624398872682,0.640066117858236,0.6645463852734452
21,8.814801439165153e-06,1.1213827954715427e-05,1.756357435729711e-05,6,6.472342639932327e-13,0.959717818457681,0.6353693700010496,0.6620376925189562
22,8.811602576670231e-06,2.0308431242148582e-06,3.1132821562432844e-06,6,8.430721810740287e-13,0.960421239704079,0.635844724804071,0.6620477541708519
23,8.811225483584438e-06,4.164753578804935e-07,6.644401748224328e-07,6,1.1257842279376781e-12,0.9604973619073002,0.6356336599305495,0.6617755395687345
24,8.811221098110537e-06,2.4555553152606023e-08,3.900754174896782e-08,6,1.1335978213691603e-12,0.9604968520656151,0.635630170319262,0.6617722577146348
25,8.811221058784317e-06,1.2792568333062534e-09,2.1067764893745178e-09,6,1.1366268154842697e-12,0.9604910480083116,0.6356218201614678,0.6617675630392418
26,8.81122105860202e-06,1.671504251966677e-11,2.8365309995720964e-11,6,1.1363533805228958e-12,0.960491093630691,0.6356221223055386,0.6617678461784211
27,8.811221058601882e-06,1.0524656786948916e-12,1.4747554645034612e-12,6,1.1363458249709238e-12,0.960491076092656,0.6356221117372809,0.6617678472589622
28,8.811221058601817e-06,8.273057414797665e-15,1.3156888230801689e-14,6,1.1363474016097494e-12,0.9604910751693275,0.6356221109963321,0.6617678471236983
