evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1,1.308782237134179e-07,1.2201308289344663e-08,1.0816818524286642e-07,2,2.3570079109345075e-13,-9.561101370249391,-0.551823035812437,-0.3657993878932335
2,0.0002052104928672538,2.0957323995881478e-05,9.694406744271714e-05,5,5.5293364500923396e-11,-10.64023897961407,-0.7392044336692879,-0.40553093466594764
3,1.3072479668877104e-07,1.542675489512053e-08,9.810771731974435e-08,2,5.153903777708756e-12,-9.562473511229474,-0.5510964260109512,-0.36582725020262374
4,1.3053461207203392e-07,1.5546949827924844e-08,9.67377318551776e-08,2,6.742272879869995e-12,-9.562833718519338,-0.5510012505835293,-0.36585610995315027
5,1.2978441757232372e-07,1.6169026901043728e-08,9.69230952631583e-08,2,2.462790130758408e-11,-9.564273131252447,-0.5506225154375479,-0.3659715566038635
6,1.2695995690373912e-07,2.069290025524954e-08,1.0743067076768634e-07,3,4.504433044783886e-15,-9.569943630547073,-0.5491312539537864,-0.3664334655844334
7,9.535443335296111e-08,5.063722308921532e-08,4.0207325004537496e-07,4,1.873745787259913e-14,-9.660034807054757,-0.5279959874695772,-0.3751202575618653
8,1.705262982711897e-07,3.3770300816728034e-07,2.3916995401203404e-06,4,1.57474462148561e-12,-9.57615928938773,-0.5268478525464362,-0.38125591411590626
9,9.131671551693084e-08,6.268647407042521e-08,3.8519260134619844e-07,4,5.1665001340562726e-14,-9.646253206205069,-0.5272256499312201,-0.3762545621217807
10,8.617082439645527e-08,3.185218746263828e-08,2.0191235120874591e-07,4,1.812421119980043e-13,-9.648446969714485,-0.5236804738235905,-0.3777149558801656
11,8.359709146732519e-08,1.6452481305656708e-08,9.100048487348386e-08,4,4.3467224884454813e-13,-9.634708553046359,-0.5209487364101308,-0.3787667934316512
12,8.256508576374593e-08,1.533022379141938e-08,9.407479256472192e-08,4,6.216136910586724e-13,-9.627829324753437,-0.5202007821265799,-0.37924769739974085
13,8.12651855624953e-08,1.714967254117741e-08,9.341882129151861e-08,4,8.503963779213016e-13,-9.619924016882486,-0.5206907460688934,-0.3796362269809405
14,7.978543908412547e-08,1.6546220521812704e-08,8.496628405950383e-08,4,1.0368896435868778e-12,-9.634928491432245,-0.5223911678923563,-0.3798976099185448
15,7.795514825253995e-08,1.5113654740054173e-08,1.020283320580584e-07,4,1.392429663491401e-12,-9.660460573707446,-0.5244481112001518,-0.3803115839766849
16,7.570734831820231e-08,1.6203617124662522e-08,1.07617455545413e-07,4,2.1124717072823103e-12,-9.675895959579163,-0.5253753786320201,-0.38085350720465416
17,7.444302661768912e-08,3.231649029809181e-08,2.7271236170354493e-07,4,4.3337096195508664e-12,-9.667933400778107,-0.522178766020478,-0.38192192661856206
18,7.225864210331677e-08,1.397407428787855e-08,9.923278284851489e-08,4,4.4039386097924374e-12,-9.644951441255088,-0.520475757777094,-0.38190086689068303
19,7.102963174961232e-08,1.2989142174636884e-08,9.444431309152168e-08,4,4.933590109012421e-12,-9.609766076710521,-0.5163768961239332,-0.38210517835689317
20,6.979159818110358e-08,2.0847182438833393e-08,1.5444759210162824e-07,4,7.847090959089429e-12,-9.576135161759568,-0.5110319883378652,-0.3830580193507043
21,6.800909432154777e-08,1.9473393625815994e-08,1.4310273947886106e-07,4,1.0665173686571338e-11,-9.529387679921165,-0.5027058511552004,-0.3836755089446167
22,6.583936555447838e-08,1.68427547193415e-08,9.543562558342401e-08,4,1.652507815500279e-11,-9.498632779510073,-0.4964033763098057,-0.38464406539423196
23,6.210956304255813e-08,1.4948913894032015e-08,7.942701295315333e-08,4,3.2044144833914006e-11,-9.439279304599578,-0.4856598196261449,-0.3861100261127202
24,5.998931442030914e-08,2.4006437005030923e-08,2.1694194873796433e-07,4,6.350064301062259e-11,-9.396178105000718,-0.48046125411665996,-0.387813599090002
25,5.8083221625154274e-08,1.2900983581000282e-08,1.0077680810019076e-07,4,7.068237952240703e-11,-9.369263673338223,-0.48344375259806477,-0.3876821140647381
26,5.6922179875071345e-08,1.1840427802791512e-08,8.807600374990172e-08,4,9.933590696870216e-11,-9.36037723090673,-0.49870260769072183,-0.38837564083889736
27,5.596057599531552e-08,2.8408744992210273e-08,1.6444947447555285e-07,5,1.1337493402817326e-14,-9.352313863348803,-0.5159309305712182,-0.38896446661523604
28,5.587688052203403e-08,3.2439231138602987e-08,2.6082191496029474e-07,5,1.970340171309555e-14,-9.34939373785923,-0.5309979164783647,-0.3894243440188111
29,5.547168777844426e-08,1.0795121327256742e-08,7.08812814627374e-08,5,1.518630799127012e-14,-9.35080640047341,-0.5238712612297441,-0.38920500095410593
30,5.516262226456052e-08,9.049040346432214e-09,5.194228170422152e-08,5,1.734173071105006e-14,-9.339612947105886,-0.5263681464637149,-0.3892298144222777
31,5.4376175089973484e-08,9.526578346286267e-09,5.496877561877531e-08,5,2.5408416059971112e-14,-9.313653468038963,-0.5330214145862054,-0.3891135323151395
32,5.3826567672165835e-08,2.0738082254871135e-08,1.8667546433535846e-07,5,5.81080548115387e-14,-9.278133377523922,-0.5424362639045702,-0.38911405102349994
33,5.294606133639156e-08,1.1367905140814652e-08,9.428749122443638e-08,5,6.614672985746057e-14,-9.264861420259036,-0.5446388385339358,-0.38890008502172563
34,5.160219926422691e-08,1.0560376215973171e-08,5.6332047317774385e-08,5,8.579786574674863e-14,-9.240235769296582,-0.5458567603649847,-0.3882536553117989
35,5.0787092990454796e-08,1.2320816064889365e-08,7.161484864890408e-08,5,1.4158848986894661e-13,-9.202776791578444,-0.5524689046047094,-0.38811351336734695
36,5.011863503803073e-08,2.284081980972683e-08,1.8109332972808336e-07,5,2.3608407251617803e-13,-9.152993562533208,-0.5575055434918438,-0.3876447510695634
37,4.9197518926749574e-08,9.710390638276561e-09,5.2990504622443037e-08,5,4.760315539675924e-13,-9.098575742365286,-0.5674160599347988,-0.387801929415172
38,4.86387919070396e-08,1.0133715022906357e-08,7.500186804169916e-08,5,5.89709459569704e-13,-9.077862185277613,-0.5706192330079433,-0.38792200212954153
39,4.753204398631841e-08,1.1399155077865239e-08,9.903776709622836e-08,5,1.1621575767962277e-12,-9.013549103552887,-0.5819382536041775,-0.38816313115130746
40,4.964972248922963e-08,5.233005944008368e-08,3.986011107291801e-07,5,1.7069100802413442e-12,-8.922642396441507,-0.5777596062372911,-0.3866523044464408
41,4.7093541423447944e-08,1.6026219110202134e-08,9.850936150163383e-08,5,1.301857434635958e-12,-8.98685768580211,-0.5807327965134514,-0.3877207774216784
42,4.627659638248129e-08,1.0604964720354097e-08,7.212233042653838e-08,5,1.9947505713696114e-12,-8.948047987384177,-0.5879670583553827,-0.38768058947180833
43,4.517086270553185e-08,9.762980399187075e-09,6.68957738133141e-08,5,2.8631385733385854e-12,-8.918406284197188,-0.5931426104862937,-0.3873812300240171
44,4.417868579031117e-08,1.3480275821740291e-08,1.0209166298453644e-07,5,4.544211809254298e-12,-8.88465869387761,-0.6035457122276504,-0.38745622870060903
45,4.355101257451657e-08,1.2691931027923735e-08,7.334458523006342e-08,5,4.3809426736162165e-12,-8.89370929760366,-0.602813016282604,-0.3872744680529221
