step,optimizer_phase,optimizer_iteration,optimizer_evaluation,learning_rate,evaluation_success,objective,gradient_rms,gradient_inf,activation_update_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,inverted_cell_fraction,inverted_rest_measure_fraction,negative_det_f_mean,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms,detF/min,detG/min,detAinv/min,target/rms,target/mae,target/max,activation/rms,activation/neighbor_jump_rms
0,adam,0,1,0.03,1,0.0013468013333333333,2.2840910786216213e-06,5.05702568163309e-06,0.0,1,1,,0,7.612188171243956e-19,0.9999999999999929,0.9999999999999929,1.0,0.0,0.0,0.0,0.033666666666666664,0.036698791987384724,0.05,0.036698791987384724,0.0,0.0,0.0,0.0,0.0,0.9999999999999929,0.9999999999999929,1.0,0.036698791987384724,0.033666666666666664,0.05,0.0,0.0
1,adam,1,2,0.029699999999999997,1,0.0010707415448196443,2.2181683750448436e-06,5.716267611075251e-06,0.029053903465668503,1,3,,0,6.695647511911906e-10,1.0,0.9547423113925411,0.9402651137055269,0.0,0.0,0.0,0.02962575125302061,0.03272218734772546,0.044403104076511914,0.03253197918946023,0.00014186949400386386,0.021520685005015493,0.5085802442980001,0.005629117480939304,0.029053903465668506,1.0,0.9547423113925411,0.9402651137055269,0.03272218734772546,0.02962575125302061,0.044403104076511914,0.029053903465668506,0.005629117480939304
2,adam,2,3,0.029403,1,0.0008184230924613272,2.076459801886166e-06,6.029335777003228e-06,0.02552647447205464,1,3,,0,1.8496341978572459e-10,0.9790317629859551,0.91260768912229,0.8816704122514168,0.0,0.0,0.0,0.0253040752503977,0.028608094876473814,0.04012548388725118,0.02842209569689649,0.00028670184267093004,0.04357885699155762,1.0393609684565512,0.008763566623680618,0.052331045212762085,0.9790317629859551,0.91260768912229,0.8816704122514168,0.028608094876473814,0.0253040752503977,0.04012548388725118,0.052331045212762085,0.008763566623680618
3,adam,3,4,0.029108969999999998,1,0.0005952700329141066,1.881124757241183e-06,6.182934377451957e-06,0.024800357172622627,1,3,,0,3.6145042747566395e-10,0.9414539375307711,0.8750242459611982,0.824331457463668,0.0,0.0,0.0,0.020944181195462108,0.024398156342521182,0.0362236396975033,0.024314385213585026,0.00044066632911194395,0.0662244537994823,1.8312704189527194,0.01255690877073186,0.07540040434547671,0.9414539375307711,0.8750242459611982,0.824331457463668,0.024398156342521182,0.020944181195462108,0.0362236396975033,0.07540040434547671,0.01255690877073186
4,adam,4,5,0.028817880299999998,1,0.00040934887821792863,1.651487214113396e-06,6.177231092462335e-06,0.02397409722871266,1,3,,0,5.124560370571324e-10,0.9085687287264284,0.8420542381094875,0.7682773144927859,0.0,0.0,0.0,0.016997537064793643,0.020232372036366093,0.03252881619982086,0.020203388240413112,0.000600526831427219,0.08887929118660179,2.8775686379501595,0.017002646628062498,0.09827103878210285,0.9085687287264284,0.8420542381094875,0.7682773144927859,0.020232372036366093,0.016997537064793643,0.03252881619982086,0.09827103878210285,0.017002646628062498
5,adam,5,6,0.028529701496999998,1,0.00026207428542015707,1.4027904095186603e-06,6.020955545043752e-06,0.02267118294762563,1,3,,0,5.860018094594746e-10,0.8952175440146015,0.8039413388774342,0.7141799899118009,0.0,0.0,0.0,0.013479567633643764,0.016188708577899506,0.028788998230081787,0.016126684690997168,0.0007738032186684472,0.11165504182593694,4.225886288443796,0.021450310631439325,0.12035250130587148,0.8952175440146015,0.8039413388774342,0.7141799899118009,0.016188708577899506,0.013479567633643764,0.028788998230081787,0.12035250130587148,0.021450310631439325
6,adam,6,7,0.02824440448203,1,0.00015115552069495806,1.1385773739091795e-06,5.671404807092202e-06,0.021261172398822543,1,3,,0,6.583806619421189e-10,0.9027022337631356,0.7400940203147992,0.662283663411817,0.0,0.0,0.0,0.010252263582923846,0.012294532146241191,0.024844724872089188,0.012185964795761598,0.000979721739436447,0.13565628134911928,5.95756907348536,0.025473771931580274,0.14097415674800212,0.9027022337631356,0.7400940203147992,0.662283663411817,0.012294532146241191,0.010252263582923846,0.024844724872089188,0.14097415674800212,0.025473771931580274
7,adam,7,8,0.027961960437209697,1,7.568962693031123e-05,8.653685990256622e-07,4.953972015414076e-06,0.01991429153429928,1,3,,0,7.43733226288649e-10,0.9243159701470665,0.674151801916627,0.6117873948924976,0.0,0.0,0.0,0.0073770218013217825,0.00869997855918687,0.020676925891588375,0.008578815556217766,0.0012314820016326568,0.16205316637943973,8.088676155033191,0.029179003333325976,0.159801841528343,0.9243159701470665,0.674151801916627,0.6117873948924976,0.00869997855918687,0.0073770218013217825,0.020676925891588375,0.159801841528343,0.029179003333325976
8,adam,8,9,0.0276823408328376,1,3.490038037808614e-05,6.198090467150085e-07,3.5509719220530738e-06,0.018428731065993166,1,3,,0,6.352594656028279e-10,0.9523036177184622,0.6096868820531459,0.563444550754576,0.0,0.0,0.0,0.005178755065059734,0.00590765438884894,0.016139566025884924,0.005789134292712184,0.0014976586864075216,0.18868524510405257,10.345096570119134,0.032708597114437465,0.17662149757718495,0.9523036177184622,0.6096868820531459,0.563444550754576,0.00590765438884894,0.005178755065059734,0.016139566025884924,0.17662149757718495,0.032708597114437465
9,adam,9,10,0.027405517424509224,1,2.559511590848884e-05,5.31852053644258e-07,2.916870687091759e-06,0.016684301135258907,1,3,,0,3.3405548410754825e-10,0.9788713327834239,0.5494959926056795,0.5179426551787676,0.0,0.0,0.0,0.004159634315630879,0.005059161581575433,0.011796406212833524,0.004940343105281906,0.001695351972413607,0.2088127822149312,12.119893716817671,0.036103955746996555,0.19123550132684256,0.9788713327834239,0.5494959926056795,0.5179426551787676,0.005059161581575433,0.004159634315630879,0.011796406212833524,0.19123550132684256,0.036103955746996555
10,adam,10,11,0.02713146225026413,1,4.1139545831597565e-05,7.374360870666898e-07,4.035860674814042e-06,0.014729534689114298,1,3,,0,3.27614828032136e-10,0.9649050405808619,0.4950762422293235,0.47639417516667204,0.0,0.0,0.0,0.005783522211608711,0.00641401168003283,0.017798503906088423,0.006317506786589874,0.0017534779286132419,0.21679491125292727,12.90330591142563,0.03931052444094048,0.203521559499895,0.9649050405808619,0.4950762422293235,0.47639417516667204,0.00641401168003283,0.005783522211608711,0.017798503906088423,0.203521559499895,0.03931052444094048
11,adam,11,12,0.02686014762776149,1,7.039916484693657e-05,1.0926574280536073e-06,7.608160437120558e-06,0.012627323138593289,1,3,,0,4.033594551806172e-10,0.929843886655755,0.4492534414794688,0.44297553122843797,0.0,0.0,0.0,0.00743612673766097,0.00839042101726347,0.02154221508634427,0.00830201020824067,0.0016609442730836845,0.21266338276525573,12.568587319998823,0.04205369736895249,0.2134245818219129,0.929843886655755,0.4492534414794688,0.44297553122843797,0.00839042101726347,0.00743612673766097,0.02154221508634427,0.2134245818219129,0.04205369736895249
12,adam,12,13,0.026591546151483875,1,9.740086710965576e-05,1.3993823531875803e-06,1.1052111988593832e-05,0.010784452582253936,1,3,,0,2.5274292102520127e-10,0.90878924900449,0.41191385821280607,0.4135892758115961,0.0,0.0,0.0,0.008460874696156242,0.009869187763420845,0.02265143495808452,0.009764288215145057,0.001465002651942164,0.20132509788509462,11.381034695298785,0.04412125906100167,0.22105554605585187,0.90878924900449,0.41191385821280607,0.4135892758115961,0.009869187763420845,0.008460874696156242,0.02265143495808452,0.22105554605585187,0.04412125906100167
13,adam,13,14,0.026325630689969032,1,0.0001092082056483659,1.5559922316174617e-06,1.2622348559734922e-05,0.009577890688021272,1,3,,0,1.9968309040066976e-10,0.8927171801502999,0.37775589093716344,0.3912442784222953,0.0,0.0,0.0,0.008677152819670655,0.010450272993963646,0.021533824057638037,0.010321070766357836,0.0012213164122161907,0.18729231811950753,9.728972904163001,0.04573875608243571,0.22681887343432103,0.8927171801502999,0.37775589093716344,0.3912442784222953,0.010450272993963646,0.008677152819670655,0.021533824057638037,0.22681887343432103,0.04573875608243571
