step,optimizer_phase,optimizer_iteration,optimizer_evaluation,learning_rate,evaluation_success,objective,gradient_rms,gradient_inf,activation_update_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,inverted_cell_fraction,inverted_rest_measure_fraction,negative_det_f_mean,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms,detF/min,detG/min,detAinv/min,target/rms,target/mae,target/max,activation/rms,activation/neighbor_jump_rms
0,adam,0,1,0.03,1,0.0013468013333333333,0.005516124774586206,0.006892278628246106,0.0,1,1,,0,1.1547619588393527e-17,0.9999999999999929,0.9999999999999929,1.0,0.0,0.0,0.0,0.033666666666666664,0.036698791987384724,0.05,0.036698791987384724,0.0,0.0,0.0,0.0,0.0,0.9999999999999929,0.9999999999999929,1.0,0.036698791987384724,0.033666666666666664,0.05,0.0,0.0
1,adam,1,2,0.029699999999999997,1,0.0009766893505087093,0.004965822748723465,0.006135805011391328,0.029992145345565796,1,5,,0,2.4373149586275892e-11,1.0,0.940001494522079,0.940001494522079,0.0,0.0,0.0,0.027787853036147166,0.03125202954223468,0.04405987777512887,0.030909020485240926,0.000216399719866552,0.03231978066170528,0.8356120411796617,0.0,0.029992145345565793,1.0,0.940001494522079,0.940001494522079,0.03125202954223468,0.027787853036147166,0.04405987777512887,0.029992145345565793,0.0
2,adam,2,3,0.029403,1,0.0006331911228302921,0.004112494075838046,0.005163158581624394,0.027240292168954832,1,5,,0,1.7950971061688156e-10,1.0,0.8843498821065723,0.8843498821065723,0.0,0.0,0.0,0.021678164818518093,0.025163289189418226,0.037109056387164996,0.025123075342380934,0.00043885159983557154,0.06522156355635363,1.6873078330245992,0.0,0.04886090832407289,1.0,0.8843498821065723,0.8843498821065723,0.025163289189418226,0.021678164818518093,0.037109056387164996,0.04886090832407289,0.0
3,adam,3,4,0.029108969999999998,1,0.00038494985079532963,0.0029970694729353716,0.00373961093721811,0.02638520103144904,1,5,,0,9.87435609171596e-10,1.0,0.8307382796821713,0.8307382796821713,0.0,0.0,0.0,0.01717738061918893,0.019620138908665496,0.030000663164541686,0.019422457037015176,0.0006869999658281393,0.10217181725399982,2.616784932352903,0.0,0.07258358681533605,1.0,0.8307382796821713,0.8307382796821713,0.019620138908665496,0.01717738061918893,0.030000663164541686,0.07258358681533605,0.0
4,adam,4,5,0.028817880299999998,1,0.00023473366922125574,0.0016326296924916307,0.0019074765567380016,0.022779253939384462,1,5,,0,2.0527915137866035e-09,1.0,0.780844374167086,0.780844374167086,0.0,0.0,0.0,0.0140935244988592,0.015321020501952725,0.022614409425733024,0.014822839754647677,0.0009462917032952125,0.1410938375725578,3.5274203726481606,0.0,0.09536068429801445,1.0,0.780844374167086,0.780844374167086,0.015321020501952725,0.0140935244988592,0.022614409425733024,0.09536068429801445,0.0
5,adam,5,6,0.028529701496999998,1,0.00018505294135868694,0.0005385177426925718,0.0008559503713300599,0.0212197089036237,1,5,,0,1.8098430750096066e-09,1.0,0.7366457276784666,0.7366457276784666,0.0,0.0,0.0,0.012257114991501311,0.013603416532573239,0.023946892096746695,0.013174295655154971,0.001200930425862295,0.1795895414812525,4.3593082611397875,0.0,0.11580170280038636,1.0,0.7366457276784666,0.7366457276784666,0.013603416532573239,0.012257114991501311,0.023946892096746695,0.11580170280038636,0.0
6,adam,6,7,0.02824440448203,1,0.0002351335037762947,0.0020186530041883407,0.0024982163350295676,0.0188361651932329,1,5,,0,7.828561576382368e-10,1.0,0.700478161093605,0.700478161093605,0.0,0.0,0.0,0.012258307600766004,0.015334063511551485,0.029797925018566696,0.01508380526873735,0.0014307716516288346,0.2145279432810593,5.060426684077419,0.0,0.13313875697768324,1.0,0.700478161093605,0.700478161093605,0.015334063511551485,0.012258307600766004,0.029797925018566696,0.13313875697768324,0.0
7,adam,7,8,0.027961960437209697,1,0.00033823562717555307,0.003543892380993143,0.004415782465856522,0.014032193432224897,1,4,,0,8.56423441325885e-09,1.0,0.6754760586264046,0.6754760586264046,0.0,0.0,0.0,0.014362801662553404,0.018391183408784578,0.03525194785388993,0.018119943554271722,0.0016049026794824777,0.24108605376167047,5.566506431081602,0.0,0.14557946281974488,1.0,0.6754760586264046,0.6754760586264046,0.018391183408784578,0.014362801662553404,0.03525194785388993,0.14557946281974488,0.0
8,adam,8,9,0.0276823408328376,1,0.00041307338010991617,0.004393439517973544,0.005471649106218903,0.006785192538752015,1,4,,0,1.3734784272132148e-11,1.0,0.6633672315381888,0.6633672315381888,0.0,0.0,0.0,0.016475439026258684,0.020324206752292108,0.03815169572542232,0.019990203886994344,0.001695202854864607,0.2548802119764335,5.824601031070902,0.0,0.15172973206424423,1.0,0.6633672315381888,0.6633672315381888,0.020324206752292108,0.016475439026258684,0.03815169572542232,0.15172973206424423,0.0
9,adam,9,10,0.027405517424509224,1,0.0004158110016480018,0.004429346125011499,0.005527131402850803,0.0011592154395199386,1,2,,0,5.335817470977232e-09,1.0,0.6627402475375987,0.6627402475375987,0.0,0.0,0.0,0.01644608413414794,0.02039144432471623,0.03821228904755579,0.02008786950772231,0.0016996441124178389,0.25555321647779133,5.8344537563912535,0.0,0.15199884884044715,1.0,0.6627402475375987,0.6627402475375987,0.02039144432471623,0.01644608413414794,0.03821228904755579,0.15199884884044715,0.0
