activation_sharing,adjoint_failure_count,case_name,dimension,final_activation_jump_rms,final_activation_rms,final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,final_gradient_inf,final_gradient_rms,final_inverted_cell_fraction,final_inverted_rest_measure_fraction,final_midline_arc_length_ratio,final_midline_turning_density,final_midline_x_reversal_fraction,final_midline_y_range,final_min_det_f,final_negative_det_f_mean,final_target_rms,final_vtu_sha256,first_inversion_step,forward_failure_count,geometry,inverse_failure_count,inverted_frame_fraction,last_inversion_step,muscle_extent,peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,peak_inverted_cell_fraction,peak_inverted_rest_measure_fraction,peak_negative_det_f_mean,poisson,practical_stationarity_gate,recovered_by_final,refinement_trial_forward_failure_count,source_summary,tail_gate_1pct,trajectory_min_det_f
per_cell,0,l010-band-per_cell-nu35,2d,4.589776295626547,4.252472487730804,0.06499999999999999,0.05,1.7710386154464396e-06,1.903542053701306e-07,0.115,0.11499999999999995,2.918980634106934,76.22931180622471,0.1,0.08312228820746108,-75.19769236881814,0.4690466469374869,0.0009572055921353115,07c43835d702fa35427a07c2cd2df4aa2a49caff4749268a90837ce9454e93fd,37,0,short,0,0.983197093551317,2201,band,0.06999999999999998,0.07500000000000004,0.13,0.13000000000000003,0.4690466469374869,0.34999999999999998,False,False,0,/home/liblaf/Projects/liblaf/apple/exp/2026/08/31/unreachable-pork-factor-study/data/60-pork-folding-2d/l010-band-per_cell-nu35/summary.json,False,-75.19769236881814
per_cell,0,l010-band-per_cell-nu49,2d,0.2198505926461301,0.3695607963943604,0.004999999999999998,0.0,4.483735965155959e-05,6.953350344521398e-06,0.005,0.004999999999999998,1.445886132155,44.729294542774944,0.0,0.04205771585466442,-3.7556431765463163,0.018778215882731573,0.002993689976984857,956e3fbf41c5dd3313d187017ec0ff57cae35185260cd0032cdfdb2982454234,54,0,short,0,0.9573973663826492,1290,band,0.004999999999999998,0.0,0.005,0.004999999999999998,0.058742160978716325,0.48999999999999999,False,False,0,/home/liblaf/Projects/liblaf/apple/exp/2026/08/31/unreachable-pork-factor-study/data/60-pork-folding-2d/l010-band-per_cell-nu49/summary.json,True,-11.748432195743268
shared,0,l010-band-shared-nu35,2d,0.0,0.5285271915256542,0.0,0.0,1.1019350059969589e-08,7.168262504295566e-09,0.0,0.0,1.0186450329133696,5.63567887499109,0.0,0.008823103543879551,0.2960324788066473,0.0,0.016418079324290815,632cb48d7f825fde0096088ceeeb11577e0f83acc76394cec214c868089fdf89,,0,short,0,0.0,,band,0.0,0.0,0.0,0.0,0.0,0.34999999999999998,True,False,0,/home/liblaf/Projects/liblaf/apple/exp/2026/08/31/unreachable-pork-factor-study/data/60-pork-folding-2d/l010-band-shared-nu35/summary.json,True,0.2905706494430564
shared,0,l010-band-shared-nu49,2d,0.0,0.5037248703325746,0.0,0.0,3.087386405938638e-09,2.0219321917667286e-09,0.0,0.0,1.173010524007155,20.57879099175924,0.0,0.027324922624271067,0.6929932759911911,0.0,0.005532353808422229,2f683ecc8f013fc96ccfb21fb5e51d43f1f921d777d520daecad67cbde392606,,0,short,0,0.0,,band,0.0,0.0,0.0,0.0,0.0,0.48999999999999999,True,False,0,/home/liblaf/Projects/liblaf/apple/exp/2026/08/31/unreachable-pork-factor-study/data/60-pork-folding-2d/l010-band-shared-nu49/summary.json,False,0.43425347435592554
per_cell,0,l010-full-per_cell-nu35,2d,0.08474983979161406,0.2685389961845523,0.0,0.0,6.148164413503988e-13,6.604938920000212e-14,0.0,0.0,1.1469262802815465,14.326845258083393,0.0,0.02734511251412905,0.985205839310676,0.0,1.4900326756724514e-10,db976f9c7e37587d66d43c3247fe972119e05ed80574872c17e1da9baa10a843,,0,short,0,0.0,,full,0.0,0.0,0.0,0.0,0.0,0.34999999999999998,True,False,0,/home/liblaf/Projects/liblaf/apple/exp/2026/08/31/unreachable-pork-factor-study/data/60-pork-folding-2d/l010-full-per_cell-nu35/summary.json,False,0.584904976023522
per_cell,0,l010-full-per_cell-nu49,2d,0.09515609860340359,0.14253298861731095,0.0,0.0,5.06157649008397e-13,7.638236223909713e-14,0.0,0.0,1.1913161022642933,43.38990034818253,0.0,0.027080737042987982,0.8446486220943848,0.0,8.093195617000002e-11,3ddaa24fa2782f9817f32f6b22270686267a198b1dc4765f51bcb4bc66093726,,0,short,0,0.0,,full,0.0,0.0,0.0,0.0,0.0,0.48999999999999999,True,False,0,/home/liblaf/Projects/liblaf/apple/exp/2026/08/31/unreachable-pork-factor-study/data/60-pork-folding-2d/l010-full-per_cell-nu49/summary.json,False,0.8439733925182413
shared,0,l010-full-shared-nu35,2d,0.0,0.5160946285665629,0.0,0.0,5.5020864844464515e-14,3.1837238130751655e-14,0.0,0.0,1.000001312642466,0.04548748717042757,0.0,7.314719348824883e-05,0.23520435311220575,0.0,0.007263999177159293,531fc5940c4c482c4324343ebd07f7a5c3392a2f74264ecbeebb5a34d3883d9a,12,0,short,0,0.01729818780889621,60,full,0.0,0.005000000000000005,0.005,0.005000000000000005,0.0025500859089770244,0.34999999999999998,True,True,0,/home/liblaf/Projects/liblaf/apple/exp/2026/08/31/unreachable-pork-factor-study/data/60-pork-folding-2d/l010-full-shared-nu35/summary.json,False,-0.5100171817954043
shared,0,l010-full-shared-nu49,2d,0.0,0.46333138767086135,0.0,0.0,1.3156888230801689e-14,8.273057414797665e-15,0.0,0.0,1.1273906875257473,12.2583742879373,0.0,0.023854990374641963,0.9604910751693275,0.0,0.002968370101352225,745f137f45d627eb7a81974985269570236fb85d748a85a1fc3f401de84467dc,,0,short,0,0.0,,full,0.0,0.0,0.0,0.0,0.0,0.48999999999999999,True,False,0,/home/liblaf/Projects/liblaf/apple/exp/2026/08/31/unreachable-pork-factor-study/data/60-pork-folding-2d/l010-full-shared-nu49/summary.json,False,0.8736789234623087
per_cell,0,l100-band-per_cell-nu35,2d,0.24898568591283624,0.47891868817909616,0.016499999999999994,0.007500000000000002,2.019934036546285e-09,4.835476944991934e-10,0.024,0.023999999999999994,1.439369621904119,57.884697503097954,0.05,0.06149715224611696,-9.700213190834083,0.04747246230249353,6.019970107754856e-05,e43aea8667a0fef3ca0229ccf83e699c3dad612a2220ddde273cacbfe0657b1d,18,0,long,0,0.9895549500454133,2201,band,0.019499999999999993,0.007500000000000002,0.0255,0.02549999999999999,0.06718186449820453,0.34999999999999998,True,False,0,/home/liblaf/Projects/liblaf/apple/exp/2026/08/31/unreachable-pork-factor-study/data/60-pork-folding-2d/l100-band-per_cell-nu35/summary.json,False,-9.81430965575917
per_cell,0,l100-band-per_cell-nu49,2d,0.2564468584984774,0.33725751716166624,0.0065000000000000014,0.0004999999999999974,8.347114164782024e-05,4.849436456270529e-06,0.007,0.006999999999999998,1.5162044508335826,78.98111798720383,0.04,0.06895862313450997,-11.334149164135013,0.02983101405775817,0.0015748970833979468,bbccfa4124607f9a949b625ad5c11551555c4b81ca31487ac9ad08c1bd98b2c0,21,0,long,0,0.9829545454545454,1231,band,0.006999999999999997,0.0014999999999999998,0.007,0.006999999999999998,0.040091867617621,0.48999999999999999,False,False,0,/home/liblaf/Projects/liblaf/apple/exp/2026/08/31/unreachable-pork-factor-study/data/60-pork-folding-2d/l100-band-per_cell-nu49/summary.json,False,-26.306130311479063
