conditioning,dimension,effect_b_minus_a,factor_a,factor_b,kind,level_a,level_b,metric
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.09099999999999996,geometry,,paired_marginal,long,short,final_inverted_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.10450000000000004,geometry,,paired_marginal,long,short,peak_inverted_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.048499999999999995,geometry,,paired_marginal,long,short,final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.05049999999999999,geometry,,paired_marginal,long,short,peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.0425,geometry,,paired_marginal,long,short,final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.06750000000000003,geometry,,paired_marginal,long,short,peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,-65.38338271305896,geometry,,paired_marginal,long,short,trajectory_min_det_f
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.0008970058910577629,geometry,,paired_marginal,long,short,final_target_rms
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,3.773553799551708,geometry,,paired_marginal,long,short,final_activation_rms
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,4.340790609713711,geometry,,paired_marginal,long,short,final_activation_jump_rms
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,1.479611012202815,geometry,,paired_marginal,long,short,final_midline_arc_length_ratio
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,18.34461430312676,geometry,,paired_marginal,long,short,final_midline_turning_density
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.05,geometry,,paired_marginal,long,short,final_midline_x_reversal_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.34999999999999998""}",2d,0.02162513596134412,geometry,,paired_marginal,long,short,final_midline_y_range
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,-0.002,geometry,,paired_marginal,long,short,final_inverted_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,-0.002,geometry,,paired_marginal,long,short,peak_inverted_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,-0.001500000000000003,geometry,,paired_marginal,long,short,final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,-0.0019999999999999983,geometry,,paired_marginal,long,short,peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,-0.0004999999999999974,geometry,,paired_marginal,long,short,final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,-0.0014999999999999998,geometry,,paired_marginal,long,short,peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,14.557698115735795,geometry,,paired_marginal,long,short,trajectory_min_det_f
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,0.0014187928935869103,geometry,,paired_marginal,long,short,final_target_rms
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,0.03230327923269416,geometry,,paired_marginal,long,short,final_activation_rms
"{""activation_sharing"": ""per_cell"", ""muscle_extent"": ""band"", ""poisson"": ""0.48999999999999999""}",2d,-0.03659626585234732,geometry,,paired_marginal,long,short,final_activation_jump_rms
