coding,dimension,factor_subset,formula,metric,order,signed_nested_contrast
"{""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry,2^|S| * mean(y * product(coded +/-1 factors in S)),final_inverted_rest_measure_fraction,1,0.010999999999999994
"{""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_inverted_rest_measure_fraction,1,0.013250000000000005
"{""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry,2^|S| * mean(y * product(coded +/-1 factors in S)),final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,1,0.005749999999999999
"{""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,1,0.005937499999999998
"{""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry,2^|S| * mean(y * product(coded +/-1 factors in S)),final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,1,0.00525
"{""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,1,0.008750000000000004
"{""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry,2^|S| * mean(y * product(coded +/-1 factors in S)),trajectory_min_det_f,1,-5.938687103653413
"{""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry,2^|S| * mean(y * product(coded +/-1 factors in S)),final_target_rms,1,0.0030353510006966046
"{""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry,2^|S| * mean(y * product(coded +/-1 factors in S)),final_activation_rms,1,-5.05102735907773
"{""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry,2^|S| * mean(y * product(coded +/-1 factors in S)),final_activation_jump_rms,1,0.532957850994384
"{""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_arc_length_ratio,1,0.2539218866169129
"{""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_turning_density,1,8.180742592245537
"{""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_x_reversal_fraction,1,0.0012500000000000002
"{""geometry"": {""high"": ""short"", ""low"": ""long""}}",2d,geometry,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_y_range,1,0.0042435236524630705
"{""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_inverted_rest_measure_fraction,1,-0.018749999999999996
"{""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_inverted_rest_measure_fraction,1,-0.020125000000000004
"{""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,1,-0.011499999999999998
"{""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,1,-0.012562499999999996
"{""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,1,-0.00725
"{""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,1,-0.009750000000000005
"{""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),trajectory_min_det_f,1,15.330205343612805
"{""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_target_rms,1,-0.002990243289636046
"{""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_activation_rms,1,-1.5492404289145694
"{""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_activation_jump_rms,1,-0.614339502498458
"{""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_arc_length_ratio,1,-0.37647350748426245
"{""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_turning_density,1,-24.915363984949238
"{""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_x_reversal_fraction,1,-0.023750000000000004
"{""muscle_extent"": {""high"": ""full"", ""low"": ""band""}}",2d,muscle_extent,2^|S| * mean(y * product(coded +/-1 factors in S)),final_midline_y_range,1,-0.020923826942678872
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_inverted_rest_measure_fraction,1,-0.018999999999999996
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_inverted_rest_measure_fraction,1,-0.020375000000000004
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,1,-0.011749999999999998
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_detf_negative_detainv_negative_detg_positive_rest_measure_fraction,1,-0.012812499999999996
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,1,-0.00725
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),peak_detf_negative_detainv_positive_detg_negative_rest_measure_fraction,1,-0.009875000000000005
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),trajectory_min_det_f,1,15.714887773592489
"{""activation_sharing"": {""high"": ""shared"", ""low"": ""per_cell""}}",2d,activation_sharing,2^|S| * mean(y * product(coded +/-1 factors in S)),final_target_rms,1,0.004601375578723442
