step,cells,rest_volume,min_det_f,min_det_ainv,min_det_g,f_negative_cells,f_negative_rest_volume_fraction,ainv_negative_cells,ainv_negative_rest_volume_fraction,g_negative_cells,g_negative_rest_volume_fraction,double_inverted_cells,double_inverted_rest_volume_fraction
0,31,2.1318705758442154e-08,1.0,1.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
1,31,2.1318705758442154e-08,0.9355234288148181,0.9050805952755616,0.933309511952345,0,0.0,0,0.0,0,0.0,0,0.0
2,31,2.1318705758442154e-08,0.8822717000714535,0.821457672457498,0.8717095158385648,0,0.0,0,0.0,0,0.0,0,0.0
3,31,2.1318705758442154e-08,0.8329611019836707,0.7484004206927478,0.8062492612489525,0,0.0,0,0.0,0,0.0,0,0.0
4,31,2.1318705758442154e-08,0.7695788093971235,0.6821616326070065,0.7434634004746342,0,0.0,0,0.0,0,0.0,0,0.0
5,31,2.1318705758442154e-08,0.6800212045543379,0.6202604671553601,0.7073833630566789,0,0.0,0,0.0,0,0.0,0,0.0
6,31,2.1318705758442154e-08,0.5956330912864873,0.559979123973398,0.6946223979558824,0,0.0,0,0.0,0,0.0,0,0.0
7,31,2.1318705758442154e-08,0.5527620447428688,0.5141522189003658,0.6565549816613682,0,0.0,0,0.0,0,0.0,0,0.0
8,31,2.1318705758442154e-08,0.5194222093895996,0.47751821152210966,0.5784362184182438,0,0.0,0,0.0,0,0.0,0,0.0
9,31,2.1318705758442154e-08,0.4894382121541579,0.44478664465547174,0.5143793123182093,0,0.0,0,0.0,0,0.0,0,0.0
10,31,2.1318705758442154e-08,0.4617780326861662,0.4171240936203321,0.45129766117288794,0,0.0,0,0.0,0,0.0,0,0.0
11,31,2.1318705758442154e-08,0.4369544323290976,0.39656397928585374,0.4012781586349239,0,0.0,0,0.0,0,0.0,0,0.0
12,31,2.1318705758442154e-08,0.4146494475325938,0.3841515850295695,0.3667929453760479,0,0.0,0,0.0,0,0.0,0,0.0
13,31,2.1318705758442154e-08,0.394065772702245,0.37963132127149374,0.3490970821679591,0,0.0,0,0.0,0,0.0,0,0.0
14,31,2.1318705758442154e-08,0.37551623914035376,0.38170929507939083,0.3405862611505015,0,0.0,0,0.0,0,0.0,0,0.0
15,31,2.1318705758442154e-08,0.3580241800985804,0.3651052456550277,0.3563471342401507,0,0.0,0,0.0,0,0.0,0,0.0
16,31,2.1318705758442154e-08,0.3435358385623919,0.3354162087851384,0.39259393747183646,0,0.0,0,0.0,0,0.0,0,0.0
17,31,2.1318705758442154e-08,0.332757754290421,0.30525008710135365,0.408025308135432,0,0.0,0,0.0,0,0.0,0,0.0
18,31,2.1318705758442154e-08,0.3254603785685506,0.27527967703050515,0.4146473622387476,0,0.0,0,0.0,0,0.0,0,0.0
19,31,2.1318705758442154e-08,0.3195084576967615,0.249550352504861,0.42254405824503233,0,0.0,0,0.0,0,0.0,0,0.0
20,31,2.1318705758442154e-08,0.3116306868118672,0.2251506620285869,0.5283705575504826,0,0.0,0,0.0,0,0.0,0,0.0
21,31,2.1318705758442154e-08,0.3026765673744166,0.20302219348092615,0.5331265067884066,0,0.0,0,0.0,0,0.0,0,0.0
22,31,2.1318705758442154e-08,0.2966335502993406,0.18306462252866182,0.5300039149451524,0,0.0,0,0.0,0,0.0,0,0.0
23,31,2.1318705758442154e-08,0.29167926157766394,0.16546091506734784,0.5107474566501851,0,0.0,0,0.0,0,0.0,0,0.0
24,31,2.1318705758442154e-08,0.2873676038823274,0.1501553061145009,0.4724355997290401,0,0.0,0,0.0,0,0.0,0,0.0
25,31,2.1318705758442154e-08,0.28361414889545994,0.136904378825712,0.4298979268288164,0,0.0,0,0.0,0,0.0,0,0.0
26,31,2.1318705758442154e-08,0.27755465940658325,0.1251238291687954,0.3882083172679167,0,0.0,0,0.0,0,0.0,0,0.0
27,31,2.1318705758442154e-08,0.27280174761051834,0.11347407636021524,0.3286985371907364,0,0.0,0,0.0,0,0.0,0,0.0
28,31,2.1318705758442154e-08,0.27110407174988005,0.10268517609313745,0.28056088265934015,0,0.0,0,0.0,0,0.0,0,0.0
29,31,2.1318705758442154e-08,0.2685767849570106,0.09449583271475773,0.24816899451842753,0,0.0,0,0.0,0,0.0,0,0.0
30,31,2.1318705758442154e-08,0.2742451010939742,0.08941044979704225,0.2277732291331629,0,0.0,0,0.0,0,0.0,0,0.0
