step,cells,rest_volume,min_det_f,min_det_ainv,min_det_g,f_negative_cells,f_negative_rest_volume_fraction,ainv_negative_cells,ainv_negative_rest_volume_fraction,g_negative_cells,g_negative_rest_volume_fraction,double_inverted_cells,double_inverted_rest_volume_fraction
0,1078,2.504114119679756e-07,1.0,1.0,1.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1078,2.504114119679756e-07,0.9109452601109788,0.7999741400549505,0.8788683599015791,0,0.0,0,0.0,0,0.0,0,0.0
2,1078,2.504114119679756e-07,0.8414059643791246,0.6316406730580695,0.7802808629196691,0,0.0,0,0.0,0,0.0,0,0.0
3,1078,2.504114119679756e-07,0.7662803563142094,0.48707118054791587,0.7311150396523554,0,0.0,0,0.0,0,0.0,0,0.0
4,1078,2.504114119679756e-07,0.660825244680354,0.3810920455376081,0.6555370783506654,0,0.0,0,0.0,0,0.0,0,0.0
5,1078,2.504114119679756e-07,0.5787403645419505,0.3001437534018758,0.5764863738798108,0,0.0,0,0.0,0,0.0,0,0.0
6,1078,2.504114119679756e-07,0.5315241371139845,0.24164164653445583,0.4620575838593723,0,0.0,0,0.0,0,0.0,0,0.0
7,1078,2.504114119679756e-07,0.4755933128569584,0.19913311391599042,0.4342927045586128,0,0.0,0,0.0,0,0.0,0,0.0
8,1078,2.504114119679756e-07,0.4234934491677068,0.16608445952716672,0.388064833883005,0,0.0,0,0.0,0,0.0,0,0.0
9,1078,2.504114119679756e-07,0.38599723069121866,0.13738814971617633,0.33775625286931954,0,0.0,0,0.0,0,0.0,0,0.0
10,1078,2.504114119679756e-07,0.35736478610785355,0.11770092237725967,0.30381215330539685,0,0.0,0,0.0,0,0.0,0,0.0
11,1078,2.504114119679756e-07,0.3317997668099351,0.10431061391994706,0.28022419773852286,0,0.0,0,0.0,0,0.0,0,0.0
12,1078,2.504114119679756e-07,0.31046365319824254,0.09518648626958313,0.2661468227510483,0,0.0,0,0.0,0,0.0,0,0.0
13,1078,2.504114119679756e-07,0.29362360569205476,0.08883353314165757,0.2577402436178485,0,0.0,0,0.0,0,0.0,0,0.0
14,1078,2.504114119679756e-07,0.27859237140228843,0.08439036123483153,0.24588030513586812,0,0.0,0,0.0,0,0.0,0,0.0
15,1078,2.504114119679756e-07,0.26557084804167397,0.0811974024761767,0.19777239831277538,0,0.0,0,0.0,0,0.0,0,0.0
16,1078,2.504114119679756e-07,0.25718531805775185,0.07896974040872118,0.16428669874326848,0,0.0,0,0.0,0,0.0,0,0.0
17,1078,2.504114119679756e-07,0.24919929237822835,0.07732265429839802,0.13957331135984044,0,0.0,0,0.0,0,0.0,0,0.0
18,1078,2.504114119679756e-07,0.24204993263291308,0.06265957723092208,0.11986694143284889,0,0.0,0,0.0,0,0.0,0,0.0
19,1078,2.504114119679756e-07,0.23577053755757613,0.036476781365671236,0.10676735493367119,0,0.0,0,0.0,0,0.0,0,0.0
20,1078,2.504114119679756e-07,0.2290655008594918,0.007440559786370152,0.012835596229545625,0,0.0,0,0.0,0,0.0,0,0.0
21,1078,2.504114119679756e-07,0.2207432154225877,-0.020754764374256742,-0.02074330144010829,0,0.0,1,0.004732304653841617,1,0.004732304653841617,0,0.0
22,1078,2.504114119679756e-07,0.2176231725722095,-0.035238211162547516,-0.03663045842496523,0,0.0,1,0.004732304653841617,1,0.004732304653841617,0,0.0
23,1078,2.504114119679756e-07,0.21482390897840603,-0.04685069299032266,-0.04831079434870342,0,0.0,1,0.004732304653841617,1,0.004732304653841617,0,0.0
24,1078,2.504114119679756e-07,0.21196081850492732,-0.07286637056157175,-0.04658756267447455,0,0.0,1,0.004732304653841617,1,0.004732304653841617,0,0.0
25,1078,2.504114119679756e-07,0.21041674592075232,-0.09272939160568384,-0.04518135487799289,0,0.0,1,0.004732304653841617,1,0.004732304653841617,0,0.0
26,1078,2.504114119679756e-07,0.20850822947247394,-0.10712281793095522,-0.04476593979305692,0,0.0,1,0.004732304653841617,1,0.004732304653841617,0,0.0
27,1078,2.504114119679756e-07,0.20716860794165215,-0.12412037047618754,-0.042833283886557445,0,0.0,2,0.009303974699163423,2,0.009303974699163423,0,0.0
28,1078,2.504114119679756e-07,0.2056291229637583,-0.14202213650500145,-0.03746302533418446,0,0.0,2,0.009303974699163423,2,0.009303974699163423,0,0.0
29,1078,2.504114119679756e-07,0.2076303165715564,-0.15650060209775754,-0.038358307999052654,0,0.0,2,0.009303974699163423,2,0.009303974699163423,0,0.0
30,1078,2.504114119679756e-07,0.2077133061646743,-0.1689942818786666,-0.042298924492185586,0,0.0,2,0.009303974699163423,2,0.009303974699163423,0,0.0
31,1078,2.504114119679756e-07,0.2037248439980772,-0.18036064850291217,-0.04052215400305432,0,0.0,2,0.009303974699163423,2,0.009303974699163423,0,0.0
32,1078,2.504114119679756e-07,0.19997175666035674,-0.19077557528598152,-0.039943363047691124,0,0.0,2,0.009303974699163423,2,0.009303974699163423,0,0.0
