evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1,0.00022403176110042758,6.814374042025333e-06,8.462832346205163e-05,2,1.399693442813353e-12,-93.29855273919549,-0.1800153781784753,-0.8291173689565174
2,0.02510475880601288,0.0021568536857948187,0.025267243753033797,409,6.827327989807029e-12,-43.4776604871389,-0.2599864481872523,-0.8982492854709628
3,0.0002236639550754783,6.8286560506261886e-06,8.411741470538232e-05,3,2.160299925906637e-11,-93.33166437922928,-0.1799825397228277,-0.8292237709856501
4,0.00027222528769977846,0.00012012160511064034,0.0017156176298078712,15,8.10714835766074e-11,-91.85047655623276,-0.1942501261146766,-0.8341493677658794
5,0.0002229382095717679,1.3066979902388647e-05,0.00021893165795178117,9,4.2806091746871435e-11,-92.5086846396386,-0.1798711041474452,-0.8295776172903774
6,0.0002135739309980217,2.997957507408915e-05,0.0006685256491488374,8,2.934170607664228e-11,-92.69149989443136,-0.1788943161943312,-0.8325938923460912
7,0.00041951272603207455,0.00018335463016221163,0.0021756406231420826,55,1.963894718484331e-12,-93.52997821142142,-0.19638392681072614,-0.8393028986343567
8,0.00021326890983328263,2.8290827996502754e-05,0.0006077636971551299,9,5.380076221462809e-13,-92.7027067270607,-0.17886773284051877,-0.8327055201443155
9,0.0002662932748918881,9.701816879669575e-05,0.0013451933665906727,19,9.663282326581556e-11,-91.4818864417381,-0.19355794932232562,-0.8340834350604059
10,0.00021322610843932074,2.8056328208223034e-05,0.0005990399312089047,10,5.345618144422976e-14,-92.70393939947898,-0.1788637580200024,-0.8327217749147855
11,0.00021173044492418718,2.515843230052529e-05,0.0003386501538095034,10,4.5929740994689425e-11,-92.5478136758978,-0.17859882256751283,-0.8336203749593651
12,0.00021171857704467578,1.6665722792913297e-05,0.0003253425632839306,25,6.463071521850158e-13,-95.41052388163963,-0.17836226637673575,-0.8340010053417442
13,0.00021028995083165636,1.4854683545597136e-05,0.00017948074288687608,34,8.644465796655301e-14,-95.69321993540017,-0.17783078628704313,-0.8350966266387698
14,0.00025936333507182676,7.797672349776106e-05,0.0014351390153294723,28,9.208564846716343e-11,-101.25977979435496,-0.17651636727358272,-0.8366176212917876
15,0.0002108124963135981,1.5542204344236503e-05,0.00019079755585867325,25,9.085950551241648e-12,-95.75842876994827,-0.17782179668745024,-0.8351123116508699
16,0.00021028964838994986,1.4854548574094948e-05,0.00017947775813269946,30,8.196268514684618e-14,-95.69386658117345,-0.17783070084044622,-0.8350967769520434
17,0.00021082373094015715,1.5550291075475943e-05,0.00019050978901766994,22,5.7398058769422326e-11,-95.73570962010811,-0.17782480701124045,-0.8351070298408935
18,0.00021028944901045827,1.485437592421422e-05,0.00017947650264822114,27,9.947208105101601e-11,-95.69414217073768,-0.17783066456275212,-0.8350968409130709
19,0.00021028946175275214,1.4854440449430895e-05,0.00017947614588578807,31,1.4958986331760086e-11,-95.69420925243512,-0.17783065568157203,-0.8350968565489757
20,0.00021028944901045827,1.485437592421422e-05,0.00017947650264822114,27,9.947208105101601e-11,-95.69414217073768,-0.17783066456275212,-0.8350968409130709
21,0.00029145990067716104,0.00013461552976820474,0.002390172771579385,40,3.499668593719238e-13,-104.70475463694986,-0.20986959112990428,-0.8421027836731184
22,0.0002103135390223902,1.5181356424838914e-05,0.00019274881785634316,26,1.2731780961081937e-12,-96.12097112185826,-0.17771790018465664,-0.8353364324740611
23,0.00021018865584541838,1.4779212952169386e-05,0.00017832975075248814,20,4.604718424212161e-13,-95.77893882080053,-0.177808818985885,-0.8351441316727085
24,0.00020992187440999906,1.4611071235791535e-05,0.0001792344767407824,21,2.030010471384985e-12,-96.0062602897086,-0.17774921912372244,-0.8352710483061356
25,0.00020983246381102753,1.4565500430298636e-05,0.00017988422174352713,18,7.725655817712443e-12,-96.08346325077822,-0.17772863787805998,-0.8353142016378505
26,0.00029415021842908295,0.00014643484794389582,0.00265484448272358,33,5.0458532473668394e-11,-98.44362205692333,-0.21062262234915916,-0.8433113194103172
27,0.0002091828903565455,1.4294936413045398e-05,0.00018270064157126058,25,3.878909999771963e-15,-96.22584204641437,-0.17764970031119923,-0.8356179163421253
28,0.0002793389834102933,0.00010638008953492438,0.0019259266387763423,32,1.7541006173224887e-12,-97.60537845723528,-0.2087919498475317,-0.8406925416390285
29,0.00020890407202640837,1.4232332999049164e-05,0.0001855927104913572,24,2.3382168643439706e-14,-96.28800804854743,-0.17771069602642323,-0.835751272789954
30,0.00027222886269474714,9.08241892564495e-05,0.001599606072992447,31,2.8548545868238208e-11,-97.00297465206746,-0.20726852968746132,-0.8390112627258729
31,0.00020878364526181778,1.4216911913815747e-05,0.0001872074736948429,24,4.525842280911145e-12,-96.31506536737619,-0.1777378913359789,-0.835809463495531
32,0.0002627925910696993,8.907776231810152e-05,0.0016032870002914302,30,1.2468801475768458e-11,-96.61176947955367,-0.17622294351843043,-0.8379221268151813
33,0.00020872513033262888,1.4212165027591682e-05,0.00018807840642167555,22,1.0530098081271302e-12,-96.32825804219458,-0.177751300948878,-0.8358378695449452
34,0.0002607736427631294,8.443272369348146e-05,0.0015091270705095746,29,5.01043901349351e-12,-96.33044606063173,-0.17655565704395393,-0.8372132571154745
35,0.00020869966551003,1.4210682050990104e-05,0.0001884757471074213,24,8.069540986377889e-13,-96.33400889411702,-0.17775717772929597,-0.835850258983689
36,0.0002596966972937617,8.193358932263544e-05,0.0014567685228629602,28,2.300343454939414e-13,-96.14230826130797,-0.17676495339347997,-0.836749742684894
37,0.0002086885832980433,1.4210147236415859e-05,0.00018865216108689782,19,4.7881985546636e-12,-96.33651384660904,-0.17775974327017055,-0.8358556568631123
38,0.00025909718715663976,8.053996597888431e-05,0.0014261438952609812,32,2.020989359162736e-13,-96.01715872508844,-0.176898359250555,-0.8364457125904645
39,0.00020868380467949543,1.4209923323625389e-05,0.0001887289859837263,20,9.804294853641861e-11,-96.3376048092405,-0.17776085931077518,-0.835858007753445
40,0.0002587500728817446,7.97375994198872e-05,0.0014075699523099158,34,1.7326188942681966e-13,-95.93415544201912,-0.1769842667355856,-0.8362458752650466
41,0.0002086816575447441,1.4209850860120557e-05,0.00018876358498735087,23,5.103694454629905e-12,-96.33807969702792,-0.1777613492094584,-0.8358590315360045
42,0.0002086768402323812,1.420965320803413e-05,0.00018884142283458606,22,1.776779398116339e-11,-96.33917069027935,-0.17776246787903388,-0.8358613828947821
43,0.00020828663722544227,1.4241606714326423e-05,0.00019664422882584623,24,1.0513985736389942e-14,-96.42812133193871,-0.17785622488706812,-0.8360536206482039
44,0.0002586446972690496,7.949575442245723e-05,0.0014017585379402838,29,9.557885142401225e-13,-95.90687682344875,-0.17701204956513464,-0.8361805068032443
45,0.00020828642280241658,1.4241652439795574e-05,0.00019664939869082116,25,2.4026800035519966e-13,-96.4281706413305,-0.17785627827035388,-0.8360537275033553
46,0.00025857730687038724,7.934192686705213e-05,0.0013979966872934846,42,2.523008988732332e-11,-95.88885504472273,-0.17703028331817394,-0.8361374010184814
47,0.00020828632907162766,1.4241671082675119e-05,0.00019665164524999444,22,4.8214205107366814e-11,-96.42819215386783,-0.17785630167487676,-0.8360537740505332
48,0.00020828566655837772,1.424179969382649e-05,0.00019666706340088066,29,6.735414354776278e-13,-96.42834435708731,-0.17785646557919052,-0.8360541038999365
49,0.0002585140921568366,7.919787672181173e-05,0.0013944166065678557,26,1.110152823112998e-11,-95.87141447297086,-0.17704783260231233,-0.8360957520634931
50,0.00020828566655837772,1.424179969382649e-05,0.00019666706340088066,29,6.735414354776278e-13,-96.42834435708731,-0.17785646557919052,-0.8360541038999365
51,0.0002064418089047767,3.553740095002487e-05,0.0006210322500897422,32,3.307082627024715e-11,-99.16537406242868,-0.2207117644742902,-0.8488917329089817
52,0.00022284055564373908,5.689007081527007e-05,0.0012738768257508628,45,1.8802883036133995e-11,-104.19334685228922,-0.20792265619030398,-0.8554373646744624
53,0.00020501751823687932,2.6611127951907228e-05,0.00036503754925541873,38,1.9355151754662272e-12,-99.88325332740126,-0.2197657701770893,-0.8497204964390591
54,0.00019555133484904595,2.0629606882282572e-05,0.0003861651208836498,34,7.766901148590717e-12,-100.257555914145,-0.18932061765044844,-0.8469982599442333
55,0.00019024590833672798,2.5476201268956936e-05,0.0005137665795930915,24,1.6052616909057434e-11,-104.74626963260549,-0.1916843277925228,-0.8503199940774294
56,0.00018991530764725267,3.682231460464902e-05,0.0005807429481831166,57,1.68254193655916e-14,-108.51575991943368,-0.19186074868725048,-0.8563275563450938
57,0.00018639336530188502,1.5118872326875896e-05,0.00021210668602819185,25,3.5651622369144176e-14,-108.12625899831697,-0.1938533104062685,-0.8558826374666826
58,0.00018457404564708882,1.2656490825360946e-05,0.00013308415948298484,29,1.8763968501135343e-11,-107.94608087762181,-0.1939794975933452,-0.857439601073038
59,0.0003503458443822122,0.0006460883381181877,0.014125239403191617,55,3.9519768536790966e-13,-100.7232970198745,-0.21732128403628612,-0.8635664909502883
60,0.00018351080604318802,1.4617823853345745e-05,0.00015567170410009119,25,1.6305872723279532e-13,-107.9615658077063,-0.1940609229025503,-0.857488592887405
61,0.0001835102409390592,1.461722685551926e-05,0.00015566329301957855,25,6.302247335106521e-14,-107.96163686514895,-0.19406107513943718,-0.8574890650970384
62,0.00018344061018247103,2.5616629661578557e-05,0.00032702378904584566,63,5.203162500129304e-12,-106.8753415265981,-0.1959672453292951,-0.8605257317791993
63,0.00019823842171844808,2.7130860217423066e-05,0.0004884221941906304,51,2.0720825506495903e-11,-110.16196390269093,-0.2155846969641797,-0.8648521160096989
64,0.0003035048829331639,0.00042050489389921266,0.008167854624119175,51,6.379547227325266e-13,-101.17016801053556,-0.18495715282001962,-0.8606762166986331
65,0.00018891011304916357,2.4745924696669673e-05,0.00034655899288604016,32,8.700805640705528e-11,-107.06166099527572,-0.19383659949260904,-0.8605257560810831
66,0.00018922293343328237,2.470860478300964e-05,0.00033572945035898534,35,7.176282942597611e-12,-107.06647143675036,-0.19384925692407876,-0.8605257317792133
67,0.00018344061018247103,2.5616629661578557e-05,0.00032702378904584566,63,5.203162500129304e-12,-106.8753415265981,-0.1959672453292951,-0.8605257317791993
68,0.00018454557004338857,2.806796339362949e-05,0.00036391820549560824,30,3.699298226572973e-12,-106.87927616525138,-0.19603297689641283,-0.8605257317792062
69,0.00018344061018247103,2.5616629661578557e-05,0.00032702378904584566,63,5.203162500129304e-12,-106.8753415265981,-0.1959672453292951,-0.8605257317791993
70,0.00030537408957259887,0.0004194700561616684,0.008104463510727095,47,4.641157878144938e-12,-101.07041157702676,-0.18494373009853063,-0.860525731779203
71,0.00018344061018247103,2.5616629661578557e-05,0.00032702378904584566,63,5.203162500129304e-12,-106.8753415265981,-0.1959672453292951,-0.8605257317791993
72,0.00018903802570883089,2.4646739299215418e-05,0.0003287975233964512,44,2.1934048826509993e-12,-107.0436984395068,-0.1937943856063575,-0.8605257317792011
73,0.00018344061018247103,2.5616629661578557e-05,0.00032702378904584566,63,5.203162500129304e-12,-106.8753415265981,-0.1959672453292951,-0.8605257317791993
74,0.00018344061100677091,2.5616633759062665e-05,0.00032702379342367286,33,4.255685487047529e-13,-106.87534152089809,-0.19596724542427435,-0.8605257317792002
75,0.00018344061018247103,2.5616629661578557e-05,0.00032702378904584566,63,5.203162500129304e-12,-106.8753415265981,-0.1959672453292951,-0.8605257317791993
76,0.0001876553924707652,2.2983718864075563e-05,0.00032503039575309514,46,1.549365742823773e-11,-107.05352070609464,-0.19386312448134757,-0.8605257317791999
77,0.00018344061018247103,2.5616629661578557e-05,0.00032702378904584566,63,5.203162500129304e-12,-106.8753415265981,-0.1959672453292951,-0.8605257317791993
78,0.00018448747461689027,2.5234628245272583e-05,0.0003220183243372755,45,5.168401267571726e-12,-106.87082240873629,-0.19592377185441853,-0.8605257317791996
79,0.00018344061018247103,2.5616629661578557e-05,0.00032702378904584566,63,5.203162500129304e-12,-106.8753415265981,-0.1959672453292951,-0.8605257317791993
80,0.00018343760922499985,3.378667786261638e-05,0.00048557448933269937,30,1.0988141972303435e-11,-106.85859678751054,-0.1962045654566057,-0.8605257317791993
81,0.0003668637560005934,0.00077503672693841,0.015302915741831007,82,1.4046077862942202e-14,-99.83118823309255,-0.1903481450668572,-0.8605257317791996
82,0.00018343760922499985,3.378667786261638e-05,0.00048557448933269937,30,1.0988141972303435e-11,-106.85859678751054,-0.1962045654566057,-0.8605257317791993
