step,optimizer_phase,optimizer_iteration,optimizer_evaluation,learning_rate,evaluation_success,objective,gradient_rms,gradient_inf,activation_update_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,inverted_cell_fraction,inverted_rest_measure_fraction,negative_det_f_mean,ainv_negative_cell_fraction,ainv_negative_rest_measure_fraction,g_negative_cell_fraction,g_negative_rest_measure_fraction,double_inverted_cell_fraction,double_inverted_rest_measure_fraction,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms,detF/min,detG/min,detAinv/min,target/rms,target/mae,target/max,activation/rms,activation/neighbor_jump_rms
0,adam,0,1,0.03,1,0.021548821333333332,1.320242845326553e-05,6.213347765576955e-05,0.0,1,1,,0,6.225748016032108e-18,0.9999999999999929,0.9999999999999929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13466666666666666,0.1467951679495389,0.2,0.1467951679495389,0.0,0.0,0.0,0.0,0.0,0.9999999999999929,0.9999999999999929,1.0,0.1467951679495389,0.13466666666666666,0.2,0.0,0.0
1,adam,1,2,0.029699999999999997,1,0.021171456733714143,1.3809523429872546e-05,5.716754771277109e-05,0.02980759405314301,1,9,,0,7.524824496011117e-09,0.9564882991495455,0.9539580781287614,0.9400113220568592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13349170350939624,0.14550414679215895,0.19807546730997452,0.14550125731728578,8.930863231922232e-05,0.01323259229773337,0.5889779810704868,0.011474372044515508,0.029807594053143018,0.9564882991495455,0.9539580781287614,0.9400113220568592,0.14550414679215895,0.13349170350939624,0.19807546730997452,0.029807594053143018,0.011474372044515508
2,adam,2,3,0.029403,1,0.020765617087621552,1.4712028728230834e-05,5.43619566535281e-05,0.029224864452456173,1,14,,0,2.304094105584398e-11,0.9206682027581518,0.9098100312873875,0.88063519002457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1321741111152687,0.14410280041561147,0.19605703600305915,0.14409197349878095,0.00018115915858690431,0.026536436394561543,1.2551032950208119,0.020851414101820884,0.05894837019349412,0.9206682027581518,0.9098100312873875,0.88063519002457,0.14410280041561147,0.1321741111152687,0.19605703600305915,0.05894837019349412,0.020851414101820884
3,adam,3,4,0.029108969999999998,1,0.02032391458483748,1.5959742998656975e-05,5.562634348394784e-05,0.02881641781845606,1,17,,0,5.502871679807827e-12,0.8907065808776078,0.8631405031525414,0.8217343320178312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1306898394437583,0.14256196752583586,0.1939428516893374,0.1425389775904548,0.00027531445998679006,0.04010963718953747,1.978306824479978,0.028650605256700375,0.08763594379760714,0.8907065808776078,0.8631405031525414,0.8217343320178312,0.14256196752583586,0.1306898394437583,0.1939428516893374,0.08763594379760714,0.028650605256700375
4,adam,4,5,0.028817880299999998,1,0.01983854348352962,1.7594935839485188e-05,5.752798610567856e-05,0.028455959028092292,1,18,,0,8.623733461497299e-10,0.8664615893005473,0.8087617910652928,0.7632221671004339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12901134147282345,0.14084936451233857,0.19168491518203026,0.14081061234949135,0.00037505733548578714,0.05416941575742668,2.720590672242556,0.03528616228738469,0.11592327314578361,0.8664615893005473,0.8087617910652928,0.7632221671004339,0.14084936451233857,0.12901134147282345,0.19168491518203026,0.11592327314578361,0.03528616228738469
5,adam,5,6,0.028529701496999998,1,0.019301248353216047,1.9343501050412248e-05,4.423103590778495e-05,0.02810597525398637,1,23,,0,4.892135019358286e-10,0.8474745902376137,0.7487563108904646,0.7050922743296192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12707757495202912,0.1389289327433852,0.18922404704864065,0.13887111528155988,0.0006386143392561407,0.0799336537792494,4.811798131058626,0.04108902593772312,0.1438203964927239,0.8474745902376137,0.7487563108904646,0.7050922743296192,0.1389289327433852,0.12707757495202912,0.18922404704864065,0.1438203964927239,0.04108902593772312
6,adam,6,7,0.02824440448203,1,0.018696051574213297,2.1968825756690396e-05,6.026318699497353e-05,0.027832671409615862,1,9,,0,5.278909380586078e-10,0.8234228619977411,0.6940956538477704,0.6473199199762769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1248641036423352,0.1367335056751391,0.1865698743382674,0.13665316119592502,0.0007911659867114645,0.09910536237653911,5.9267726943037005,0.045574986225496744,0.17139494632865096,0.8234228619977411,0.6940956538477704,0.6473199199762769,0.1367335056751391,0.1248641036423352,0.1865698743382674,0.17139494632865096,0.045574986225496744
7,adam,7,8,0.027961960437209697,1,0.01800875434423726,2.452830510801324e-05,5.036538475995138e-05,0.027627481296412144,1,6,,0,6.247089876491767e-09,0.7749711256483425,0.6555083445936873,0.5898982792105512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12230367146299624,0.13419670019876517,0.18361240782829852,0.13409134601002382,0.000978231535695868,0.12345099571145872,7.138844302270826,0.05003889422548795,0.19874450740953895,0.7749711256483425,0.6555083445936873,0.5898982792105512,0.13419670019876517,0.12230367146299624,0.18361240782829852,0.19874450740953895,0.05003889422548795
8,adam,8,9,0.0276823408328376,1,0.017232287603206324,2.797292530957133e-05,5.6270471973806366e-05,0.027401404340685036,1,6,,0,3.0513964305144336e-09,0.7460881534538082,0.6189920650552304,0.5328348591578991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11931869050285261,0.1312718081051919,0.1810041739395989,0.1311360111586283,0.0011795716311560028,0.15169397023742473,8.308188031503187,0.05419779405374781,0.22590842213521864,0.7460881534538082,0.6189920650552304,0.5328348591578991,0.1312718081051919,0.11931869050285261,0.1810041739395989,0.22590842213521864,0.05419779405374781
9,adam,9,10,0.027405517424509224,1,0.01630729340566398,3.6749801782624766e-05,0.00012769940802679204,0.027205738484577937,1,35,,0,6.599268136379317e-09,0.6825328248579869,0.580398959230238,0.476149146068077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1161198970015904,0.12770001333462724,0.17791481561317568,0.12733219585629948,0.0018976848272840565,0.2510393396376521,12.617611604706337,0.05813462823514216,0.2528686796372446,0.6825328248579869,0.580398959230238,0.476149146068077,0.12770001333462724,0.1161198970015904,0.17791481561317568,0.2528686796372446,0.05813462823514216
