evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1,0.011463407788462655,0.00038635599223476675,0.00048429541072670415,2,4.951448661561918e-12,-0.17758065222784153,-0.17758065222784153,0.09211368929774323
2,0.05354915377910726,0.02671555391760303,0.03686276147365988,806,3.0438876777205225e-12,-3.8442188184668438,-0.3797421333009653,-0.28739131771408094
3,0.011462270970113788,0.0005312620589611007,0.0009020139850242945,4,4.10568407959233e-14,-0.17551668893856615,-0.17551668893856615,0.09250589843177123
4,0.01147498236505713,0.0011037815666531873,0.0015479507673740937,9,3.566709144289513e-11,-0.16860359721374274,-0.16860359721374274,0.09357967452171113
5,0.011461804013507387,0.0006028765202518817,0.0009965007539421318,4,2.815267422872618e-13,-0.17506317074245215,-0.17506317074245215,0.09257876842710983
6,0.011477870571504315,0.0009286842308516885,0.0013132187730164118,9,2.978791529255394e-12,-0.17073010064942915,-0.17073010064942915,0.09325349169044533
7,0.011461641236065844,0.0006327722748809149,0.0010325729751395796,4,5.242958275954459e-13,-0.17490201495980784,-0.17490201495980784,0.09260459603786664
8,0.011479702523948157,0.0008150800878773394,0.0011430298123239464,13,1.1156168759800828e-13,-0.17211046695267945,-0.17211046695267945,0.09303857516034789
9,0.011461578474697974,0.0006451589148232136,0.0010470397126295036,4,6.629265605045435e-13,-0.1748393823087876,-0.1748393823087876,0.09261462440685092
10,0.011460029046650947,0.0018054015877975512,0.0019497376143177533,5,4.387268346154598e-12,-0.1730628902255406,-0.1730628902255406,0.09289680745581935
11,0.011468856824619624,0.0010404109995485794,0.0014590064675054691,13,1.93314849708135e-13,-0.167574166306757,-0.167574166306757,0.09362966367479393
12,0.011459296837600125,0.003284271835288076,0.0035984556434250393,5,4.97598156552846e-11,-0.17255504930814475,-0.17255504930814475,0.09296892675747037
13,0.011422668382332458,0.001189231439734295,0.0015480500295878465,19,9.367921918104954e-12,-0.16604769931008928,-0.16604769931008928,0.09351527207498501
14,0.011955352491616002,0.032688024490456706,0.04220324133150165,73,4.4083642706695004e-13,-0.2554696247568824,-0.2554696247568824,0.07153511760959373
15,0.01137165688156448,0.0035304242968539745,0.0048462412112952056,52,7.991662052620546e-11,-0.16010787963723866,-0.16010787963723866,0.09068563607868546
16,0.032522748495080585,0.08355250278491105,0.12155224959127921,290,9.165025080585746e-12,-0.22667991455108225,-0.22667991455108225,0.058144063653673264
17,0.011369305596335007,0.0035539135962335874,0.004854538787377601,23,5.839563694616789e-12,-0.1704700800936413,-0.1704700800936413,0.09067463509171063
18,0.011369305020105159,0.0035540082761638422,0.004854648313028471,28,1.4909927483166236e-13,-0.17047030281083533,-0.17047030281083533,0.09067456389733569
19,0.011750891611024055,0.023514863072225663,0.029409700825861636,63,8.299608261138746e-11,-0.2187308870809391,-0.2187308870809391,0.07961551545701863
20,0.011371533127833828,0.007015221637294202,0.00871611877905889,12,3.5506484682874923e-15,-0.16929082006297905,-0.16929082006297905,0.09025137166082055
21,0.011680357376519514,0.026222247033455316,0.03389253004901293,81,2.9442307668688892e-12,-0.21032243479964563,-0.21032243479964563,0.07508873064566274
22,0.011305119643708075,0.006258819872128264,0.007800879250065314,46,1.7359806811372078e-14,-0.18058540899567943,-0.18058540899567943,0.08818095942303206
23,0.011300961819520791,0.005971514892696134,0.007480707479036547,41,9.762630039959286e-12,-0.17960203242094433,-0.17960203242094433,0.08838898361834631
24,0.011285995779549647,0.004890698389286237,0.006282435113446713,40,7.881748756135323e-11,-0.1757866916129622,-0.1757866916129622,0.0891992916053656
25,0.011360320823670545,0.005935286270681404,0.007854500654378548,85,7.116385815413172e-14,-0.1912026735617672,-0.1912026735617672,0.08620536449793631
26,0.011266991224920642,0.0045065594134014566,0.005757098047051243,37,9.364445929202067e-14,-0.1748650622349383,-0.1748650622349383,0.0893516673169908
27,0.011069253541299466,0.0021859380117475818,0.002812696179895487,45,1.0313378899812866e-13,-0.17509858812068096,-0.17509858812068096,0.08965286555470071
28,0.01135802799488598,0.008225818375504257,0.011750399020456898,61,4.2421948326870953e-13,-0.2014346463288293,-0.2014346463288293,0.08482384061987229
29,0.011104174407153704,0.002389478580945626,0.003317840245279353,41,2.973433479486964e-11,-0.1737107792872415,-0.1737107792872415,0.08958328052176333
30,0.011132965539321096,0.001343298882929532,0.002022551990939531,61,3.5972065918720145e-12,-0.17507997719291826,-0.17507997719291826,0.08965246598867305
31,0.01107188651051063,0.002159576142573516,0.002846719710314769,31,1.766555462684569e-13,-0.17254204537858214,-0.17254204537858214,0.08965286554676537
32,0.011069253541299466,0.0021859380117475818,0.002812696179895487,45,1.0313378899812866e-13,-0.17509858812068096,-0.17509858812068096,0.08965286555470071
33,0.011118860797432557,0.003240025030986296,0.003794066155377461,47,9.984850220806679e-11,-0.1751194751679809,-0.1751194751679809,0.08965286555073303
34,0.011069253541299466,0.0021859380117475818,0.002812696179895487,45,1.0313378899812866e-13,-0.17509858812068096,-0.17509858812068096,0.08965286555470071
