step,optimizer_phase,optimizer_iteration,optimizer_evaluation,learning_rate,evaluation_success,objective,gradient_rms,gradient_inf,activation_update_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,inverted_cell_fraction,inverted_rest_measure_fraction,negative_det_f_mean,ainv_negative_cell_fraction,ainv_negative_rest_measure_fraction,g_negative_cell_fraction,g_negative_rest_measure_fraction,double_inverted_cell_fraction,double_inverted_rest_measure_fraction,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms,detF/min,detG/min,detAinv/min,target/rms,target/mae,target/max,activation/rms,activation/neighbor_jump_rms
0,adam,0,1,0.03,1,0.021548821333333332,0.0045284807173579834,0.005657493533055795,0.0,1,1,,0,6.225748016032108e-18,0.9999999999999929,0.9999999999999929,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13466666666666666,0.1467951679495389,0.2,0.1467951679495389,0.0,0.0,0.0,0.0,0.0,0.9999999999999929,0.9999999999999929,1.0,0.1467951679495389,0.13466666666666666,0.2,0.0,0.0
1,adam,1,2,0.029699999999999997,1,0.021194669592627557,0.004908562739687229,0.006137406768079004,0.029999181062551648,1,15,,0,4.643237893934161e-09,0.9910826596274834,0.9785762075019419,0.9400002459263365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1334138158047181,0.1455838919407898,0.1986879336832055,0.14558158304151864,4.156056101962737e-05,0.006543500207057683,0.12682981917670746,0.0,0.029999181062551648,0.9910826596274834,0.9785762075019419,0.9400002459263365,0.1455838919407898,0.1334138158047181,0.1986879336832055,0.029999181062551648,0.0
2,adam,2,3,0.029403,1,0.020806946237015227,0.005343371288493241,0.006678582333842178,0.028833686830554314,1,12,,0,6.374922809633203e-09,0.9825495705583369,0.9550621415590196,0.8808515494641354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13202240741030752,0.1442461307523194,0.19723707134636118,0.14423744588486542,8.954606312877615e-05,0.013951635241228902,0.28372254417348997,0.0,0.05881743535944767,0.9825495705583369,0.9550621415590196,0.8808515494641354,0.1442461307523194,0.13202240741030752,0.19723707134636118,0.05881743535944767,0.0
3,adam,3,4,0.029108969999999998,1,0.020379829069735803,0.0058453250419133315,0.0072936731137454676,0.02856788047766365,1,16,,0,1.869346549411584e-11,0.9737867964394957,0.9284069777124645,0.8225032981334329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13046662442822807,0.14275793872753909,0.19561996465395814,0.14273852658359024,0.00014546947175883272,0.022431435092027597,0.4810948514359322,0.0,0.08737906763481146,0.9737867964394957,0.9284069777124645,0.8225032981334329,0.14275793872753909,0.13046662442822807,0.19561996465395814,0.08737906763481146,0.0
4,adam,4,5,0.028817880299999998,1,0.019906392255214646,0.0064308695721816776,0.007999261464520086,0.028378640411384496,1,13,,0,3.04327495727084e-09,0.9643639553005636,0.8981161280497488,0.7648786675026391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12871321721639897,0.14109001472540375,0.1938034232886307,0.14105530766381316,0.00021136851956396176,0.032242427045366485,0.7362243050935516,0.0,0.11575476941347775,0.9643639553005636,0.8981161280497488,0.7648786675026391,0.14109001472540375,0.12871321721639897,0.1938034232886307,0.11575476941347775,0.0
5,adam,5,6,0.028529701496999998,1,0.019378116213608226,0.007121495009936857,0.00881702120023256,0.028224593670325673,1,8,,0,2.8414059336890536e-11,0.9536273801940326,0.8635468485630328,0.7079049992618004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12671948056698612,0.13920530239041984,0.19174539156393255,0.13915075973533184,0.00028991955053717994,0.04373069735725512,1.077529374449304,0.0,0.14397789094911978,0.9536273801940326,0.8635468485630328,0.7079049992618004,0.13920530239041984,0.12671948056698612,0.19174539156393255,0.14397789094911978,0.0
6,adam,6,7,0.02824440448203,1,0.018784401081236187,0.0079452194983512,0.009775316716277212,0.02809726586536757,1,6,,0,6.455943772184078e-11,0.938998240673823,0.8237388228069504,0.6515143484960437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12442985986308602,0.13705619679983896,0.1893908141770386,0.13697764704004559,0.0003848285898373197,0.05737181003146508,1.5567399101076456,0.0,0.17207441370025,0.938998240673823,0.8237388228069504,0.6515143484960437,0.13705619679983896,0.12442985986308602,0.1893908141770386,0.17207441370025,0.0
7,adam,7,8,0.027961960437209697,1,0.018112072059356454,0.008936348715279157,0.01091048099585423,0.027992971440810102,1,15,,0,3.681550437705926e-09,0.9150769864470615,0.7772124949721703,0.5956442872254611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12177156807871058,0.13458109844757715,0.1866688224625901,0.1344750808503126,0.0005027275977168548,0.07393479415108369,2.2839355895016498,0.0,0.20006702133729098,0.9150769864470615,0.7772124949721703,0.5956442872254611,0.13458109844757715,0.12177156807871058,0.1866688224625901,0.20006702133729098,0.0
8,adam,8,9,0.0276823408328376,1,0.017348487784397768,0.010051743964320127,0.012207028467607949,0.027909907759500814,1,11,,0,4.5628591030933313e-11,0.8112494601303673,0.710329837599422,0.5402376182096001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11865534890963575,0.1317136583061824,0.1835066768490141,0.1315747808815692,0.0006873947358968724,0.09764155036334472,3.546121932162319,0.0,0.22797676657259416,0.8112494601303673,0.710329837599422,0.5402376182096001,0.1317136583061824,0.11865534890963575,0.1835066768490141,0.22797676657259416,0.0
9,adam,9,10,0.027405517424509224,1,0.01653041980821976,0.011134905565854905,0.013914562113881973,0.027874943749923862,1,29,,0,1.2505395602872881e-09,0.6936626788865563,0.6522242674341285,0.4851987617128725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11514541697761128,0.1285706802043909,0.17992087225367945,0.12840893987412402,0.0012344581623555924,0.1492840841125059,8.295438571872266,0.0,0.25585170635831506,0.6936626788865563,0.6522242674341285,0.4851987617128725,0.1285706802043909,0.11514541697761128,0.17992087225367945,0.25585170635831506,0.0
