step,phase,objective,gradient_inf,gradient_rms,equilibrium_residual_rms,forward_iterations,min_det_f,min_det_ainv,min_det_g,inverted_rest_measure_fraction,ainv_negative_rest_measure_fraction,g_negative_rest_measure_fraction,double_inverted_rest_measure_fraction,activation_sha256,displacement_sha256
0,strict_seed,0.010195090404751478,0.005659744942901089,0.004141051475407564,6.151272266409044e-12,1,-0.11749073433901562,0.08705832372037632,-0.11749073433901562,0.0010000000000000015,0.0,0.0010000000000000015,0.0,b1a0aaf38fd3e00c9008c4f05a808e5f989eecb4594769c0e7c266de588c57db,c7ea7abdbe23954ecbc049c60bdd272b0be901a4bea45757b7de15948b64d324
1,inverse_bfgs,0.010190012885889256,0.01963493467122346,0.01556242188397327,1.68405445330519e-12,5,-0.11684972489368829,0.08721513595346711,-0.11684972489368829,0.0010000000000000015,0.0,0.0010000000000000015,0.0,f6f7292791c8f7aeb8772202663a15f17202297bf3d2861e691b59a5f0483c1e,006bd895b88fcaf78c9d41117f33f9c2b384d96a4142416871b74c78026b39dc
2,inverse_bfgs,0.010189136452736119,0.03138491693555727,0.025294515631750975,1.569010656374683e-11,3,-0.11680849137767257,0.08722635223930694,-0.11680849137767257,0.0010000000000000015,0.0,0.0010000000000000015,0.0,1ad72fe5ab8819bb7cc429138de0483bd8317aff03f121d02ed2eeb61898e744,4172cc47ddb7ef31dd12aa2de0dc361023024ad46973fdb0fa8bc1236700d956
3,inverse_bfgs,0.010188550516027264,0.049768859581344194,0.040540555735211745,6.560584592163035e-12,3,-0.11679141684588439,0.08723100969742782,-0.11679141684588439,0.0010000000000000015,0.0,0.0010000000000000015,0.0,07e54501b2ecbe70f7c16cef51f74bd1deac7840ca28a67efe26e09869e48920,4774f4d4139c94c56fdf9f68f1e79955407a0cebe6d327b37ba5af561dde9dff
4,inverse_bfgs,0.01018752729972033,0.8044184597535584,0.666801667794078,9.571510608248222e-11,3,-0.11677718906839976,0.08723478872079687,-0.11677718906839976,0.0010000000000000015,0.0,0.0010000000000000015,0.0,04db2f8482ba45173cb1431d252c22d6cb4366f5bfbbd2dc36647c3fc2456aa3,2a97f663a1b07d9d89316fc3283e9fdadf4155d030d2de33eb1ee529d0cea709
5,inverse_bfgs,0.010185803365372803,0.03590006251661136,0.030592593115414922,7.838111619513795e-11,3,-0.11677531973913963,0.08723491238137823,-0.11677531973913963,0.0010000000000000015,0.0,0.0010000000000000015,0.0,3b78469f0755000ea3af757e7d3707069c4a036802542eb1643dc1dc63a9e65a,4b958378efa0edcd5d94f64d4ff2b15edeac6eaff962ca0e634937ae33ce7140
6,inverse_bfgs,0.010184752376036624,0.12861566574303002,0.10744544262338722,2.56842266501356e-11,4,-0.11725739296558244,0.08664882108195789,-0.11725739296558244,0.0010000000000000015,0.0,0.0010000000000000015,0.0,6ef225572fba6f4a7f197e53d6655d1667ed9f335f2fc41d908fdc4f3424d057,28cc4a2c971d33c9ecd6e9382d6db8309a58bbe97b1834a2d071f25a29a8f279
7,inverse_bfgs,0.010182473126481215,0.15980483020188088,0.13261350657090817,3.7675631271911326e-11,7,-0.1169503682299574,0.08570097680033889,-0.1169503682299574,0.0010000000000000015,0.0,0.0010000000000000015,0.0,a96995017e402ddc3996e7cc68f33758d3a3cea6accc9a44c9d77b4ad9c5c9f2,1c4bfd99babc9add5f8f5b9f13bb84dbe126519fba5b86161e2dab54f7f37c36
8,inverse_bfgs,0.010181810966330258,0.12104115015030097,0.10088189664482075,2.6968268028734342e-11,9,-0.11717299547379066,0.08525382770916454,-0.11717299547379066,0.0010000000000000015,0.0,0.0010000000000000015,0.0,6ff5b1e893214f4078787c8650e0b4728c6db529c780e95d94a075b58a8957ad,a38b3b3dcba16058041457587ea51c6a8bdc01c4421acb4e063ac5d3e21ffc68
9,inverse_bfgs,0.010181642272831628,0.19637709832184533,0.1635766175982892,1.8277994388728157e-12,3,-0.11694010481196894,0.08534709603770148,-0.11694010481196894,0.0010000000000000015,0.0,0.0010000000000000015,0.0,bf2dddb0275d812b028ecb1cf78bb5ec43c6ee8224f4f647b8d3e68f50f28de0,ca8c10e2bebbca03ea3d8060b40fcdcb9fb8c15f0b9b90d950f979cd8d370b4d
10,inverse_bfgs,0.010180333979077347,0.035878231765855924,0.030047273736803375,4.629097535111898e-11,3,-0.11694503939643816,0.08534521088906663,-0.11694503939643816,0.0010000000000000015,0.0,0.0010000000000000015,0.0,49c097972754d9f79b39e265b967071e1e5bd2a133a76e35e98091e3ddef3efa,089c448d522c80fe7f23ba9ba3885c7779252e2ff1d9d2f9452a597bff7fda93
11,inverse_bfgs,0.01018029770358606,0.07236376906749739,0.060465335589061656,1.7662339258106795e-11,3,-0.1162468935052794,0.08566030235220902,-0.1162468935052794,0.0010000000000000015,0.0,0.0010000000000000015,0.0,ef786d426eec88248b1f64845b4548b083a7b980e7a7ce0ec33c4d42db78cc14,2177841a7a3fe688b730ff0cf4590e1724e5d885be4178123e0f93e7a253e8a3
12,inverse_bfgs,0.010179250586805097,0.0660614081640064,0.0552819780018566,1.4660529866405517e-11,4,-0.1152833299960456,0.08591471798922523,-0.1152833299960456,0.0010000000000000015,0.0,0.0010000000000000015,0.0,5f8692113ffa67c5d5a476f8fb9718250885c3539ce00aa5aad45b80387f773b,2c09d98037156d621120f1a149f758862ba9654891c32990f6b5a1e62a276a3f
13,inverse_bfgs,0.010177589410925236,0.06418904502073154,0.0538088732400573,1.4796206611364173e-11,4,-0.11357854506703698,0.08611379848434725,-0.11357854506703698,0.0010000000000000015,0.0,0.0010000000000000015,0.0,e48ec9fab8dab040276b18ca73375577551e8a7b9d340de546423298d27f984c,9af8dc06ef00e1852562dd48d6d28dc3fd0c32cec57ca964ae2e2346cce6e805
14,inverse_bfgs,0.010173140228329294,0.02178057506185763,0.018569286632090006,5.348216216353667e-11,4,-0.10997440665253863,0.08644239569567687,-0.10997440665253863,0.0010000000000000015,0.0,0.0010000000000000015,0.0,4daf3b6f2134b4a1516179a3fc0d9b99b059c5b66c4815c0bdb72378879b3e72,3b4a210804a9e88a592bafc10c1f88c9d6934b975e902b30c631b91bac37dc76
15,inverse_bfgs,0.010157016682631897,0.00325472307135548,0.002668922795376878,9.403906278835306e-11,20,-0.112949527382644,0.08558088615683623,-0.112949527382644,0.0015000000000000024,0.0,0.0015000000000000024,0.0,12a135bac5d808e51d74aa14a77474a0c8db2921694120de96a39226237eb1b6,ea9622f31e3af817f1448689d3684a7b33f730a78079bc1d8d65b879819336c3
16,inverse_bfgs,0.010154832049708398,0.0020515507674801737,0.0012244997047559105,7.957265845708694e-11,5,-0.11247929724718503,0.08600215220027624,-0.11247929724718503,0.0015000000000000024,0.0,0.0015000000000000024,0.0,f15613ca92d805ee17c3560350b36b4fd03980bf1034e71c66b1674a2ca0f956,771f131a75f159fcd0261b12de6114f29928aed130ce8a59406c21345b6df123
17,inverse_bfgs,0.01015458852134564,0.0026405569348486274,0.0020783828288819858,1.3948144503859821e-11,5,-0.11313747293505665,0.0858463897534088,-0.11313747293505665,0.0015000000000000024,0.0,0.0015000000000000024,0.0,ef4d10de5f0bc1f5236d0011574fbf88826faeb9780c8d1f562b679fd96137f0,07861cc6874df87895d4d00fb2635384b2f3ef56eb241cc1df7fc24d8b55887d
18,inverse_bfgs,0.01015353430466678,0.002535652770928896,0.0019864807940967997,3.75668699514824e-12,3,-0.11392230400556957,0.08582572292361788,-0.11392230400556957,0.0015000000000000024,0.0,0.0015000000000000024,0.0,6ded04056e78e5e4b121d710fc9d01d3a2685f0c95b0713074f29e963077995f,1bfe4ba1820c27fa9ec1e550cfbc3f43d52ed410dca8220933351fd9281dcd98
19,inverse_bfgs,0.010148480117567516,0.002767284868786012,0.0018731777775438249,8.691073560310794e-13,6,-0.15070220228067183,0.08271428976456181,-0.15070220228067183,0.002000000000000003,0.0,0.002000000000000003,0.0,6a9485946b8b7446fd5eeb28e7d337de942a2986101cdfc9e828267827057cda,63abeb70e47406f637d96996ff6f02e60b6fc1d16a3ca9302876315650e6abcb
20,inverse_bfgs,0.010144514172195715,0.0023907000623851343,0.001704208445706965,1.0550434749005559e-13,4,-0.1435618803912034,0.08407007654170529,-0.1435618803912034,0.002000000000000003,0.0,0.002000000000000003,0.0,2b2e376a20fcd688c6e83e4d5a3c6385cb5e7637717ff585267cb642ffe6b23c,c5249eb0b5e3077d91fb3b6f717d2ea33b803a2815460bbad04961c1593f6746
21,inverse_bfgs,0.010141755854837332,0.002702161732615582,0.0018877093102076194,1.0331187084429828e-13,4,-0.143806807395861,0.08467149934617102,-0.143806807395861,0.002000000000000003,0.0,0.002000000000000003,0.0,182bf9faaed7d97d8dd9e89b642900cb867f98caaf059388cf52f511e9e303d2,69b844cca8f5d219b364fc5816fed3f5649046794c4f6307e2bdb2718a9978c4
22,inverse_bfgs,0.0101317005983841,0.0035633223215065153,0.0030004496257324226,2.577525365275344e-12,5,-0.15398615688895437,0.08587252617750502,-0.15398615688895437,0.002000000000000003,0.0,0.002000000000000003,0.0,8a20df01b710d4affa8e9382b2335eb757a38e6785168ab3cca8461c7acb38bd,23111a967c5c37848f9b289ba027c9ebf426e298c61fc746a0edcfc80400f430
23,inverse_bfgs,0.010116155511449745,0.004115676339344343,0.004078302890860598,3.670114777141673e-12,5,-0.1698486708197337,0.08610967460601072,-0.1698486708197337,0.002000000000000003,0.0,0.002000000000000003,0.0,aecc35558042e447a82e8e3e2a245d0324f18a0b1f1f74b25c2812048182655b,b802f267d318fdc2b4ef982e62d5912ab51552e3ffb81756e9858b5b12c67e4b
