accepted,alpha,controls_sha256,displacement_sha256,forward_iterations,gradient_inf,min_det_f,objective,trial
False,1.0,f9f787d562769160834345ffaa1a41bc9a5ceb794e21b78ec4e1e67fe21c6deb,c957dcf43943ba9d9ea3a32dbf41d14df7afae2b3727e3fa3de91042ce266999,47,0.0019629721895163053,-0.1081416486520565,0.011541438031126117,0
False,0.5,9a6b110afbe5283e5d45263e8031e6a0d3726fbb24c553af1104827ed9a541b5,025a2a673002725ded5c7213e5c537b1568c82bbedab05b34461352e6d302e21,73,0.0021713526439622005,-0.11337046768033851,0.011348281279852096,1
False,0.25,66865dda00ba54b721b9da3834f086f4f185af488f92e7fda87b2c226d1279c1,f874606b2005d609d75ff9d0d786c80d7d41b647306ed9a5be08bd3df8d4f1dd,29,0.0012032215756637254,-0.11544826588232518,0.010604511442182806,2
False,0.125,c98a291029179e6a1bb04c3b0a415001a949503bdefb28187ca493d5bef5d4db,fdfc2496c821ad9e41971efe7380bdb209c19178d006cd6cfbfa59ec395dfb7e,63,0.0032834481973319824,-0.11723028389655836,0.011347303053032559,3
True,0.0625,f6f7292791c8f7aeb8772202663a15f17202297bf3d2861e691b59a5f0483c1e,006bd895b88fcaf78c9d41117f33f9c2b384d96a4142416871b74c78026b39dc,5,0.01963493467122346,-0.11684972489368829,0.010190012885889256,4
False,1.0,709b513e0c47d96bb458594da9c1a26de11e10dfc869b15ebaee351935e8a982,b19d1d1410c6c3dcdcf881764be2892a974c2aa8eff3e85377d5499cdf280d32,54,0.011339460065393193,-0.0744154544216149,0.010997838870213736,5
False,0.5,e8718441c952908d8c6257245898af902a7e8c340ac407ba9f8d167ed26369be,654b06a810d9208ac64566a6cefcc6c544998b1ad006bd8a0897f015c54cd785,58,0.002845299260974414,-0.09633366911556153,0.011557212067073318,6
False,0.25,4cc492587c4d8fc5765887215d2b031014ede5cf5b5bfd697c7bdd0609108e72,575041d5eb495869d03cb642bf5253db83dbf8ac80c6f249cf6d91d735a7c0a0,29,0.0006617208325413777,-0.1067752894366035,0.01066990165133052,7
False,0.125,e49daf3402c7af45fc910c5fcba421d279c7fcd685c17cecb91a9962384cc5e7,c5982e011b188606e35c938e5df38e59669ee855ad9cdf167b514e3056b6e5ce,33,0.0022915523076533152,-0.11252060191299065,0.011014701808751972,8
False,0.0625,766a4440362b6820434158016bca9ff573cd4f056457dcceab719460a3e7a01b,9dc11bd9e52d40d6f030064a26dbe7831b3c83bd13ca42e78750c451b50ac57e,42,0.002722686433808438,-0.12453130237597405,0.010807263041339967,9
False,0.03125,538280c01b4e38c030cebb9a28561777f06ef40f1ccbe89093ba5c1b3c381dd8,76dea4f19ef5c825b03623094cb510a2080a290e429b635005cd8df0a3184c02,53,0.002230723439030225,-0.11635601190026337,0.011080617095160748,10
False,0.015625,d901800a755944dedba5729011e1eabd0462ee8c0bd63776619e5e3c250764d0,d11d244028adaa81c384612df228bcef01741c9023d3034815cdb0281d6bc646,72,0.004309774949929764,-0.11720971765287123,0.011412031203543456,11
False,0.0078125,2b04204288d1dd6ca899b8bd9e1aa6e5eedf66c791a21393efac024d68a6eca5,22baa1d188cca964f8ede8392c0bc95ae019f0d458e7536c8ede2f930f001d6f,58,0.004715745502440341,-0.11742299781468078,0.011403603563152282,12
False,0.00390625,cb2b9b77586740cb935d9de878ecbd14261c23ccfa42cd80eb0a6797e53836c0,6584b1c3c45f235d34884ea92a058ee349f114439d468dfc0b37541a5a548e49,71,0.004004399889363843,-0.11748636514780784,0.011103652491799088,13
False,0.001953125,0b757d45839c520e886722153a308de57eb870c6992188f4c164f1ad78be394c,81191aca317bcff9b486e6e09badcd47909e1a3428e02a3c2249c5caa5d0cf91,65,0.004956660673471751,-0.11772455182436235,0.011539899487719846,14
True,0.0009765625,1ad72fe5ab8819bb7cc429138de0483bd8317aff03f121d02ed2eeb61898e744,4172cc47ddb7ef31dd12aa2de0dc361023024ad46973fdb0fa8bc1236700d956,3,0.03138491693555727,-0.11680849137767257,0.010189136452736119,15
False,1.0,331105169510ccc069715928fdd582c90feaf7c2f32981cc4ff08a72bd430210,5187e877e0747593bff2aa17a451eb18fc2ed60a4a89b41290d586f465932e30,66,0.015850854716471473,-0.04588104923681366,0.010424905084757505,16
False,0.5,b14bdfc50395f4eccabb92d9626743bf77df9030985f50d67224f7d01ca0b514,6b63c83a48f2273d8af9fac6b268aa38731093432f5e3fb3b96736a090445224,32,0.007877998777002116,-0.0818612791294493,0.010742236307920197,17
False,0.25,24eb4fcc7065ba62b0f036265f2c1e1237461035045a18165c6b23bd3291b643,8414f02ffe33c3a66ea8b53de3043c7ab99c94dc3cf4d2dc83b90aa79aacf496,31,0.005898405412431005,-0.09986188638853856,0.010712622334070807,18
False,0.125,5805b0b909bbfbe175f1bd798466af9d24f52dc14a92d3514cbfcdfb5cd9dc98,3d548758405011dc95e6df776835a6fd44f58968992cac60c14d38739d521ab7,51,0.0025014061042336147,-0.10858776317321919,0.010934627464843624,19
False,0.0625,1ae1730b99555250b16621c3671fbc6c21424b15940d21411b38f5432bbba7ce,f910c7137b29387c6d20c75e4016cf4d79f6e6709fb03c348e7c252fb42d70fb,54,0.002070965924607029,-0.11349749491760903,0.011346832412680776,20
False,0.03125,6c3eb7ca8e8a34844b4faf61ce46b9d8ef241b8d25ef2b6a64aca58d808b881a,8e2adf5ffca3172ecff101adf47891cad81ea987cad42ea23ec3e835613b45e7,41,0.002333244254772494,-0.11508770013343689,0.010827730997247197,21
False,0.015625,705ff11cdcc0eb9dc5b139f837db0f1351dd02768b2f6828121df435ee77b8aa,479e87aa3a368d8ca6b95bc8fbc7367e9d979f23ef5189d9b7251aa9849a9054,25,0.011727004382741909,-0.11624880779129364,0.011057318088189815,22
False,0.0078125,2f7b15a633e53e113d32f82590955fd18bd01edbff15c4f151eb21429c6a03e9,cc45948a34df664a2c2678ecd6055ba18bfef785689238e21f53a23efb93c9e1,60,0.002922121735644852,-0.11711300333373545,0.011144730951576145,23
False,0.00390625,24a24a47e89e75edb6773e791e383e347a05ada058ccc0025223d86ee45e3d74,d4405f8d982d772d4858e3016da0f3c6cc6f44af0d191bcbf67efef75e067323,44,0.004871386040077159,-0.11749631722090531,0.011539644291780398,24
False,0.001953125,e3846b3dafea00d29e2bb9986010807ad3de41d971b3c2e4dea87b8148f14db3,82e721a50b7460103d8235c5d3f4e773a62e4c4603b68e32be781720b4927d66,38,0.0016620390796505827,-0.11702718063447942,0.010739270542349206,25
False,0.0009765625,b2e8d7992a988f12809eca33edbe9cd44dfae01e90347bdad1e71bdb04b19da8,be169e6f623dff9b63783776c00d6ccd51bb56933f9bdfc36f257ac1d4697cd8,50,0.004946673854081003,-0.11769832588703263,0.011539867328771642,26
False,0.00048828125,c4723ae73756df229abed1bb0b91c70ea68c2286a96fc3fa0c3b65053f712f74,787735b0d809e579257c12083b5bdfef977eb15a3c86da8afff260da20184820,51,0.0049593039011021686,-0.11773198707793954,0.011539907417164279,27
True,0.000244140625,07e54501b2ecbe70f7c16cef51f74bd1deac7840ca28a67efe26e09869e48920,4774f4d4139c94c56fdf9f68f1e79955407a0cebe6d327b37ba5af561dde9dff,3,0.049768859581344194,-0.11679141684588439,0.010188550516027264,28
False,1.0,f700d227df82a0039698b18b48a8f2c348a80d49c2756d184c612b6fe87447ca,f5db2f3a9d384893e4b2f35937a6983ad2636ad09df2254beb634c3808ea3999,82,0.0230100248223812,-0.053355799855190386,0.011785156769031867,29
False,0.5,b9bb29cdaf29cd8ea9dd0dc14972b3c553b819e0929bae4960a37b8838ce92a0,0f974d0c6963ccd05b04d24626dd3ca01b0b2195bf9a0f964ac83377560e9d32,39,0.013624422696046901,-0.05977341016022324,0.011243674510015405,30
False,0.25,a056162e359924da0ab600971a128f8f6621ea0d53bc73df0ae6c6aabd1e6472,78245996bdfebb2ba4f2b9b58ae484167ffbe1c841161202c3ba34a8c3f5c804,53,0.008970137400021682,-0.08886939706070286,0.010660212093257454,31
False,0.125,bb4dbc2e7d83bbd35e2dc8a1788507fb27853202f082ecafbd72e4a8d6299a0e,512c32928e5c3abd1d34b7df0ae96efa5b463fa3fe57b54b47ef2403df3a0cc8,26,0.002178069547368209,-0.10332674837888367,0.010745694547505052,32
False,0.0625,d09a59bc81412859af76e25ce3db5585d3f8f63ee8f6d255863ab417da29df43,1d8c5bdc0bd5dae18ba3ac781c4fcd6f6b248ec3dc49e9bd6488de583091812e,36,0.004330814670457105,-0.10989163604216168,0.010518013690409958,33
False,0.03125,bdd50234b6401df81678c9b46fca636bad1aa19515477b676e0f1c496cfdf472,7ba0b629ea0e8edbc3deb199366aa6de9e53dcbd128f9217789ace288000c716,55,0.0017952994477692446,-0.11413823177740556,0.01108211444065689,34
False,0.015625,5d64f43cd11eedbe8d5d5e303a47ab4a241e1283f19a43ea813e6338e173ad0d,f64a767a075f55722c2097a4a2efd2d784cc6583de8d4aa820a1cb93f269b1b7,28,0.0046264971581941195,-0.11552619237290536,0.010992126594139137,35
False,0.0078125,c2b46d9f6f8d0a383adb54a01f674d446aec02e24fff8943972661c70c73f568,65119ec739d43b1027c5975dc61dc1c54b58bcfec9e61d0b619ac5fc4386e49a,55,0.0031674110753060086,-0.11694577868261365,0.011346937805769617,36
False,0.00390625,b5e90c823d395b91c480d334f2b4a369be18862207e1d16b1ea057137ddad794,ebce05bc131a6f4e79e3a3fc5d81547762a8de3df3c8ad65facd3cda97924a67,24,0.003913131340156224,-0.11672869797537778,0.010817686726335235,37
