evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1,0.0001658915659169372,4.169462864991135e-06,6.027952885396962e-05,2,6.503864348279569e-12,-297.9306606041802,-0.19547293107506802,-0.6698960493760879
2,0.0040357597230187845,0.0016001410740306878,0.031161714914843288,281,4.798811737125472e-14,-196.7442656421373,-0.446135248188833,-0.6519991324662178
3,0.00016472691511986047,8.124552948389867e-06,9.468440374573887e-05,5,1.4492129237694911e-11,-298.8437440029235,-0.20470493128935546,-0.6697262178520176
4,0.00018943323586354075,0.00012683213204769673,0.0027869054689181726,31,7.118903726368935e-13,-284.6887521469386,-0.10835617632311416,-0.6687351303409031
5,0.00016526454784826126,1.684612181700617e-05,0.00039522215934418794,13,5.769725821552241e-13,-298.1119070764992,-0.20495582501456056,-0.6696886343446106
6,0.00016471225829420768,8.089040032707125e-06,9.449247834963828e-05,5,1.4795789023855775e-11,-298.8523577289196,-0.2047390880746819,-0.6697240438808519
7,0.0001645583671206331,7.652750753515864e-06,9.233102128471906e-05,5,1.8605465100851063e-11,-298.9415106420669,-0.20502702753121316,-0.6697006735803414
8,0.00016450895319154393,1.007663904745436e-05,0.0001653889655502014,5,2.0510306601822064e-11,-298.9681679452427,-0.20509053074213765,-0.669692727683997
9,0.00016386771525756286,8.416658107183403e-05,0.002170330019556449,14,5.065535624691593e-13,-299.0033857508314,-0.15784220653986536,-0.6690905592701595
10,0.00016290860440143398,2.582068922625454e-05,0.00045359218121531993,12,5.998503511366101e-13,-300.8310462353235,-0.15894881619272272,-0.6690903517627975
11,0.00016263644615694125,2.1965568773796582e-05,0.0003573450305448015,14,7.707765275957808e-14,-300.3726794856663,-0.16899991181821433,-0.6691996923156218
12,0.00022967583237663597,0.00012083594895919107,0.0016426327323728605,34,5.809339580105853e-11,-300.80084827490447,-0.15474770477911348,-0.6690168846764711
13,0.00016262128819323905,2.1777907469983725e-05,0.0003561085958053655,12,8.948907407812727e-11,-300.37662607748524,-0.16898123578012322,-0.6691985940305185
14,0.0001623159923684582,1.8710386496938436e-05,0.0003295407137739456,12,3.9408340661456e-11,-300.4632139215884,-0.1685342339744654,-0.6691743511020987
15,0.00022920950310794573,0.00013465029967685033,0.0017550388312677647,46,4.997958025817162e-15,-301.4948488658663,-0.1398225470827755,-0.668808309214562
16,0.00016229209096252633,1.8642518466801635e-05,0.0003288341675541873,11,8.041968475611741e-11,-300.473145243971,-0.16842564836777876,-0.6691715894394896
17,0.0002311130631068011,0.00013928091600125015,0.001760064369987098,39,5.999740136167773e-14,-301.10639482429445,-0.14711360128349787,-0.6689318229988359
18,0.00016228206414003614,1.861474435299963e-05,0.00032853784153332935,13,1.504969490033762e-13,-300.477319999702,-0.16837977741847954,-0.6691704275983953
19,0.00023260606794492895,0.00014329334982272614,0.0017649195917116705,40,9.358404863302928e-12,-300.8403555666595,-0.1514218745597102,-0.6690129479189674
20,0.00016227779876749332,1.8603058720301897e-05,0.00032841176935191033,13,1.3664812793728057e-14,-300.4790971784246,-0.1683601999841272,-0.6691699327640278
21,0.00016142408635159142,2.1764725129013936e-05,0.0003015394928711729,11,7.83320422738245e-14,-300.8436093880807,-0.163835842185892,-0.6690663224876435
22,0.00016142355398148287,2.179419217832945e-05,0.00030150924833649453,12,1.4762507589679514e-14,-300.84381575712155,-0.1638330068699506,-0.6690662631547893
23,0.0001614230218071515,2.1823981093364116e-05,0.00030147885194486653,12,1.4366028804195508e-14,-300.84402186878793,-0.163830174932517,-0.6690662038986473
24,0.0002331366042478355,0.0001447842779388891,0.0017667371211177352,45,5.240282550395385e-14,-300.7510395369522,-0.15274329956671487,-0.6690395758730808
25,0.00016142288931116078,2.1831450405056606e-05,0.0003014712587537441,11,1.706194451109674e-14,-300.84407315887916,-0.1638294700997281,-0.669066189153807
26,0.00016142275689146743,2.183893570037379e-05,0.00030146365891597405,12,1.2914354060033786e-14,-300.8441244024577,-0.1638287660440841,-0.6690661744218194
27,0.00023340910969263,0.0001455643694220386,0.0017676751052361018,55,1.5132053049091266e-13,-300.70604260460465,-0.15338505507896985,-0.6690528751385381
28,0.00016142272386849999,2.184080576180093e-05,0.0003014617621263657,12,1.2942908363398477e-14,-300.8441371805018,-0.1638285904614302,-0.6690661707483788
29,0.00016142269086557036,2.184267631632433e-05,0.0003014598663760114,11,4.653820141967613e-15,-300.8441499533108,-0.1638284148672157,-0.6690661670767505
30,0.00016135687718863765,3.35027914480406e-05,0.0004031457799255543,15,3.551313335213272e-11,-300.86741420864536,-0.1635076549660915,-0.6690595211054188
31,0.0002287688899741673,0.00012944438926074803,0.001790269153430714,31,6.304683268655291e-11,-302.9772395196756,-0.1429084114761361,-0.6686616552133734
32,0.00023337620767081016,0.00014547344910391825,0.0017666022239701336,45,4.638382192228767e-12,-300.7040329259334,-0.1534391446178022,-0.6690529990917247
33,0.00016135671845774523,3.36587125499792e-05,0.0004055558190222326,15,3.56680073816145e-11,-300.86742295533304,-0.16350746714321926,-0.6690595193579462
34,0.0001613566742315686,3.369794795259237e-05,0.0004061624731946606,15,1.6239672585750478e-11,-300.8674305715279,-0.16350746339796662,-0.6690595176048798
35,0.00023346142758920395,0.00014571765043457877,0.001767375632037702,59,1.6820219167637038e-14,-300.6937564332256,-0.15357035828871263,-0.669056258347562
36,0.0001613566645883656,3.370594601482282e-05,0.0004062860844444271,15,1.4415366413673211e-11,-300.86743227464933,-0.16350745541204276,-0.6690595171666086
37,0.00016135665527333888,3.371341797525879e-05,0.0004064015372287097,15,1.542434033928695e-11,-300.86743386124857,-0.16350744363635816,-0.6690595167283717
38,0.00017766557749491845,7.632481711966033e-05,0.0013636916277229845,52,6.9652100708129915e-12,-300.6440550540803,-0.16128414826615683,-0.6690578875377818
