step,optimizer_phase,optimizer_iteration,optimizer_evaluation,learning_rate,evaluation_success,objective,gradient_rms,gradient_inf,activation_update_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,inverted_cell_fraction,inverted_rest_measure_fraction,negative_det_f_mean,ainv_negative_cell_fraction,ainv_negative_rest_measure_fraction,g_negative_cell_fraction,g_negative_rest_measure_fraction,double_inverted_cell_fraction,double_inverted_rest_measure_fraction,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms,detF/min,detG/min,detAinv/min,target/rms,target/mae,target/max,activation/rms,activation/neighbor_jump_rms
0,adam,0,1,0.03,1,0.010195090404751478,0.0004476727866187032,0.004449232837687767,0.0,1,1,,0,6.151272266409044e-12,-0.11749073433901562,-0.11749073433901562,0.08705832372037632,0.001,0.0010000000000000015,9.974431649119522e-05,0.0,0.0,0.001,0.0010000000000000015,0.0,0.0,0.08561310066429355,0.10097074033972157,0.2142938911512109,0.09195716360411911,0.015967570990854434,2.0902789685050123,101.51159381411578,0.0,0.5444358338105816,-0.11749073433901562,-0.11749073433901562,0.08705832372037632,0.10097074033972157,0.08561310066429355,0.2142938911512109,0.5444358338105816,0.0
1,adam,1,2,0.029699999999999997,1,0.007504974830569563,0.00021453817398740474,0.0017060499846510415,0.029986025533426462,1,112,,0,5.96779867000558e-09,-0.1282278123221959,-0.1282278123221959,0.05908463182228776,0.0025,0.002500000000000004,0.00019961512734551867,0.0,0.0,0.0025,0.002500000000000004,0.0,0.0,0.07322653519654777,0.08663125781477239,0.19883102700109773,0.07883508665092483,0.014720521501535102,1.890129377934124,96.61751753664659,0.033414362051032036,0.5365647275396951,-0.1282278123221959,-0.1282278123221959,0.05908463182228776,0.08663125781477239,0.07322653519654777,0.19883102700109773,0.5365647275396951,0.033414362051032036
2,adam,2,3,0.029403,1,0.006091714108704966,0.00020795029416277778,0.0018822046024430973,0.02372932422055098,1,67,,0,1.7091458314205896e-10,-0.06049682699053651,-0.06049682699053651,0.031414860354384795,0.0015,0.0015000000000000024,5.291566800343942e-05,0.0,0.0,0.0015,0.0015000000000000024,0.0,0.0,0.06514858081470014,0.07804943375005975,0.1825206728011332,0.06934039823543928,0.014299602752976572,1.8307833349848996,95.46132925905229,0.05425519405308972,0.533213663185447,-0.06049682699053651,-0.06049682699053651,0.031414860354384795,0.07804943375005975,0.06514858081470014,0.1825206728011332,0.533213663185447,0.05425519405308972
3,adam,3,4,0.029108969999999998,1,0.026659599672975647,0.0013356563846866761,0.01648259499899102,0.019479751390600694,1,248,,0,8.700247164119825e-09,-0.14767262398252198,-0.14767262398252198,0.007074057369901848,0.0005,0.0005000000000000008,7.383631199126112e-05,0.0,0.0,0.0005,0.0005000000000000008,0.0,0.0,0.12280707531177942,0.16327767659106265,0.40508459652593864,0.14098552482434512,0.013321892411097888,1.8990714992016495,81.59438574033854,0.06965786609106489,0.5303406572451856,-0.14767262398252198,-0.14767262398252198,0.007074057369901848,0.16327767659106265,0.12280707531177942,0.40508459652593864,0.5303406572451856,0.06965786609106489
4,adam,4,5,0.028817880299999998,1,0.024851387552535305,0.00413343676175461,0.039888055815238826,0.016699754254603866,1,122,,0,9.695238266788012e-09,-61.19539158024859,-0.04452868071501428,-0.014605259732951502,0.0095,0.009500000000000005,0.1649899223421467,0.0085,0.0085,0.003,0.0030000000000000044,0.0075,0.0075,0.12029461803482927,0.15764322869230796,0.37883113356181414,0.1407951682399688,0.01146898086731118,1.6434173002330308,72.29317666019617,0.08043207782958692,0.5266816278134576,-61.19539158024859,-0.04452868071501428,-0.014605259732951502,0.15764322869230796,0.12029461803482927,0.37883113356181414,0.5266816278134576,0.08043207782958692
5,adam,5,6,0.028529701496999998,1,0.021382134876787317,0.0018917079649558145,0.028056557799013903,0.01569259278457561,1,140,,0,7.793912627611769e-09,-62.53857711762169,-0.10158268245824197,-0.036345571744473164,0.0135,0.013500000000000005,0.30535490143076494,0.0115,0.011500000000000007,0.006,0.0059999999999999975,0.0095,0.009500000000000007,0.1161049013783116,0.14622631390002047,0.3397927365991396,0.13319975139232404,0.01084669024741087,1.5366641579859006,67.42683895874794,0.09033648402671628,0.5233497961976589,-62.53857711762169,-0.10158268245824197,-0.036345571744473164,0.14622631390002047,0.1161049013783116,0.3397927365991396,0.5233497961976589,0.09033648402671628
6,adam,6,7,0.02824440448203,1,0.017627341577430306,0.0011683039853811919,0.0178343600337672,0.014262177319148832,1,113,,0,2.053230804544306e-09,-59.65907770970709,-0.059649454057445594,-0.04877691992318866,0.014,0.013999999999999995,0.299001768084442,0.0135,0.0135,0.0045,0.004499999999999999,0.0115,0.011499999999999998,0.10422262872253486,0.1327679990714265,0.3268770141033892,0.12371206631167915,0.01103292244200175,1.4996656794828995,68.03062488645043,0.09916014401540235,0.520276117622586,-59.65907770970709,-0.059649454057445594,-0.04877691992318866,0.1327679990714265,0.10422262872253486,0.3268770141033892,0.520276117622586,0.09916014401540235
7,adam,7,8,0.027961960437209697,1,0.01675821401401812,0.0015442313844788694,0.025473836615667274,0.013280504925222952,1,70,,0,2.128409223155637e-09,-70.87896963133791,-0.13729082191685688,-0.0649252373002334,0.0175,0.0175,0.32120724627256886,0.0145,0.014499999999999999,0.005,0.005000000000000002,0.0135,0.0135,0.10377955468740721,0.129453520670618,0.31083035730260833,0.1224375343939093,0.011253088443994436,1.5107033597675004,69.57685101180056,0.10824712564072292,0.5178515253114827,-70.87896963133791,-0.13729082191685688,-0.0649252373002334,0.129453520670618,0.10377955468740721,0.31083035730260833,0.5178515253114827,0.10824712564072292
8,adam,8,9,0.0276823408328376,1,0.015126861543673278,0.0008389956828967332,0.013605355601543426,0.012556923842988543,1,55,,0,1.7549638238427854e-09,-68.66930507617857,-0.10319565241940976,-0.0798305093241989,0.017,0.016999999999999998,0.3526218928820164,0.016,0.016000000000000004,0.005,0.005000000000000002,0.014,0.014,0.09838800733407557,0.12299130678089927,0.3022210370285033,0.11697932813192564,0.010952560799853578,1.4373599415435512,68.41756783729443,0.11719376427850997,0.5158053754765489,-68.66930507617857,-0.10319565241940976,-0.0798305093241989,0.12299130678089927,0.09838800733407557,0.3022210370285033,0.5158053754765489,0.11719376427850997
9,adam,9,10,0.027405517424509224,1,0.015037099666691287,0.0004707367294199782,0.0047114046765390286,0.011806904004159171,1,50,,0,1.6408367166187014e-10,-45.73305647621566,-0.27568943216605096,-0.09301895631359539,0.019,0.018999999999999996,0.3186101376686076,0.018,0.018000000000000002,0.006,0.005999999999999997,0.0155,0.0155,0.09787280538193292,0.12262585235867389,0.3012140961866273,0.11682456093575692,0.010613739870538158,1.3921515715197834,65.7385139035801,0.12627827830533872,0.5146470482916068,-45.73305647621566,-0.27568943216605096,-0.09301895631359539,0.12262585235867389,0.09787280538193292,0.3012140961866273,0.5146470482916068,0.12627827830533872
