evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1,0.00012646244945676736,4.065565470459052e-06,4.053224893934818e-05,2,2.585774843145454e-13,-227.26136926087855,-0.1563970599479331,-0.6449823260455099
2,0.009888105766092586,0.0016528688141957024,0.03115995220440635,491,6.742055390899583e-11,-281.76275812079996,-0.32011776968142813,-0.6456036925166044
3,0.00012609839748744834,4.1048178705041395e-06,4.062647223654397e-05,3,1.5547862278505144e-12,-226.09187086848854,-0.1567082470891043,-0.6449839620122347
4,0.00014346016610505241,0.00013663766605220314,0.003182572060462293,19,2.967382237557e-11,-190.43336811718353,-0.1675484433203323,-0.6450321712821976
5,0.0001242703041437067,9.47927284310738e-06,0.00023268594502474333,5,1.0521720248011708e-14,-219.41767498796128,-0.15840545204606674,-0.6449932045904622
6,0.0002580457590444455,0.0002727045597515728,0.004673211027239332,55,2.916352107768531e-14,-163.946664204717,-0.1728603845942739,-0.6450770324912757
7,0.00012370710846254762,4.747079009395545e-06,7.15050904525105e-05,5,9.006393030710825e-13,-217.01141206792042,-0.15889861839603311,-0.6449960672164647
8,0.00015052890527404852,0.0001829271968061871,0.0035170206842320985,25,2.138266722408082e-12,-182.31507978711096,-0.16828844215664318,-0.6450400718197337
9,0.00012305359294342475,5.58823755706244e-06,9.299610485948812e-05,5,2.2859706581331488e-11,-213.86861123724844,-0.15958334792051104,-0.6450000656493935
10,0.0001695842905838006,0.0001098488152394069,0.0024340275746386067,62,1.79733121729583e-11,-172.9975178525873,-0.17186969884113032,-0.6450453550958075
11,0.00012275442483451003,5.157339538214445e-06,7.43786109700835e-05,5,5.969004944560345e-11,-212.5300418403295,-0.15981919184460386,-0.6450015383561658
12,0.00014179448314247844,0.00016280907210013587,0.0038692868162414347,27,1.1793523466626148e-11,-185.9374602449211,-0.16839072225964113,-0.6450304591784982
13,0.000122412656897441,4.752076288115482e-06,5.117946272708616e-05,6,1.0727363813332324e-13,-210.93905366813377,-0.160089238210013,-0.6450032840350933
14,0.00012189333710765386,5.471582891324234e-05,0.001375662921517902,13,2.0316208552569344e-11,-194.4618888715237,-0.1614900332353009,-0.6450212203120974
15,0.00013483182416963054,7.186084649514028e-05,0.0011847315608638524,29,1.6971369454452928e-11,-189.90073422294418,-0.16741969141703508,-0.6450280218474146
16,0.0001284279734968396,8.192084577751496e-05,0.0020592696787537054,13,3.106795069330901e-13,-194.157203816099,-0.16463964213901905,-0.645021407507385
