step,optimizer_phase,optimizer_iteration,optimizer_evaluation,learning_rate,evaluation_success,objective,gradient_rms,gradient_inf,activation_update_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,inverted_cell_fraction,inverted_rest_measure_fraction,negative_det_f_mean,ainv_negative_cell_fraction,ainv_negative_rest_measure_fraction,g_negative_cell_fraction,g_negative_rest_measure_fraction,double_inverted_cell_fraction,double_inverted_rest_measure_fraction,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms,detF/min,detG/min,detAinv/min,target/rms,target/mae,target/max,activation/rms,activation/neighbor_jump_rms
0,adam,0,1,0.03,1,0.009807739088364813,0.00025831011913462104,0.0020217356320925603,0.0,1,563,,0,1.1734231074624926e-09,-0.2098097720381386,-0.2098097720381386,0.08705832372037632,0.003,0.003000000000000001,0.0003798979372607742,0.0,0.0,0.003,0.003000000000000001,0.0,0.0,0.08812257101385133,0.09903402995114767,0.1981402817057902,0.08361509985982507,0.013754105772004959,1.7986012675578489,93.41030524649602,0.0,0.5444358338105816,-0.2098097720381386,-0.2098097720381386,0.08705832372037632,0.09903402995114767,0.08812257101385133,0.1981402817057902,0.5444358338105816,0.0
1,adam,1,2,0.029699999999999997,1,0.007872473119732964,0.0002416266575631178,0.0031440602696611994,0.029988005049023162,1,193,,0,7.429281029200629e-09,-0.18696818516067581,-0.18696818516067581,0.059084744652251664,0.0025,0.0025000000000000027,0.00033120807490906153,0.0,0.0,0.0025,0.0025000000000000027,0.0,0.0,0.0780195906650103,0.08872695824682014,0.2011673539159453,0.07828151120018535,0.015325678288207675,1.962435713806607,101.18640230971364,0.03527426490781162,0.5387131266149274,-0.18696818516067581,-0.18696818516067581,0.059084744652251664,0.08872695824682014,0.0780195906650103,0.2011673539159453,0.5387131266149274,0.03527426490781162
2,adam,2,3,0.029403,1,0.006250860456833876,0.00021791853316929476,0.0022937573462897625,0.023188317370078225,1,81,,0,1.4222272791529905e-09,-0.18552230329030975,-0.18552230329030975,0.03149963098506695,0.003,0.003000000000000003,0.0003322406036097931,0.0,0.0,0.003,0.003000000000000003,0.0,0.0,0.07024972855242471,0.0790623833237645,0.19197660628694604,0.06835901734006157,0.014838362718187854,1.8692341358494406,96.97853966443138,0.053346797138371545,0.534856350782518,-0.18552230329030975,-0.18552230329030975,0.03149963098506695,0.0790623833237645,0.07024972855242471,0.19197660628694604,0.534856350782518,0.053346797138371545
3,adam,3,4,0.029108969999999998,1,0.006794208464624449,0.0021268391652461936,0.045781402560135714,0.019583377884322593,1,70,,0,9.815070927602388e-10,-16.559552874757703,-0.1889913951237112,0.0061001865905361405,0.004,0.004000000000000006,0.012740061162624805,0.0,0.0,0.004,0.004000000000000006,0.0,0.0,0.07072421265429987,0.08242698869074648,0.20122765944602733,0.07236649958817101,0.013214939397389582,1.6499113073752578,84.63297939021118,0.0682231823706664,0.5312555578528323,-16.559552874757703,-0.1889913951237112,0.0061001865905361405,0.08242698869074648,0.07072421265429987,0.20122765944602733,0.5312555578528323,0.0682231823706664
4,adam,4,5,0.028817880299999998,1,0.006637728653251859,0.0009990168309728673,0.015457853575395562,0.017914980866123663,1,114,,0,1.729690182788017e-09,-110.19238966162783,-0.18624132967417106,-0.014545815482161852,0.009,0.009000000000000006,0.21067511932812255,0.008,0.008000000000000004,0.007,0.007000000000000004,0.005,0.005000000000000003,0.0704267078864984,0.08147225695444958,0.18825015621213456,0.07485566635866416,0.012777598849207894,1.5480901850091962,84.21497671565034,0.08082005645039346,0.5261448794114908,-110.19238966162783,-0.18624132967417106,-0.014545815482161852,0.08147225695444958,0.0704267078864984,0.18825015621213456,0.5261448794114908,0.08082005645039346
5,adam,5,6,0.028529701496999998,1,0.006433041395093276,0.0006602696484558586,0.008524550649406208,0.01532829694390771,1,99,,0,3.9988732725419274e-09,-212.56943501550003,-0.2069227738409163,-0.03637964193135248,0.012,0.01200000000000001,0.2922924363973805,0.0075,0.007499999999999998,0.0075,0.007500000000000001,0.006,0.0060000000000000045,0.07075142144729644,0.08020624286857773,0.188738034356275,0.07212597256793903,0.011575821982592233,1.3704413665169062,75.4835882878566,0.09039659430549471,0.521968579940459,-212.56943501550003,-0.2069227738409163,-0.03637964193135248,0.08020624286857773,0.07075142144729644,0.188738034356275,0.521968579940459,0.09039659430549471
6,adam,6,7,0.02824440448203,1,0.0049015105186728984,0.00033212085714563153,0.003175494288346396,0.014063628563650234,1,148,,0,1.8485854445471385e-11,-111.65417661825478,-0.1878221904156305,-0.049341629819633005,0.0125,0.012500000000000013,0.2149170096692536,0.0085,0.008499999999999997,0.006,0.0060000000000000045,0.0075,0.0075,0.06343859294776505,0.0700107885877091,0.1395710333699649,0.062317122917885916,0.010944599768483958,1.24577739083316,73.15229310351911,0.09931897616583008,0.5191928159792811,-111.65417661825478,-0.1878221904156305,-0.049341629819633005,0.0700107885877091,0.06343859294776505,0.1395710333699649,0.5191928159792811,0.09931897616583008
7,adam,7,8,0.027961960437209697,1,0.004546242019307841,0.00036314541344792205,0.006042062177132528,0.012971409347048123,1,126,,0,6.281863739771664e-11,-84.04846188743649,-0.18621640877577836,-0.06588175682235034,0.009,0.009000000000000008,0.14923675854761892,0.007,0.006999999999999997,0.005,0.004999999999999999,0.0055,0.005500000000000003,0.059112296804073934,0.06742582605580624,0.14527483363249155,0.057038994148520046,0.010488239827204968,1.2277443436948068,71.58020232105936,0.10765287355227067,0.517871825316771,-84.04846188743649,-0.18621640877577836,-0.06588175682235034,0.06742582605580624,0.059112296804073934,0.14527483363249155,0.517871825316771,0.10765287355227067
8,adam,8,9,0.0276823408328376,1,0.003932310009445902,0.0004057740939066955,0.006674809537545149,0.012098321835844741,1,57,,0,1.1075478583609043e-10,-92.59210995863789,-0.1881251029557598,-0.08068161327896302,0.0095,0.009500000000000007,0.13529584435750952,0.007,0.006999999999999997,0.0055,0.005499999999999998,0.0055,0.005500000000000003,0.05512676165595624,0.06270813351907312,0.14097756881675488,0.054171479649155176,0.010674477482548588,1.2141285257287482,73.21729977824502,0.11589516845932576,0.5174684564937131,-92.59210995863789,-0.1881251029557598,-0.08068161327896302,0.06270813351907312,0.05512676165595624,0.14097756881675488,0.5174684564937131,0.11589516845932576
9,adam,9,10,0.027405517424509224,1,0.0037231259691077935,0.0021508970912751725,0.05188049462752474,0.011648523171658053,1,42,,0,3.4212780186732307e-10,-96.54312079076152,-0.1878059790836722,-0.0960587722021724,0.012,0.012000000000000005,0.17470319661723935,0.0075,0.007499999999999997,0.0065,0.0065,0.0065,0.0065000000000000014,0.05310166829903683,0.06101742348794968,0.14161424327266614,0.05335654536190414,0.009378442860654852,1.0705333531447423,65.60257224271314,0.12374119553117777,0.5176142995386736,-96.54312079076152,-0.1878059790836722,-0.0960587722021724,0.06101742348794968,0.05310166829903683,0.14161424327266614,0.5176142995386736,0.12374119553117777
