evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1,0.00022443896562471808,6.8013244756283455e-06,8.436967042806771e-05,1,2.424874280921205e-12,-93.11583409344709,-0.18019629060061235,-0.8285869032464659
2,0.0029643601289769447,0.0006108053550708621,0.008013127901016891,230,1.597451634152533e-12,-40.10535398333575,-0.4377894626477446,-0.8976453960309547
3,0.00022190744367917072,1.4631416766900783e-05,0.00022595844941839555,8,2.3999397449910755e-12,-92.47356200264129,-0.1799186772838897,-0.8294970844664729
4,0.00042328062651851735,0.0002794896996563269,0.003647697779885791,45,3.558993677855839e-15,-94.29589489084795,-0.19856210744909006,-0.8388347175129567
5,0.0002212485352537266,1.5793247800400384e-05,0.00022971780909598235,8,6.605969741085324e-13,-92.52811342534379,-0.1798524382781117,-0.8297064744177638
6,0.0003060243219915057,0.00018905093565725967,0.0021642419303206047,41,1.7677401671287986e-13,-92.44384835180006,-0.1770047363991114,-0.8357268168568055
7,0.0002199409902763454,2.117363994928233e-05,0.00030819365409758903,8,1.8395956825923487e-13,-92.61667501003357,-0.17971989291009668,-0.8301110225506416
8,0.0002186792615256637,0.00021903596756799387,0.005675649245024434,12,4.039575044747755e-12,-92.70398506227237,-0.17955943364910107,-0.8304856462043533
9,0.00021355605326419348,4.4049919544036596e-05,0.0009181975341088813,9,1.474258521640806e-13,-91.88327707529642,-0.17871125373491262,-0.8331046512650414
10,0.00026746508597062714,9.822729052981068e-05,0.0016156245619891982,21,3.1810870082440906e-15,-92.3620260750772,-0.17721639555698548,-0.8345962526190596
11,0.000213102687143757,3.9724566906423905e-05,0.0007602028619695597,11,2.512818078976892e-13,-91.96572742549088,-0.17871810732880833,-0.8331623123362474
12,0.00021265098430881362,1.874403478718209e-05,0.00048007037378108765,9,2.9855691204125214e-12,-95.03611841406024,-0.17913553096564197,-0.8319660981434266
13,0.00020916575769810937,1.0342675599097493e-05,0.00019455911115143096,13,6.09357279003544e-14,-95.20500903654836,-0.17869028946575463,-0.833510605500063
14,0.00029666527613227757,0.00014205171337834248,0.0021297840560349224,39,1.3808603940628899e-11,-97.40105868801759,-0.17605715381589476,-0.8382251118359253
15,0.0002089745673070775,1.0411166273492176e-05,0.00018584923996325492,10,4.11889106227934e-12,-95.20340055200744,-0.17865160672027092,-0.8336144261463685
16,0.0002750486503146445,0.00010496768355736972,0.0015968221754728684,34,1.365031358899399e-13,-95.13793637435633,-0.17681524252604122,-0.8366563854174905
17,0.00020888588068609652,1.0507875533124663e-05,0.00018175146950683723,14,4.3346812266029374e-14,-95.20149529105525,-0.17863326524823045,-0.8336631390990129
18,0.00026516675669744803,9.054008230875795e-05,0.0014002072587265876,33,1.0245626486303106e-11,-93.57797344938444,-0.17727069720341282,-0.8356382205754204
19,0.00020884510462251574,1.0574472891456585e-05,0.00017985867539899332,13,2.454067334891728e-11,-95.20034698763281,-0.17862476298216975,-0.8336856043404594
20,0.00021091259121073654,1.4041331228725977e-05,0.00017084458873982845,34,9.392512170008624e-12,-95.45452655661049,-0.17842049876864816,-0.833977720839495
21,0.00020882609387277694,1.061174982344534e-05,0.00017897217098267784,13,3.684531829282912e-12,-95.19974791488121,-0.17862076909459534,-0.8336961205889408
22,0.00020848653130146433,1.3351301230365953e-05,0.00024717484599218545,10,4.08559231304983e-11,-95.1811903243405,-0.17854871264083033,-0.8338819726683141
23,0.0002084842967940086,1.3414422449498186e-05,0.00024966179404915264,9,3.3407671484542584e-12,-95.18100358980095,-0.17854825500879645,-0.8338831113724408
24,0.00020848216835176253,1.3470357237245563e-05,0.0002518560779049798,10,1.347805809920555e-13,-95.18082934622959,-0.1785478099513762,-0.8338842246533692
25,0.00020838837141230727,1.8900410959700157e-05,0.0004382844620194137,11,7.072813306019608e-11,-95.17216255961495,-0.17852878386859225,-0.8339309722446688
26,0.00020838769341521463,1.8985869695508053e-05,0.00044098296841079006,11,6.416713423955327e-11,-95.17209267026486,-0.1785286561760955,-0.8339312782959178
27,0.00032228536539223926,0.00021870357881993802,0.003789188564690189,38,8.012003180544872e-15,-97.82610199013709,-0.20371229365558627,-0.8393147501962969
28,0.00021082252181345502,1.4159346714110323e-05,0.00017462793423605192,26,5.16455886421904e-12,-95.45006808144947,-0.1783851756887285,-0.8340720027109653
29,0.00020837921705062597,2.0627491727135932e-05,0.0004920776305537282,12,4.9088843001917e-13,-95.17107622329549,-0.17852726121941778,-0.8339344672584748
30,0.00020837022658085516,2.303296899536606e-05,0.0005649748171718872,15,9.012459523266919e-11,-95.16996649511564,-0.17852585067942375,-0.8339376492029169
31,0.000210891068484985,1.409117428814952e-05,0.00017247306207198278,22,1.2559386651952115e-11,-95.45349411418078,-0.17841051443344316,-0.8340048249208629
32,0.0002083679799266028,2.384973171096072e-05,0.0005893285275464673,13,2.9118968842936884e-12,-95.16966090695492,-0.1785254706770428,-0.8339384695944105
33,0.00020836554159986913,2.479614497312525e-05,0.0006173441063563643,13,8.594641859449726e-14,-95.16934395532004,-0.17852509724003535,-0.8339392861756938
34,0.00021092593766268455,1.406536217441197e-05,0.0001715215690732269,32,3.5313758893180863e-12,-95.45472889750347,-0.17842281431633475,-0.8339720553017289
35,0.0002083649202420533,2.5055547985405164e-05,0.0006249886120368238,13,3.073062108127179e-14,-95.1692626643212,-0.17852500276126831,-0.833939491823806
36,0.00020836417146005834,2.532118181173178e-05,0.0006328014784985768,12,8.984560436098698e-11,-95.16918187450072,-0.17852491745179144,-0.83393969615116
37,0.00021094348897857074,1.4054280186838638e-05,0.0001710741553666009,41,4.469531491013015e-12,-95.45523724165008,-0.1784288729896298,-0.8339558756663399
38,0.0002083640307932338,2.5389474132102842e-05,0.0006348082141012664,12,7.964499209921378e-11,-95.16916140257872,-0.17852489295250265,-0.8339397471570688
39,0.0002083638887923668,2.5458121364142253e-05,0.0006368244459388803,12,7.067530671285531e-11,-95.16914098085354,-0.17852486866857364,-0.8339397979240951
40,0.00020832861700648828,0.00031996352515626026,0.00868751376807779,13,8.496943605066242e-11,-95.1638607908721,-0.17852055498528493,-0.8339478367803798
41,0.0002083147662110613,5.0863945938511614e-05,0.0013606447431419471,15,6.920570566167451e-11,-95.16143733823952,-0.17851986718355,-0.8339479300232462
