step,evaluation_success,objective,gradient_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,min_singular_ainv,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms
0,1,0.0013468013333333333,3.3006071133163826e-06,1,1,,0,6.225748016032108e-18,0.9999999999999929,0.9999999999999929,1.0,1.0,0.033666666666666664,0.036698791987384724,0.05,0.036698791987384724,0.0,0.0,0.0,0.0,0.0
1,1,0.0012547801645650541,3.297863890323255e-06,1,12,,0,3.4379978694571716e-09,0.9566104171846977,0.9540098411395043,0.940045238754939,0.9401102130488129,0.03250627986665738,0.03542287628870719,0.048218168526622605,0.03541123607911193,8.610325368399792e-05,0.012899008732132391,0.5641533618244128,0.011176419145044312,0.029443451903696877
2,1,0.0011600210461563004,3.379021047131526e-06,1,12,,0,5.286465687656363e-10,0.9227132411589007,0.9108450265349829,0.8808877358051248,0.881236002957146,0.03122489073838635,0.03405908169866446,0.04642041999064873,0.0340140736509549,0.00017473892864640678,0.025813558967754557,1.2033453355904207,0.020062226548489624,0.05831809332232226
3,1,0.0010614101193140877,3.5231766767798815e-06,1,15,,0,1.5759579267079964e-09,0.8964334377620382,0.8664151578860453,0.8222430436406679,0.8227305946301181,0.029800232583449472,0.03257928973004304,0.04454262435811921,0.032480196527465886,0.0002623878544763974,0.03866519168948201,1.8718483281997222,0.027323429794162926,0.0867661820149067
4,1,0.0009582216507888702,3.7127577508312715e-06,1,15,,0,4.742126108087316e-11,0.8776742800527285,0.8171433123168658,0.7640895037205203,0.7645607732005144,0.02820979602911915,0.030955155479966016,0.042794058701342244,0.030780857328338396,0.000351898541406538,0.05163207172255446,2.535001561596388,0.03339048124106389,0.11480187622562134
5,1,0.0008494071175624738,3.901653743286305e-06,1,19,,0,8.245071190249503e-10,0.8585922417860171,0.7605940385490955,0.7064121070301312,0.7068009993565854,0.02641175912116002,0.029144589850647648,0.04099083912040476,0.028867193411101305,0.0005113436144014652,0.06892296973236939,4.0457762624283795,0.03867652621930039,0.1424166279015416
6,1,0.0007362728147192435,4.130355496956513e-06,1,8,,0,3.1418013651004497e-09,0.845476323323518,0.7121789199282837,0.649183853293714,0.6498382457996001,0.024375728077770567,0.027134347508632736,0.039098470916672234,0.026728217610481483,0.0006565075667738944,0.08647660521070305,5.074232095898488,0.04315300585637769,0.16974744110775825
7,1,0.0006192617338054672,4.4529954577253985e-06,1,8,,0,2.384424164588822e-09,0.8287503658547308,0.6657148443592089,0.5922545694138764,0.5935210929725728,0.022078109055307327,0.02488497003826742,0.03711130755301033,0.024306522915189414,0.0008063116580772761,0.10659980814038415,6.0167009076207405,0.04722721774952045,0.19676588102049272
8,1,0.0005263981575985221,4.972340611600697e-06,1,21,,0,2.255413363769176e-09,0.7842705872090666,0.6231430445794669,0.5353973484058026,0.5367513154205924,0.02036843036162926,0.02294336848848752,0.035272539823748415,0.022269043699636528,0.0012725339016745683,0.15851615412566872,8.833178699010194,0.05122492922456196,0.2232161327416813
9,1,0.00041314695263804585,5.7076190192806236e-06,1,9,,0,2.0899463280632047e-10,0.7760916134755018,0.5866778207710613,0.4791393658292407,0.4811537704462855,0.017941649771593945,0.02032601664463664,0.03234852389655182,0.019499935098505984,0.0013957069342297385,0.17569193841613012,9.642592018389669,0.05443654920651394,0.24795207057110724
