step,evaluation_success,objective,gradient_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,min_singular_ainv,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms
0,1,0.033666666666666664,4.0570787548893896e-05,1,1,,0,6.225748016032108e-18,0.9999999999999929,0.9999999999999929,1.0,1.0,0.033666666666666664,0.036698791987384724,0.05,0.036698791987384724,0.0,0.0,0.0,0.0,0.0
1,1,0.03240248363273308,4.436364680837436e-05,1,14,,0,2.1591724418343696e-12,0.9878474244603718,0.9818635623031543,0.9400064691565312,0.9400139557642074,0.03240248363273308,0.03552074713364907,0.048422202036498996,0.03551872006035379,9.340673945315635e-05,0.012814590134096523,0.47178527044382806,0.005411648544427157,0.028737865950230326
2,1,0.031009884155402012,4.878342911520628e-05,1,8,,0,3.671580099761506e-11,0.9755394186845714,0.9621477588399997,0.8805650435996542,0.8806173073748306,0.031009884155402012,0.03423816691800906,0.04672312619142172,0.0342299501632713,0.0001974442336211873,0.026926852901875433,0.9879592506956113,0.01064317042683962,0.056618438633366665
3,1,0.0294652387659885,5.396121783236657e-05,1,11,,0,1.8541738849621237e-11,0.9599223664281351,0.9408441785952254,0.8216329889345912,0.821759927567102,0.0294652387659885,0.03283790396963105,0.04496624465019553,0.03281813281542945,0.00032013901811328013,0.043468254463749266,1.60951805578853,0.016225436927871224,0.08466967601960014
4,1,0.02776046500269031,5.974213571512737e-05,1,8,,0,6.266293034520452e-10,0.9413919451494085,0.917897709797159,0.7631954223301416,0.7633968723593362,0.02776046500269031,0.031315779483804526,0.043264518467847284,0.031279887340606105,0.00046490246967144773,0.06289919392690768,2.3515138123795274,0.02201324171884823,0.11266247823467317
5,1,0.026038034311837266,7.78446747531484e-05,1,9,,0,2.7341511606233425e-09,0.9198154708722697,0.8933054352963846,0.7052244761666395,0.7055672648723311,0.026038034311837266,0.02966906127952662,0.04154786858438645,0.029615340994452066,0.0006270644269518608,0.08488713191843021,3.189242122101952,0.027398666486830175,0.14021382735485388
6,1,0.02425597536402275,9.264420568405383e-05,1,17,,0,3.0641867740774795e-09,0.8984696929787026,0.8654146018284925,0.64857984047463,0.6490886512854273,0.02425597536402275,0.027823245040656846,0.03981715288504723,0.027749709123352853,0.0007104270697800997,0.09859793614805545,3.7141134715494135,0.03239887859766019,0.16527078055892763
7,1,0.022171027917904547,9.77655882244504e-05,1,25,,0,2.028978049358028e-10,0.872210598136452,0.8328166626795973,0.59453237148548,0.5942473100375971,0.022171027917904547,0.025794694428144915,0.03801014243605873,0.025698488497814802,0.0007923786138572752,0.1139935633038803,4.41672253162056,0.03998395360800659,0.18915342871008387
8,1,0.0201373669808113,0.0001195976674162231,1,20,,0,1.3600839831831251e-11,0.8385061584331592,0.7871807965290482,0.5394826489093415,0.5389243957113198,0.0201373669808113,0.02369273503452736,0.03621900552376546,0.023556975047719995,0.0009705694545835105,0.14316407083619329,5.741695495960867,0.0499382857941494,0.21252664814078556
9,1,0.01834172825262031,0.0001585742333440119,1,18,,0,6.38856226811425e-09,0.8048141386307096,0.7340862059404396,0.4839917699990674,0.4839821366435444,0.01834172825262031,0.0215416513267301,0.034649900892921845,0.021336111773957635,0.0012718675783614537,0.18192274272019598,7.851074580811829,0.05915783551784033,0.2343615276460287
10,1,0.017515709040797703,0.00015988299055571587,1,34,,0,9.903579405650057e-12,0.6382681458361879,0.6382681458361879,0.4288469097168325,0.42902168487674214,0.017515709040797703,0.021729434875020364,0.0433416271769063,0.020410689126135927,0.0022957919798328704,0.33188156748934144,14.618091067739716,0.06669893914138263,0.2533176734667901
11,1,0.015799948397567414,0.0003557434197668708,1,20,,0,5.908736025310519e-10,0.63900686453235,0.6040375851014553,0.37519200244231904,0.37550625555347916,0.015799948397567414,0.01969119287342014,0.03987254474428119,0.018369516914630565,0.0024430227350562806,0.3417521885940542,15.729535136225534,0.07428633330930072,0.26734404216771274
12,1,0.014418351546820132,0.0002812973587319935,1,29,,0,1.0611629617218658e-09,0.6520429475500876,0.5572142974903711,0.3259536673872315,0.3265571735964232,0.014418351546820132,0.017717728152628474,0.033626026561766546,0.016565671478726274,0.0026409917046230627,0.346358164288893,17.07575918050983,0.08345257313160756,0.2780582299115234
13,1,0.01249172280929562,0.00024087314759765408,1,13,,0,3.201272365207985e-09,0.667839033827671,0.4842664877746557,0.2821474649931346,0.2841426220622345,0.01249172280929562,0.015308647372563735,0.0300698464508572,0.014280195254501488,0.0026183213032781602,0.3235334329324678,17.48727541989879,0.0942646605457854,0.28718942505255357
14,1,0.0105731046436519,0.00021926805442393956,1,15,,0,1.4870427496955568e-10,0.6501063051412751,0.41488170186601386,0.24533758333339992,0.24938572861043726,0.0105731046436519,0.012971603554253648,0.02644197455091454,0.01188841963608858,0.002658212034401028,0.31356390298174935,18.111460515110743,0.10543730429308204,0.2954526859792686
15,1,0.009996705915481538,0.00042202517171755643,1,21,,0,2.9941505140871694e-11,0.6084517371184587,0.3816298396478479,0.20989239079635008,0.21474594125010246,0.009996705915481538,0.012207856522436854,0.02334692032420063,0.01013940279280062,0.002592407183448555,0.313775235852523,17.874132340721758,0.1159261158221469,0.3033371283265912
16,1,0.01008408636021897,0.009935041088152756,1,16,,0,9.00464808058499e-09,0.5540181196271026,0.3274797595617796,0.17348112271431382,0.1786893794266814,0.01008408636021897,0.012503977724437908,0.03343081969784141,0.007998370314369178,0.0024670584488240394,0.29968563343310983,17.70768937957315,0.12312184185286619,0.30899248740197843
17,1,0.008146525339336285,0.00024949940790951766,1,29,,0,2.5175332883236646e-10,0.5328403233371724,0.3237224665093902,0.15341384561802932,0.16254980445290332,0.008146525339336285,0.009344180350723014,0.02015502072998003,0.006449916906462472,0.0025757032788201115,0.29718912615006754,18.914839481225073,0.1291890962178892,0.31341553342623607
18,1,0.007470756887853205,0.0002794049875375193,1,12,,0,1.8628318701604533e-09,0.5410482212475958,0.27791350815064925,0.13498314787986998,0.14612695221066715,0.007470756887853205,0.008490632945112483,0.017729745466279596,0.006161304390350402,0.0025852466254965107,0.2966925825565723,19.034441272461155,0.13541459281632184,0.3173776183802373
19,1,0.006591489982699776,0.00026512647275747756,1,12,,0,3.1631804313576965e-09,0.4649477390608891,0.152084337229324,0.10492755663638632,0.1145856931819478,0.006591489982699776,0.007546641823312566,0.015254333168484473,0.0056855154834424115,0.0025403093123697617,0.28746978955300795,18.56827830714323,0.1414097909587774,0.32069236551902686
20,1,0.0062677667276125676,0.0003061770491511457,1,18,,0,1.3354705260034604e-09,0.3881415001417774,0.10171037758099717,0.07800833514856834,0.08520342857833876,0.0062677667276125676,0.007758288936617953,0.02432712235581599,0.005816824417445131,0.002626150216971734,0.2936143872417269,19.404319328856925,0.14729352491817094,0.3231661723975952
21,1,0.006159742784433474,0.0003084560322496007,1,14,,0,4.186454546510562e-09,0.2753372875768667,0.07204485844313364,0.050887025081789675,0.05553781505903792,0.006159742784433474,0.00752659491041099,0.022754391200208928,0.006209201220533115,0.0026668828203467937,0.2946686181601544,19.714795511985777,0.1530333937922458,0.3246928033292831
22,1,0.006130668378161981,0.00033843930533965623,1,24,,0,1.7986534048403742e-09,0.24117319481785582,0.046056253287060554,0.019692293798569308,0.021455782833256817,0.006130668378161981,0.007558011743764502,0.024059150255656966,0.00650389127956763,0.0026744828386260472,0.29375724895283056,19.91757185103792,0.15758748262383526,0.32471031854999544
23,1,0.0056139087213354505,0.0003621947209219218,1,9,,0,1.3331797509950723e-09,0.29969050777987355,-0.014402403703285913,-0.01226536273143872,0.013334005516959842,0.0056139087213354505,0.0072226248619469136,0.024879900271638396,0.005953347365293555,0.0027046311830765776,0.29520837747754514,20.123182100374077,0.16134315814037978,0.323518305004726
24,1,0.00611210234216765,0.0003878213020679362,1,33,,0,1.4905985365617404e-09,-3.5192365550400955,-0.0018005099234900792,-0.03874956858890046,0.013551744646275232,0.00611210234216765,0.0077338333490711945,0.026645758264664796,0.005975524443960298,0.002868448405813804,0.31313536637511663,21.615968247788686,0.1644566853294262,0.32170951734852504
25,1,0.005200588498816089,0.0003446084093664349,1,18,,0,1.2314989776533458e-09,-6.273662705006826,-0.0017600888374176638,-0.048285866227341004,0.007481078155248248,0.005200588498816089,0.00677077532924982,0.024975368331948695,0.0051822829951284,0.002745890492844458,0.29602947788877865,20.773466764009285,0.16682032295365662,0.319695128525282
26,1,0.0052898718247464905,0.00041149581612191387,1,33,,0,2.2085128538884383e-09,-12.374133454594205,-0.00175773460985041,-0.052474741780627034,0.0012526191154041326,0.0052898718247464905,0.006869341026714141,0.023412377248900797,0.004090998676914689,0.002373711506731516,0.2537505702143905,18.28257389822869,0.1689872195111278,0.31790258183344455
27,1,0.005233381833496098,0.0006205242341847832,1,60,,0,5.267575058481986e-09,-12.412775797747805,-0.01719010892208881,-0.07939316572481057,0.006976030550167207,0.005233381833496098,0.006893213880986297,0.023231065683988056,0.004381729855420742,0.001957180344668322,0.2265745210316685,15.21466458050909,0.17115359013415962,0.31650822769396286
28,1,0.004297094964355032,0.0007776007553563335,1,25,,0,2.594684106480346e-10,-13.622256230275031,-0.02298281967663343,-0.11194137249279729,0.005945274374277847,0.004297094964355032,0.00502421392100177,0.01234591808179038,0.0038314397539757077,0.0020647046946979638,0.22677029589197945,15.59766890085717,0.173925355120559,0.315881698547693
29,1,0.004038811274811114,0.00031456027581406855,1,20,,0,3.5392030411458534e-09,-14.014785730797723,-0.007419213477083698,-0.14102098391713844,0.0006059216985601017,0.004038811274811114,0.004616568688472063,0.012031866273124692,0.0036745170918980447,0.0020834150873848194,0.23188510489981387,15.676047761237387,0.17659799306812682,0.31565653308374486
30,1,0.0037107261769367345,0.00022258433707599134,1,17,,0,1.5403941240827644e-10,-13.169924817882178,-0.0024430813311698864,-0.164614167796258,0.0147778601035855,0.0037107261769367345,0.004356196290215759,0.011167862013394078,0.003525028650471908,0.0020832169760750872,0.23290055736763202,15.725223695066177,0.17910525302394498,0.31570327273366205
31,1,0.0036940173883289245,0.00035886738731611133,1,9,,0,1.608902641410656e-09,-11.866265003735576,-0.0008745941784651347,-0.18187651500734833,0.0057585777910054235,0.0036940173883289245,0.004326603611396385,0.009795996888138023,0.003456231071158879,0.0021165476532575274,0.23661334397522205,16.587917943257303,0.1814419638062566,0.3158457191323179
32,1,0.0032545567216991974,0.0003073940565323256,1,10,,0,7.864099420146115e-09,-11.149115490990264,-0.00661466186537521,-0.18978076384746947,0.005177081432769578,0.0032545567216991974,0.00398194573087791,0.010553657635890543,0.002968906851107524,0.0020217922736940294,0.22277355224377124,16.196167388680138,0.1836195202182203,0.31587740441120915
33,1,0.0032536310521179513,0.0003113616349145727,1,22,,0,5.137419079596146e-09,-10.256938438581567,-0.007016304135891119,-0.19933098400255597,0.015549560008678374,0.0032536310521179513,0.00387762491099855,0.009823590988407472,0.003172293272459878,0.0019960663779160144,0.22247401878833595,16.16536416505464,0.18592089248219223,0.31603694908873625
34,1,0.003143646880924527,0.0003476425199823491,1,9,,0,7.84002108089471e-09,-9.396825931104084,0.006681043119345045,-0.21243474616505406,0.003025241183559642,0.003143646880924527,0.003778453247541477,0.00981754704710899,0.003089416657785672,0.0018913055542324844,0.21293741865319396,15.087784270077162,0.18817096950022894,0.3164192975847832
35,1,0.0029632398813050904,0.0005041064757982289,1,6,,0,5.546823659056311e-11,-8.717349890967183,-0.0014165323433756923,-0.22736545377015385,0.0006929687359585108,0.0029632398813050904,0.00364444727741473,0.009896076730608036,0.002831475428482558,0.0017616601533880691,0.19968470937202853,13.625291702728111,0.1901042866397268,0.31691659054261256
36,1,0.0026024116266185715,0.0003619623616142047,1,6,,0,9.676932235670881e-11,-8.545149710277498,0.013238998412612123,-0.23364965200732435,0.005416378994325974,0.0026024116266185715,0.0032852082371708433,0.009283099977000749,0.002666828860448519,0.0016289610367548166,0.18722632596019922,12.708553534748209,0.19197843919121674,0.3174944094848677
37,1,0.004104661108468306,0.0009199277306249734,1,50,,0,6.830598996213294e-09,-8.3732025254862,-0.00025544771068727315,-0.2395792037327144,0.0031610279310235667,0.004104661108468306,0.005434232989642757,0.014290380639762488,0.0041418657776201495,0.0018566187869127162,0.21625705569880707,13.665962859422065,0.19373378543492797,0.31811067311608227
38,1,0.004105203283938474,0.0005098758463870368,1,32,,0,6.942023377523751e-11,-7.93462559870944,-0.010110871472053131,-0.24977293112702262,0.002539852491954119,0.004105203283938474,0.005768436566013756,0.016581598754488256,0.004110506675161093,0.0020604017620917663,0.2323264562842687,15.024718811531157,0.19532367094601347,0.31861108262004934
39,1,0.0038533758683079043,0.0010157545819233366,1,8,,0,3.969801549177617e-10,-7.571917052896428,-0.010163169906702445,-0.25809809920569693,0.005415393088226329,0.0038533758683079043,0.005667274228407995,0.017483998229150585,0.004220646641055057,0.001966249342515026,0.22663993475047547,14.314389451950252,0.19679539930470594,0.31884334374649526
40,1,0.0034163533443411654,0.0004415603209940943,1,13,,0,3.369849207495888e-10,-7.279546432304851,-0.009831419798823713,-0.2647660240561104,0.0015139485021297445,0.0034163533443411654,0.004946808564221908,0.01822319653830737,0.00333770769118866,0.0020191016221370243,0.22786275934690672,15.020154598244364,0.1981753095880027,0.3189087706061487
41,1,0.0031479207579313325,0.00042430202253904316,1,6,,0,3.6380324897356856e-10,-7.1225815386799045,-0.016054112681569463,-0.26739151144839285,0.0014022351151588874,0.0031479207579313325,0.00460882622450115,0.018054256318567382,0.003282945018084293,0.0020053314914811847,0.2273516592726477,14.89787989826511,0.19937438487808526,0.3189556529178413
42,1,0.004130425190852023,0.0004970752935783956,1,20,,0,8.679744115708902e-12,-7.071952479436369,-0.008992316263315652,-0.267873598139388,0.004006676031108068,0.004130425190852023,0.005474404806088014,0.02001208545856254,0.004110691110778073,0.0022805746779101573,0.25414901987093186,16.466741607383764,0.20054080780455988,0.3190070888041245
43,1,0.0030944291706369955,0.0002628785760019209,1,17,,0,5.882089114403374e-10,-7.126501052105406,-0.008583399337620394,-0.26624093283144784,0.0014285010865308719,0.0030944291706369955,0.004319412056515835,0.016844864298043848,0.003504956899788767,0.002074179037229874,0.23367165978748372,15.136880816131864,0.20155065658361676,0.3192707612004152
44,1,0.0034846261244168924,0.00045876603422275244,1,20,,0,5.210169777226457e-10,-7.107517450420374,-0.011692510131011876,-0.2653848282512587,0.005825348392433174,0.0034846261244168924,0.0051454513413243105,0.018421532664492136,0.003764303559834953,0.0020615885555054438,0.23034012050663544,14.641510677847002,0.2023793830716751,0.3195398497116059
45,1,0.0032322508290405613,0.0003534881978675982,1,17,,0,2.2989138634316728e-11,-7.118825258545154,-0.016366082707906654,-0.26088518214850404,0.011433984877480844,0.0032322508290405613,0.004409694160697391,0.01631251388077401,0.003441695889488774,0.002009453879198189,0.2241257702322191,14.414354922954562,0.20313897463965602,0.3195550026070581
46,1,0.0030308955922497332,0.0003499208110745473,1,8,,0,8.973065447950675e-11,-7.028366241127285,-0.01772338767341598,-0.25866891357485994,0.002687264491906163,0.0030308955922497332,0.004195372420284672,0.015126403517797277,0.003376249406913644,0.0019413717393590465,0.21864343460318494,13.71712996854009,0.20377591773087614,0.3194527690412823
47,1,0.003088716231088582,0.000386495332409169,1,4,,0,5.706332791743224e-10,-6.889255541205049,-0.020682696274017944,-0.25844079391073754,0.006323023131845269,0.003088716231088582,0.004131949171441735,0.01443508141907397,0.003252989358146283,0.0019192822111890088,0.21557430218421386,13.463849859645794,0.20446047624107566,0.3194856044481213
48,1,0.002989216362571942,0.00033464192289141086,1,4,,0,7.832325749134128e-09,-6.754883165687738,-0.024973149408722535,-0.2572771876943361,0.006284519642708909,0.002989216362571942,0.003995878663235029,0.014171074657634746,0.003142711679031067,0.0018869762150608288,0.21205907416469788,13.156767190403619,0.20522909460939975,0.31970029811831124
49,1,0.002867133202795984,0.0005063848861008185,1,6,,0,2.47276117198471e-10,-6.596969465878096,-0.0296129007978186,-0.25661314041828065,0.004476986937741584,0.002867133202795984,0.0038730234793100064,0.014280063098965222,0.00313379931255614,0.0018165031749786654,0.20692148867034096,12.538428379589536,0.20613496193924555,0.3202310229562129
50,1,0.002621782808104966,0.00034183725978101457,1,7,,0,5.241761086826144e-09,-6.497989208682091,-0.029336924010092025,-0.25793195850344186,0.002302661105916894,0.002621782808104966,0.003601316600042591,0.014060070774841706,0.00297572625395905,0.0018015834209404672,0.2051039013073141,12.61253870040355,0.2068725587121105,0.3208469710732956
51,1,0.003157785144381707,0.000721457793764237,1,36,,0,7.747011684776318e-09,-6.4050511912855495,-0.013255997544932915,-0.2593219515731452,0.0004262296884645201,0.003157785144381707,0.004465995874094789,0.013297361146681978,0.0034711009772281764,0.001994869506295118,0.22387400566735507,14.517980474472104,0.20772441363672914,0.3214648168181253
52,1,0.002839829108520513,0.00020938455039809368,1,14,,0,6.904510320997976e-09,-6.3025963778051874,-0.019209749522891978,-0.2610919969849632,0.007418734118555963,0.002839829108520513,0.003987211023987778,0.012903623128303782,0.003446763305288144,0.0020711176336802193,0.22975711126469228,15.243780393743634,0.20844324184010535,0.3217072733113072
53,1,0.0029559471443827167,0.0006950127585816124,1,5,,0,9.465829839443703e-09,-6.076838465992134,-0.02510358098123264,-0.26215940372098673,0.00036697172521044113,0.0029559471443827167,0.004067872247652429,0.013075228686971332,0.0034489590048484096,0.0021038612011156613,0.231428756440761,15.539830470290696,0.20895923152301113,0.32150288563374896
54,1,0.0028595977406912993,0.0005246754158381815,1,7,,0,2.0706809070921065e-11,-6.062836285969753,-0.02901548329605902,-0.2602767064163175,0.003480078740223857,0.0028595977406912993,0.003883549658592385,0.013305536773822308,0.0032329259498855008,0.002016013295471722,0.2242431729886111,14.960834855827477,0.20888935620570256,0.32114288921182504
55,1,0.002680538587531786,0.0003545227082657397,1,8,,0,4.728345002553738e-10,-6.15145601398803,-0.029537822923369247,-0.2556200448898381,9.897795989549295e-05,0.002680538587531786,0.003627540691036281,0.013414498361270573,0.0030539395792445276,0.001982790440929401,0.22225878670794566,14.73795465035026,0.20874904156347038,0.3205697630277386
