evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1,9.287283914330764e-06,5.791097451450346e-07,3.2908801698422456e-06,2,1.281840871830589e-13,-3.8149317577806783,-0.16655211349260765,-0.22644917761557834
2,0.0002612126116837689,0.00021822217120341628,0.0013158324872184165,47,1.755354739608331e-11,-4.601742408733562,-0.6072426104755401,-0.260811497072755
3,1.2888964634051086e-05,2.9740465030965546e-06,1.616050397657902e-05,7,6.841063226879886e-11,-3.8073953192386165,-0.1669764952052351,-0.2265058984595143
4,9.28716329921216e-06,5.702906026420764e-07,2.965467059303651e-06,2,1.5457909298121587e-12,-3.814917093468718,-0.16655300037330273,-0.2264493118485899
5,9.286628208172877e-06,5.869162176273619e-07,2.0991887402687733e-06,2,4.7187385168050113e-11,-3.814850791413968,-0.16655700979255622,-0.2264499187452597
6,1.2817963264588807e-05,3.351512263220271e-06,2.0422409619647353e-05,19,1.1333746481346273e-14,-3.8121164549088915,-0.1666580034597545,-0.22646124813889795
7,9.286647129364891e-06,5.906753189211938e-07,2.1120249415917186e-06,2,7.279497526191566e-14,-3.814850054730512,-0.1665570379608281,-0.2264499244150693
8,9.286628208172877e-06,5.86916206037856e-07,2.099188841319824e-06,1,4.82030701243574e-11,-3.814850791413968,-0.16655701208210022,-0.2264499189604559
9,9.286628208172877e-06,5.869162151815109e-07,2.0991887615940796e-06,1,4.695967589085502e-11,-3.814850791413968,-0.16655701027573322,-0.22644991879067386
10,9.286628208172877e-06,5.869162171111543e-07,2.0991887447690204e-06,1,4.7119631800973025e-11,-3.814850791413968,-0.16655700989452418,-0.22644991875484377
11,9.286628208172877e-06,5.869162175183803e-07,2.0991887412183357e-06,1,4.717221419663403e-11,-3.814850791413968,-0.16655700981407523,-0.22644991874728232
12,9.286628208172877e-06,5.869162176044195e-07,2.0991887404693447e-06,1,4.718414469418306e-11,-3.814850791413968,-0.16655700979709748,-0.22644991874568654
13,9.286628208172877e-06,5.86916217622496e-07,2.099188740311019e-06,1,4.71866994645601e-11,-3.814850791413968,-0.16655700979351457,-0.22644991874534978
14,9.286628208172877e-06,5.86916217626237e-07,2.0991887402773385e-06,1,4.718724031273805e-11,-3.814850791413968,-0.1665570097927586,-0.22644991874527876
15,9.286628208172877e-06,5.869162176271364e-07,2.099188740270619e-06,1,4.718735459310167e-11,-3.814850791413968,-0.16655700979259896,-0.2264499187452637
16,9.286628208172877e-06,5.869162176272716e-07,2.0991887402689973e-06,1,4.718737882850814e-11,-3.814850791413968,-0.16655700979256519,-0.2264499187452605
17,9.286628208172877e-06,5.869162176273261e-07,2.0991887402687504e-06,1,4.718738382134769e-11,-3.814850791413968,-0.1665570097925582,-0.2264499187452598
18,9.286628208172877e-06,5.869162176273005e-07,2.09918874026895e-06,1,4.718738040947983e-11,-3.814850791413968,-0.16655700979256277,-0.2264499187452603
19,9.286628208172877e-06,5.869162176271644e-07,2.0991887402682684e-06,1,4.7187383096217134e-11,-3.814850791413968,-0.16655700979255914,-0.22644991874526
20,9.286628208172877e-06,5.869162176272639e-07,2.099188740268657e-06,1,4.7187382311021204e-11,-3.814850791413968,-0.1665570097925599,-0.22644991874526008
21,9.286628208172877e-06,5.869162176272886e-07,2.0991887402688673e-06,1,4.718738112740696e-11,-3.814850791413968,-0.1665570097925618,-0.2264499187452602
22,9.286628208172877e-06,5.869162176273223e-07,2.0991887402690198e-06,1,4.7187380543111326e-11,-3.814850791413968,-0.16655700979256252,-0.2264499187452602
23,9.286628208172877e-06,5.869162176272678e-07,2.0991887402688114e-06,1,4.718738105036684e-11,-3.814850791413968,-0.16655700979256197,-0.2264499187452602
24,9.286628208172877e-06,5.869162176272678e-07,2.0991887402688114e-06,1,4.718738105036684e-11,-3.814850791413968,-0.16655700979256197,-0.2264499187452602
25,0.00036601355252850564,0.00023388519554470424,0.001357703553447566,35,7.423863855969773e-13,-4.444725899403759,-0.4645402167233187,-0.26284841746325244
