step,optimizer_phase,optimizer_iteration,optimizer_evaluation,learning_rate,evaluation_success,objective,gradient_rms,gradient_inf,activation_update_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,inverted_cell_fraction,inverted_rest_measure_fraction,negative_det_f_mean,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms,detF/min,detG/min,detAinv/min,target/rms,target/mae,target/max,activation/rms,activation/neighbor_jump_rms
0,adam,0,1,0.03,1,0.0014813333333333334,3.65556072931906e-05,8.154394272262772e-05,0.0,1,1,,0,1.47607518564906e-18,1.0,1.0,1.0,0.0,0.0,0.0,0.03666666666666667,0.038488093396962825,0.05,0.038488093396962825,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.038488093396962825,0.03666666666666667,0.05,0.0,0.0
1,adam,1,2,0.029699999999999997,1,0.0013669383393353756,3.83737353795026e-05,8.071232706827994e-05,0.02998187320827386,1,6,,0,6.714826619164469e-12,0.9914439145591801,0.9816701190645005,0.940008615565047,0.0,0.0,0.0,0.03525750937153333,0.03697212922371899,0.047722287820695986,0.036971570610397936,0.0003692118199636496,0.044825283849806385,1.6824645952778783,0.011165414326800575,0.029981873208273852,0.9914439145591801,0.9816701190645005,0.940008615565047,0.03697212922371899,0.03525750937153333,0.047722287820695986,0.029981873208273852,0.011165414326800575
2,adam,2,3,0.029403,1,0.0012464131924026151,4.046076041529566e-05,7.916265060522483e-05,0.029631016462595958,1,6,,0,3.6652764368440246e-11,0.9833743498980075,0.9618743716230995,0.8805443632727895,0.0,0.0,0.0,0.0337120512210731,0.035304577499279254,0.04518508112171551,0.03530193406757178,0.000787616468433229,0.09527057597695075,3.570735060792819,0.021998713925427828,0.05961248240574436,0.9833743498980075,0.9618743716230995,0.8805443632727895,0.035304577499279254,0.0337120512210731,0.04518508112171551,0.05961248240574436,0.021998713925427828
3,adam,3,4,0.029108969999999998,1,0.0011198752013156566,4.277155159043382e-05,8.242042737723588e-05,0.029272702454522126,1,6,,0,2.3620610288498474e-09,0.9763947353519915,0.9407203423087217,0.8215402087375295,0.0,0.0,0.0,0.03200865537258451,0.03346453647244582,0.042352705155429056,0.033457453279618854,0.0012591969660544166,0.15165599565981416,5.684241598612067,0.03215204087321807,0.08888097526273414,0.9763947353519915,0.9407203423087217,0.8215402087375295,0.03346453647244582,0.03200865537258451,0.042352705155429056,0.08888097526273414,0.03215204087321807
4,adam,4,5,0.028817880299999998,1,0.0009876464326865773,4.5183550101135783e-05,8.657709132294948e-05,0.02889229222133231,1,7,,0,1.0228058582728859e-11,0.9714158523873153,0.9184804927666241,0.7629488053824917,0.0,0.0,0.0,0.030118829299511356,0.03142684255038322,0.03940148375132827,0.03141156097505534,0.0017858766048445315,0.2141749229672536,8.046585871925707,0.04103716812721455,0.11774404448197065,0.9714158523873153,0.9184804927666241,0.7629488053824917,0.03142684255038322,0.030118829299511356,0.03940148375132827,0.11774404448197065,0.04103716812721455
5,adam,5,6,0.028529701496999998,1,0.0008504530854661957,4.744029730758996e-05,9.030274615868345e-05,0.02853093212628224,1,7,,0,1.4565026745066034e-10,0.9582838706412149,0.8956741648204322,0.7047255892760134,0.0,0.0,0.0,0.02800835993107259,0.029162528790662095,0.03669680469416907,0.02913245975206092,0.0023711391323706296,0.2835414221277628,10.7093613791805,0.04858290375410088,0.14618900100560148,0.9582838706412149,0.8956741648204322,0.7047255892760134,0.029162528790662095,0.02800835993107259,0.03669680469416907,0.14618900100560148,0.04858290375410088
6,adam,6,7,0.02824440448203,1,0.0007096478671994169,4.917540294676286e-05,0.00010049884165637608,0.02817754819147315,1,7,,0,3.5144596457622754e-10,0.9329459830571823,0.8732822898675617,0.646823461688448,0.0,0.0,0.0,0.025640347054968447,0.026639216715200482,0.03371517558126198,0.026581476148624404,0.0030290990852776126,0.3619679448564997,13.794505521524751,0.05533688341624325,0.17422334809858153,0.9329459830571823,0.8732822898675617,0.646823461688448,0.026639216715200482,0.025640347054968447,0.03371517558126198,0.17422334809858153,0.05533688341624325
7,adam,7,8,0.027961960437209697,1,0.0005669644591863023,5.019883667636742e-05,0.00011229922460182309,0.027807008692253266,1,7,,0,2.984490826208024e-10,0.9002193715452083,0.8473912558373625,0.5892348807353912,0.0,0.0,0.0,0.022970643617046836,0.023811015500946244,0.030300004345999627,0.02369873367636505,0.0037987493528357863,0.4537425272422816,17.559133212295926,0.061687237722422295,0.2018122205970565,0.9002193715452083,0.8473912558373625,0.5892348807353912,0.023811015500946244,0.022970643617046836,0.030300004345999627,0.2018122205970565,0.061687237722422295
8,adam,8,9,0.0276823408328376,1,0.00042396328423704505,5.0822774121046185e-05,0.00011780308274927627,0.027373510932806884,1,7,,0,1.8736189813982185e-09,0.8690534540276094,0.8143305153811162,0.5319961763081924,0.0,0.0,0.0,0.019925993824195708,0.020590368725135668,0.026385559682306176,0.020371130458371023,0.004771870358301166,0.5656174517727892,22.492143160563028,0.06802678353760323,0.22884136886879525,0.8690534540276094,0.8143305153811162,0.5319961763081924,0.020590368725135668,0.019925993824195708,0.026385559682306176,0.22884136886879525,0.06802678353760323
9,adam,9,10,0.027405517424509224,1,0.00028775148162170887,4.5787851606846294e-05,0.00011331886141389155,0.02675213144528182,1,9,,0,9.749519595541498e-09,0.7911892579975408,0.7844309229043955,0.4751904176372341,0.0,0.0,0.0,0.016461116043698088,0.016963239125288215,0.022866811908313946,0.016558111514010876,0.006094249736484925,0.7057730055386466,29.50947566755239,0.07561667290467597,0.2551549361519163,0.7911892579975408,0.7844309229043955,0.4751904176372341,0.016963239125288215,0.016461116043698088,0.022866811908313946,0.2551549361519163,0.07561667290467597
