evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1,4.718203521102479e-05,1.0592096833659693e-06,4.911352907318483e-06,2,1.3008004442827198e-14,-16.162633613544827,0.1708780652784226,-0.20000401299944937
2,5.726006546006286e-05,2.4777022726399396e-05,8.018449932538324e-05,5,1.0931051007390075e-15,-15.395487664679797,0.06202021189088978,-0.2661063459245626
3,4.457187337398252e-05,3.5977529186807818e-06,1.3837571479172403e-05,4,9.77835056058799e-14,-16.127030307304146,0.21161902933774282,-0.2217931354793661
4,4.217192261032252e-05,4.671143767967494e-06,1.9302457394564687e-05,4,4.376930268003704e-11,-16.04000291094409,0.12306726082192082,-0.22238248883104833
5,4.330997716126388e-05,1.594312820282258e-05,0.0001320075973388339,4,3.4593607990879864e-11,-16.024910472656874,0.0143892553088923,-0.20354223511350863
6,4.128012878569844e-05,4.033952239640538e-06,2.8007224877334396e-05,4,3.8747026116844927e-11,-16.116046476569636,0.07876596274673626,-0.21479279686432692
7,4.07248696552986e-05,1.7639618429913951e-06,5.712609606824759e-06,4,2.2853898897725227e-11,-16.137515417210853,0.1014884436595928,-0.2048068377291871
8,4.02764428322658e-05,1.718571690004798e-06,5.707411794975483e-06,4,4.521752068713088e-11,-16.10740933688606,0.02693629250536443,-0.20601832767762013
9,3.969172407066232e-05,1.602957411575068e-06,5.779267063862087e-06,4,5.6719130585357056e-11,-15.996811073440186,-0.05811455018366553,-0.21215765914876872
10,3.932826077408536e-05,3.940934032460221e-06,2.5753209664650752e-05,4,5.412823387259112e-11,-15.717759976607805,-0.19988713884123063,-0.23149498960234038
11,3.864673202479274e-05,1.4912673587539838e-06,5.59019226153461e-06,4,3.793819309615055e-11,-15.75374981696242,-0.19351013780795734,-0.23723192759329592
12,3.8255268014350065e-05,1.4734997179818095e-06,4.382161813769528e-06,4,3.279983284851459e-11,-15.64845834807019,-0.2371649580410486,-0.24514305835291533
13,3.6757699677761645e-05,3.815680596413618e-06,2.0883545308460574e-05,4,6.747128388367826e-11,-15.177095285008326,-0.39553284992954696,-0.4343121556040369
14,6.713942299047593e-05,3.681799959718803e-05,0.00016664339011150743,10,1.772510578420855e-14,-13.471659090199289,-0.8146601827784072,-1.3296368989691174
15,3.586794772264874e-05,5.891598409790865e-06,3.001583139577814e-05,5,2.8682333115269585e-15,-15.10769101887731,-0.4801628498713362,-0.5599702395910366
16,0.00032036296550811593,0.00019506698412348727,0.0010014408266061162,15,3.572958652401294e-14,-7.249960754791124,-0.9069266927413746,-2.377529541910321
