evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1,7.460385337119863e-05,7.3943113300791475e-06,1.1147839145907932e-05,2,3.795875638938036e-12,0.6518807324243668,0.4471089227610278,0.30149571425606125
2,0.01904767800911197,0.06385499217542767,0.09598020467130877,87,1.1230033948785993e-11,-8.538414182568529,-0.09381441238908021,-0.12289002169475152
3,7.460312022267087e-05,7.3904286296622485e-06,1.112925518113273e-05,2,9.235219487063517e-12,0.6518712274707109,0.44709385278706715,0.3014960748275066
4,7.227072971208035e-05,5.384444218244864e-05,7.834961236304259e-05,5,7.388539113552847e-12,0.633440339598522,0.4014821857146604,0.2971020548421288
5,0.00046655803654047025,0.0080756777249873,0.012290695039091665,27,1.1557264943565872e-14,0.526808873326368,0.0916690449178474,0.17266442689173436
6,6.569313808316043e-05,0.00018843678498899386,0.0002633856989834401,6,2.2690947119811756e-11,0.6107678941667353,0.33722339539723417,0.2838174462327257
7,6.712356810830545e-05,0.0007503883937737561,0.001163225333952135,11,3.9787152875390665e-12,0.5801544575928461,0.26908680536071405,0.2631889869896594
8,6.384272139006921e-05,0.00035553598690901575,0.0005517856456924852,10,9.531118360453884e-12,0.5976801588407579,0.30663226751937506,0.27543058001983156
9,0.006607667954365002,0.0021452639109049284,0.003262729005981623,118,2.150860798824666e-14,-0.8155254340536009,-0.2762867305314527,-1.424983632921423
10,6.383484080836946e-05,0.0003594364180942868,0.0005581165476172795,9,6.725163102731792e-13,0.5974427313067296,0.30611176522353195,0.27527634581338223
11,6.191147499265203e-05,0.0003690809201663492,0.0005765509434485623,7,2.0994507067178098e-11,0.5957126637177415,0.29977496164736217,0.2743228573266356
12,5.645026414693286e-05,0.0005133482295812337,0.000808646440968705,7,1.6492387683412037e-13,0.5907412632383402,0.2713339730296835,0.26822205925927645
13,4.36596678889795e-05,0.0003925850383432007,0.0006236645753563505,8,5.137089952502952e-16,0.6132143646058966,0.2492073696744068,0.2686655559888765
14,3.456896418391484e-05,0.000127831363493522,0.00017001493431529637,7,2.045423363965242e-15,0.6508429283933469,0.24597209084115598,0.2794391465018588
15,3.2884694234137997e-05,0.00044161965922765844,0.0006546035267852938,15,7.106553485359483e-15,0.6826421542680353,0.1881866961056678,0.2624438281598929
16,3.17106187361519e-05,8.461757204875019e-05,0.00013646757112213866,20,7.949999545012176e-15,0.6678272228717926,0.21766037330555174,0.27228625667468537
17,3.07868562348238e-05,9.532567332591979e-05,0.00014447142548017016,9,1.0770194997172868e-14,0.6846839537291253,0.20250223893106933,0.2704896887500569
18,3.0621980589138904e-05,3.0402074367238057e-05,4.349550504768385e-05,12,8.687071612277504e-11,0.691697613905601,0.2036667496974754,0.27356936069786725
19,3.060783198390653e-05,2.2636069264064997e-06,3.09125754498538e-06,15,2.4734426748612115e-15,0.6923182935212199,0.2015832378283745,0.2727227108594596
