step,evaluation_success,objective,gradient_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,min_singular_ainv,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms
0,1,0.0013468013333333333,3.3006071133163826e-06,1,1,,0,6.225748016032108e-18,0.9999999999999929,0.9999999999999929,1.0,1.0,0.033666666666666664,0.036698791987384724,0.05,0.036698791987384724,0.0,0.0,0.0,0.0,0.0
1,1,0.0012626542486650959,2.911192461056053e-06,1,6,,0,3.767216181251642e-11,0.9300742399460338,0.9581968242667052,0.9401097687605156,0.9401668859412845,0.03263277821064262,0.035533846522225764,0.048394335151744676,0.0355215075200508,8.179462908924623e-05,0.01275195452323752,0.5320307686056179,0.011176419145044312,0.029443451903696877
2,1,0.001190774554501059,2.574929562617768e-06,1,9,,0,4.443875969397194e-11,0.8711427041251018,0.9170723340216541,0.881073078121664,0.881467843101119,0.03173703033991056,0.03450760140173552,0.04721939609030092,0.03446284648658363,0.00014941166620196941,0.02438787555132082,1.0087190814350804,0.02195034207225955,0.05650734672693248
3,1,0.001128386370871792,2.306787172405936e-06,1,6,,0,1.7515266707990897e-09,0.8200948761955171,0.8786052016302566,0.8233956599145601,0.8238747957650427,0.030938846408783187,0.03359146276767048,0.04644185112210125,0.03350658460266212,0.00021901844002541077,0.036489953723483216,1.550438965153854,0.03292035686692108,0.08107402799476468
4,1,0.0010814189249931613,2.094007801819081e-06,1,8,,0,4.905265970223852e-09,0.7762041084899723,0.8179913172637697,0.7673690021141856,0.7672095803735604,0.03020660837827939,0.03288493462047874,0.0458048772499174,0.03278861306998026,0.00038683193199402365,0.05161406491388819,4.093020295475416,0.04383449929002239,0.10365385963689941
5,1,0.0010344325036795493,2.093578791867261e-06,1,10,,0,6.719840633844197e-12,0.73341468602997,0.7757867466799842,0.711403781146807,0.7119528728152816,0.029527912810873195,0.03216259479083659,0.045030007256405054,0.032046604988361066,0.00040872815223735675,0.06005152493262648,4.501531472710011,0.05272769140181757,0.12489885496100542
6,1,0.0009916813411219214,1.731812188724435e-06,1,8,,0,7.754800527366805e-11,0.6953373967153438,0.7562097449787811,0.6617236752549501,0.6630010262700947,0.02890929315391985,0.03149097237498267,0.044259644133221025,0.03135934577859381,0.00043766223316256,0.07033013934551775,4.918954291413788,0.06060932385641076,0.14543880879596113
7,1,0.0009543898040197972,1.6010323717533609e-06,1,7,,0,5.681029068443167e-10,0.6630221076016207,0.7545876045444547,0.6146655689565855,0.6154503462577529,0.028326665901218927,0.03089319996406648,0.043568599000814404,0.03075548971930313,0.00047689052151641577,0.07747260957330857,5.214992072917042,0.06803499986497044,0.16551768165300612
8,1,0.0009210950210171371,1.482025006671794e-06,1,5,,0,2.1428866401881457e-09,0.6390850853363039,0.7257663122356943,0.5724506792460209,0.5718280158563341,0.027794467531309926,0.03034954729509383,0.04292948646343711,0.030205555457248765,0.0005059658214766288,0.08288788993466246,5.382783978708918,0.07492959426773409,0.18503160659345907
9,1,0.0008910910412898628,1.3726359256338076e-06,1,9,,0,8.098321265078958e-10,0.6141603149819113,0.6907563127860905,0.5347987188609985,0.5322826452991584,0.02731848383788697,0.029851148073229323,0.04231802456808373,0.029695172328717365,0.0005098353541760908,0.08597782372937533,5.367386431829961,0.0814569419488295,0.20399147776941437
10,1,0.0008658535176316082,1.534600180796543e-06,1,13,,0,1.8534984478992192e-10,0.6178653516473824,0.6606028624481776,0.5010970447012703,0.49651207029955835,0.02677787348513042,0.02942538899711622,0.041899594456324046,0.02930044032290484,0.0005164444526226595,0.08447190790957351,5.368761750864361,0.08769427211946336,0.22241637368925055
11,1,0.0008409917298576552,1.2611081379927348e-06,1,10,,0,2.962455263198331e-10,0.4902152655181579,0.4902152655181579,0.4708268373334569,0.46421710313807985,0.026374383373560784,0.028999857410988338,0.04138354784142672,0.02885492261941534,0.000493969129023409,0.08368384083469613,5.089186109519954,0.09386427028694153,0.24007347154857564
12,1,0.000818958281250809,1.134545523790062e-06,1,7,,0,1.1347487143412141e-09,0.4060955870446281,0.4060955870446281,0.4435186887719355,0.43503614685435155,0.026017259519719622,0.028617447147689625,0.04092338808597443,0.028455383857251788,0.0004946405515912928,0.08571616723175116,5.0456709159927895,0.09971930790418422,0.257098804387734
13,1,0.0007990222654421064,1.0554355055525482e-06,1,6,,0,3.4700657817551343e-11,0.35803323004351195,0.35803323004351195,0.4188035261428182,0.4086536041881062,0.025692808946365504,0.028266981894820437,0.040487246916953955,0.028087911044700827,0.000503567864749055,0.08840640580297807,5.0987021790696625,0.10516423336878959,0.27357799790865506
14,1,0.0007807988781013283,9.929172473321992e-07,1,5,,0,2.8716172288381766e-11,0.3238660714209667,0.3238660714209667,0.3963765423640399,0.38478009313177003,0.025396844546285286,0.0279427786395936,0.04006696157197458,0.027745330422107688,0.0005122289706262603,0.09080242373601752,5.17702974172757,0.11018591198431908,0.28955125612869603
15,1,0.0007638780128381903,9.325545729832465e-07,1,6,,0,1.2683820730646845e-11,0.2969482746519098,0.2969482746519098,0.3759632882250959,0.36312917675107675,0.025134206621756878,0.0276383431637678,0.03964438293697996,0.027412180351889838,0.000525863876137755,0.09330755312286992,5.087042335414512,0.1148018631153675,0.30504730126785445
16,1,0.0007512087772000227,9.454785206589412e-07,1,31,,0,1.2579293398315249e-11,0.27454918147454754,0.27454918147454754,0.3573784867014843,0.3435096744573668,0.02477901240597563,0.027408188141502945,0.03938567672047979,0.027215536960818475,0.0007469998471964048,0.10864708547119997,4.889220905679747,0.11905847790559095,0.3201074807783882
17,1,0.0007373720321725032,9.372102972773134e-07,1,6,,0,7.2818149993519834e-09,0.2535558070477011,0.2535558070477011,0.33953791315859255,0.32468435337859375,0.024543526969464286,0.02715459504710949,0.039025772431785836,0.02694586474190889,0.0007592750706866517,0.11141780655888023,5.002100156847873,0.12310890463559186,0.334687167545046
