evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1,9.287283914330764e-06,5.791097451450346e-07,3.2908801698422456e-06,2,1.281840871830589e-13,-3.8149317577806783,-0.16655211349260765,-0.22644917761557834
2,0.0002650264763420454,0.00021889044678233805,0.0014540109381019997,40,3.897310345347887e-11,-4.619545223737495,-0.5818047638446704,-0.2608114970752214
3,1.2884847461082982e-05,2.993017889394054e-06,1.640254417546475e-05,6,6.218597944427001e-12,-3.8077148589153222,-0.1669552776375158,-0.22650297819723939
4,9.287175215767635e-06,5.709929070483313e-07,2.998181228629351e-06,2,1.407666056478133e-12,-3.8149185483486527,-0.1665529123925511,-0.22644929852993828
5,9.286668069394776e-06,5.820047398133826e-07,2.0807428378696776e-06,2,4.273443623576051e-11,-3.814855814548816,-0.16655670611736847,-0.2264498727630996
6,1.2818045688545136e-05,3.351083933524796e-06,2.0417709635335928e-05,19,1.444787633641262e-13,-3.8121090579134056,-0.16665846384705943,-0.22646130902350478
7,9.286662439316611e-06,5.82310312543171e-07,2.0819651513031857e-06,2,4.3132559257783304e-11,-3.8148550998550257,-0.1665567487144557,-0.22644987855817988
8,9.286652629818222e-06,5.828494793425094e-07,2.084096932788446e-06,2,4.383066826505621e-11,-3.814853854485956,-0.16655682294060567,-0.22644988865623755
9,9.282413418128375e-06,3.12851712393289e-06,1.815663893311937e-05,3,8.14569009921236e-11,-3.8141480679120234,-0.16659827854865275,-0.22645559881677133
10,1.282324016411952e-05,3.3346748785606873e-06,2.0176788727284735e-05,14,7.114256548227912e-15,-3.81121053000945,-0.1667105832986711,-0.2264675002902677
11,9.282408367028305e-06,3.1306439010286696e-06,1.8171193534793788e-05,3,8.157253044213212e-11,-3.814147296688882,-0.16659832374789577,-0.22645560453574587
12,9.282398624791557e-06,3.1347520711347336e-06,1.8199306894291433e-05,3,8.179599859418172e-11,-3.814145808942581,-0.16659841093988412,-0.22645561556804858
13,9.278272229095357e-06,9.456355768567291e-06,6.1014320088881496e-05,4,2.6478793327500744e-11,-3.8133431035639256,-0.16664494688933265,-0.22646155790272804
14,1.2865440063647302e-05,3.2049085799195664e-06,1.815652385547573e-05,10,2.1892127024503677e-14,-3.8048027868284655,-0.16708770970105935,-0.22651293096842898
15,9.27814119049155e-06,9.496831126769623e-06,6.128879729122287e-05,4,2.6728771780858397e-11,-3.813325408324423,-0.16664598722927165,-0.2264616841743466
16,9.27744594278006e-06,9.719131691832386e-06,6.279606665091772e-05,4,2.810049386073044e-11,-3.813231398543309,-0.16665151409971227,-0.22646235498323275
17,1.2841672987280503e-05,3.2742333617069046e-06,1.9292538794176176e-05,23,1.9995677129438794e-12,-3.808355157785871,-0.1668780540635679,-0.22648764248496223
18,9.277414111771015e-06,9.729625189356164e-06,6.28672067998266e-05,4,2.8165187775520254e-11,-3.8132270893306353,-0.1666517674332324,-0.22646238573024743
19,9.277252379584768e-06,9.783386271068055e-06,6.323166494989112e-05,4,2.849653855582672e-11,-3.8132051873758352,-0.16665305501380365,-0.22646254200267865
20,9.264616578850183e-06,1.9403194006922625e-05,0.00012829879049309475,4,8.13045127944025e-11,-3.8114446834388445,-0.16675645722630325,-0.2264750921229118
21,1.2837631212902999e-05,3.2874615805582043e-06,1.9488630605113772e-05,13,9.309260385306684e-14,-3.808953818265829,-0.16684275203801693,-0.2264833753347332
22,9.264613688026411e-06,1.940832869060856e-05,0.00012833348680671962,4,8.132836146022888e-11,-3.811444264689339,-0.16675648178424177,-0.22647509510527755
23,9.264609046965421e-06,1.9416578892167236e-05,0.00012838923540428772,4,8.136667164628301e-11,-3.8114435923868255,-0.16675652121196444,-0.22647509989346398
24,9.261619493699675e-06,0.00010052315057101108,0.000676036795998852,5,4.248971358192098e-11,-3.8108615404267225,-0.1667901843081983,-0.2264792376009563
