evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1,0.00026955332914832737,7.334720642454802e-08,1.1552609284094383e-07,2,4.7541450133338315e-14,0.29602446938037447,0.06759019806006664,0.10100599002257948
2,0.0045815069081304735,0.0026648567546270585,0.003411647128391188,32,6.411150305454342e-13,-1.5887350397742805,-0.45243627112040047,-0.692280465740388
3,0.00026955332878310893,2.4468534331283247e-08,3.325801369565229e-08,2,4.8776335810832245e-14,0.296029033500902,0.06758988594051885,0.1010037029689206
4,0.00026955332873486524,7.291659956356346e-09,1.2600105316946974e-08,2,4.857869119290522e-14,0.2960321439865417,0.06758999473653046,0.1010028345752256
5,0.00026955332872888923,7.184905948829054e-09,1.1624546576361366e-08,2,4.8562971100804993e-14,0.2960324357888263,0.06759005899859748,0.10100285094789964
6,0.00026955332869870564,7.168262594082985e-09,1.1019350180438002e-08,2,4.925721968751896e-14,0.29603247880666084,0.06759039202499885,0.1010033761449599
7,0.0002695533287512681,1.44301538296806e-08,1.9857911486433988e-08,2,4.722873696246616e-14,0.29603356940183895,0.06759104672262484,0.10100437122329547
8,0.0002695533287002249,6.673309421540049e-09,9.73304268040917e-09,2,4.9155732822125435e-14,0.2960325325427485,0.06759042428433737,0.10100342517635189
9,0.0002695533286987903,7.137724643616924e-09,1.0945045902572051e-08,2,4.925135831785343e-14,0.29603248191074966,0.06759039388847629,0.1010033789772844
10,0.0002695533286987105,7.166476385546254e-09,1.1015018821883304e-08,2,4.9256878056572046e-14,0.296032478987605,0.06759039213362504,0.1010033763100623
11,0.00026955332869870585,7.1681576863623674e-09,1.1019095840418363e-08,2,4.925720040114809e-14,0.29603247881728595,0.06759039203137747,0.1010033761546548
12,0.00026955332869870564,7.1682551411101646e-09,1.1019332111212687e-08,2,4.925722987799017e-14,0.2960324788074156,0.06759039202545204,0.10100337614564868
13,0.0002695533286987058,7.168190821404063e-09,1.1019176173646496e-08,2,4.925721051478259e-14,0.29603247881393013,0.06759039202936284,0.10100337615159272
14,0.00026955332869870564,7.168251154369241e-09,1.1019322444893022e-08,2,4.925722093316321e-14,0.2960324788078195,0.06759039202569445,0.10100337614601712
15,0.00026955332869870574,7.1682113335409384e-09,1.1019225904597462e-08,2,4.925720793084224e-14,0.2960324788118524,0.06759039202811562,0.10100337614969702
16,0.0002695533286987057,7.168248810800495e-09,1.1019316763775282e-08,2,4.9257219116455344e-14,0.2960324788080569,0.06759039202583694,0.10100337614623367
17,0.00026955332869870564,7.168251132631577e-09,1.1019322392498952e-08,2,4.925721680962408e-14,0.2960324788078217,0.0675903920256958,0.10100337614601913
18,0.00026955332869870564,7.1682496010334664e-09,1.1019318679079406e-08,2,4.925722020188403e-14,0.2960324788079769,0.06759039202578897,0.1010033761461607
