evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1,6.109897991863136e-08,3.453573495299703e-08,5.01279922569313e-07,2,3.381206838344242e-14,0.9302734046545272,0.2993683119423598,0.28952848940498666
2,2.423625225725099e-05,8.164565460279654e-06,0.0001020288158784639,5,1.6723889175734754e-12,0.8403709187306924,0.2984850332781646,0.28847093605898805
3,4.946052002773056e-08,6.642792369443856e-08,7.719592178032572e-07,3,8.659221602556598e-15,0.9431590145307773,0.2993503208596788,0.28950728761047184
4,4.064416638231659e-08,1.0259009534078532e-07,1.0542985881802162e-06,3,1.689184881466916e-12,0.9646901598565222,0.2992919817735879,0.2894530693216455
5,3.453559780817604e-08,4.9158112680104484e-08,6.262967962582482e-07,3,2.0101912261539632e-12,0.9683106782259169,0.2992612982452614,0.2894351839529374
6,3.2198146923224807e-08,4.732335072232097e-08,4.922322358046743e-07,3,1.890121214432707e-12,0.9672334271897762,0.29925732711566444,0.28943330459731315
7,1.8325582237821104e-08,4.3854160969770604e-08,3.955372076481419e-07,3,6.452548410392037e-12,0.974127502048504,0.29920620597905484,0.28938966017420154
8,1.2360526576191034e-08,5.3481502396018147e-08,5.257596201542196e-07,3,2.3748173265057168e-11,0.9799039227581033,0.2991253636098475,0.2893251222353388
9,8.335644177965975e-09,2.7796812789366855e-08,3.1329419502794885e-07,3,2.97597119401225e-11,0.9816459732534978,0.29911189376776776,0.289307502231519
10,5.218247903339692e-09,2.162119304218435e-08,1.8401877313784333e-07,3,6.627601664590777e-11,0.9835327559508914,0.29909495287512367,0.2892871842117625
11,3.5249950628126122e-09,1.847792732102665e-08,1.637069871564892e-07,3,9.778630554700195e-11,0.983924176842721,0.29908652308587796,0.28927829401736327
12,1.4036895034016529e-09,1.0246815141186697e-08,9.303675209232385e-08,4,6.97213817928978e-17,0.9845782987667615,0.2990790854164861,0.2892702136247573
13,5.594780365549319e-10,5.348829954216263e-09,6.682369352413941e-08,4,8.476481060838123e-17,0.9844871719546303,0.29907988251852496,0.2892707456705482
14,2.51796969478375e-10,4.221858828680971e-09,5.531067099130916e-08,4,1.0185617969683157e-16,0.9849257042711552,0.2990811474268145,0.28927196615990775
15,1.0809832319217843e-10,3.6510955904737304e-09,2.818352152130082e-08,4,1.135427115949572e-16,0.9849872036841965,0.29908406966111867,0.2892736856566436
16,2.7891755109886148e-11,1.5837337388728163e-09,1.878752284964038e-08,4,1.225440574450641e-16,0.9851285610315667,0.299085471228992,0.2892749381189623
17,8.720195438765296e-12,7.470408898924113e-10,9.161793780578694e-09,4,1.2664949054615095e-16,0.9852074788066502,0.2990850393051526,0.2892743288486804
18,2.9067831266836393e-12,4.583631513516448e-10,5.225109146146894e-09,4,1.2762970644581958e-16,0.9852049805312876,0.2990847757837499,0.28927410415104166
19,9.573840618519727e-13,3.6121477095337305e-10,3.293071248826838e-09,4,1.276100552234208e-16,0.9852118384204177,0.2990843684491771,0.2892737921043339
20,2.6454267448622747e-13,1.5279227684593457e-10,1.4759695913486072e-09,4,1.2772010969682854e-16,0.985205737181896,0.2990842573569296,0.2892738119755545
21,1.1513936826798722e-13,8.427630543131627e-11,9.468705788954165e-10,4,1.2746868468459058e-16,0.9852036543966405,0.29908426474822086,0.2892738135890189
22,1.721273054728887e-14,3.347156060447596e-11,3.45153689349896e-10,4,1.2737587010956296e-16,0.9852048724754805,0.2990842393663807,0.2892737837770979
23,1.6416419315629603e-15,1.0179018387590778e-11,9.890884714615643e-11,4,1.2740096850514693e-16,0.9852054375906183,0.29908424311315684,0.28927377797714604
24,1.5064734561977678e-16,8.740196067491657e-12,1.0945070805500963e-10,4,1.2746472908099289e-16,0.9852064713991237,0.2990842459874303,0.2892737763625165
25,2.5824222323903363e-17,4.294453282777542e-12,4.6258130367425495e-11,4,1.2743720530151335e-16,0.9852059678635569,0.29908425344537803,0.2892737820497272
26,4.949583584375028e-18,8.983540742953864e-13,7.809656982039226e-12,4,1.2730831076252183e-16,0.9852058740155306,0.29908425419958545,0.28927378287335553
27,2.4580164294412735e-18,4.383082842874815e-13,4.454936834084784e-12,4,1.274521389535266e-16,0.9852058362331875,0.2990842545748606,0.28927378316811264
28,1.2266773908121522e-18,2.976542017676836e-13,2.2583010502558876e-12,4,1.2750592326096276e-16,0.9852058316548432,0.2990842543803829,0.2892737830746591
29,3.2217605509140154e-19,3.4496550044311e-13,3.7662318820890215e-12,4,1.2749163887789415e-16,0.9852058144207164,0.299084254345299,0.28927378314985513
30,4.3281767842749996e-19,6.67366192354316e-13,7.389007648291848e-12,4,1.2742032587806998e-16,0.9852058546021307,0.29908425319507,0.2892737823567929
31,9.140237560406383e-20,1.5563693068269297e-13,1.2669906803295982e-12,4,1.2741360397839458e-16,0.9852058325504941,0.2990842538263181,0.28927378279202703
32,2.220194262228994e-20,6.604935201404936e-14,6.148156263172239e-13,4,1.2747932571855348e-16,0.9852058393131629,0.29908425374291925,0.28927378271419946
