step,optimizer_phase,optimizer_iteration,optimizer_evaluation,learning_rate,evaluation_success,objective,gradient_rms,gradient_inf,activation_update_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,inverted_cell_fraction,inverted_rest_measure_fraction,negative_det_f_mean,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms,detF/min,detG/min,detAinv/min,target/rms,target/mae,target/max,activation/rms,activation/neighbor_jump_rms
0,adam,0,1,0.03,1,0.0014813333333333334,3.276314871748799e-05,6.0727926788493283e-05,0.0,1,1,,0,3.670949992239779e-18,1.0,1.0,1.0,0.0,0.0,0.0,0.03666666666666667,0.038488093396962825,0.05,0.038488093396962825,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.038488093396962825,0.03666666666666667,0.05,0.0,0.0
1,adam,1,2,0.029699999999999997,1,0.0010164572567635038,2.9507624639249142e-05,6.621954429239909e-05,0.02976782282321143,1,5,,0,1.1384753262541235e-10,1.0000000000000018,0.9710351162126346,0.9400120979569416,0.0,0.0,0.0,0.03037434929855938,0.0318819268044374,0.041061606592514836,0.031869913769388324,0.0012986827604889143,0.16354876777069013,5.83372201176207,0.007664808533852368,0.02976782282321143,1.0000000000000018,0.9710351162126346,0.9400120979569416,0.0318819268044374,0.03037434929855938,0.041061606592514836,0.02976782282321143,0.007664808533852368
2,adam,2,3,0.029403,1,0.0006131909481791203,2.4934898756562424e-05,7.416955967900753e-05,0.02897932802958729,1,5,,0,1.980711239637534e-09,1.0000000000000018,0.9411387492446378,0.8805877922626443,0.0,0.0,0.0,0.02362992122299399,0.02476269266818777,0.031301160017008466,0.024676057947172036,0.0027762887423114844,0.3496823339017998,12.488457343311872,0.01494208519866065,0.05873573750093958,1.0000000000000018,0.9411387492446378,0.8805877922626443,0.02476269266818777,0.02362992122299399,0.031301160017008466,0.05873573750093958,0.01494208519866065
3,adam,3,4,0.029108969999999998,1,0.0003002995418670698,1.93743321168785e-05,7.5728390651065e-05,0.028403222010517863,1,6,,0,9.94873694080048e-10,1.0000000000000018,0.9105300095690371,0.8217088946110426,0.0,0.0,0.0,0.0166497479676295,0.017329152947189015,0.02173745729266273,0.016987907856272067,0.004463429151969956,0.562657222127441,20.128490153180607,0.022542967288527803,0.08711163183009622,1.0000000000000018,0.9105300095690371,0.8217088946110426,0.017329152947189015,0.0166497479676295,0.02173745729266273,0.08711163183009622,0.022542967288527803
4,adam,4,5,0.028817880299999998,1,0.00010070213907644627,1.347210633608172e-05,6.169231417482109e-05,0.027305602971470663,1,8,,0,2.998494338866176e-12,1.0000000000000018,0.8746002119925006,0.7633374964301118,0.0,0.0,0.0,0.009799485262315085,0.010035045544313502,0.012005520640705161,0.008971099026573968,0.006329136267183889,0.7975065200605782,28.471863486677233,0.030477149401704477,0.11431775236700158,1.0000000000000018,0.8746002119925006,0.7633374964301118,0.010035045544313502,0.009799485262315085,0.012005520640705161,0.11431775236700158,0.030477149401704477
5,adam,5,6,0.028529701496999998,1,2.3569549100109627e-05,8.005233340832083e-06,3.887134664806519e-05,0.025196743919827923,1,8,,0,5.848567045246204e-09,1.0000000000000018,0.8289650290426611,0.7059188502975907,0.0,0.0,0.0,0.004587165884107837,0.00485484799969161,0.007750052000527138,0.0018950418726845159,0.008271210916101637,1.0394256886227249,36.93223049886084,0.03913226349814462,0.1391990127161173,1.0000000000000018,0.8289650290426611,0.7059188502975907,0.00485484799969161,0.004587165884107837,0.007750052000527138,0.1391990127161173,0.03913226349814462
6,adam,6,7,0.02824440448203,1,6.422796807453965e-05,1.1099760753277771e-05,5.748721475877612e-05,0.021438546372430606,1,13,,0,2.41223794378374e-09,1.0000000000000018,0.7857580431544896,0.6514635065417705,0.0,0.0,0.0,0.007239913607412878,0.008014235339353321,0.012435143076922112,0.007293599414789703,0.010079123571796127,1.2643622830465546,44.867320294230886,0.04844811523289511,0.16002643898165533,1.0000000000000018,0.7857580431544896,0.6514635065417705,0.008014235339353321,0.007239913607412878,0.012435143076922112,0.16002643898165533,0.04844811523289511
7,adam,7,8,0.027961960437209697,1,0.00017048845365745695,2.0019243853309774e-05,7.040892369650936e-05,0.01479086622475893,1,6,,0,6.232215940007802e-10,1.0000000000000018,0.7555839771181869,0.6029675001079771,0.0,0.0,0.0,0.011674318017843346,0.013057122717408186,0.020045577067537984,0.012571924107234863,0.011283369614474474,1.4200134783856773,50.568748387054725,0.05572048242711992,0.17385962477469497,1.0000000000000018,0.7555839771181869,0.6029675001079771,0.013057122717408186,0.011674318017843346,0.020045577067537984,0.17385962477469497,0.05572048242711992
8,adam,8,9,0.0276823408328376,1,0.00024075804363117776,2.5030931066328124e-05,9.917672571395628e-05,0.008613465420815402,1,5,,0,4.816393716594891e-10,1.0000000000000018,0.746753589191305,0.5729488802876507,0.0,0.0,0.0,0.013942401329670978,0.015516379849410034,0.023539545770239274,0.014671966333712769,0.011650454715293659,1.4735063286251828,52.775529042086234,0.059498655997585255,0.17989571208283237,1.0000000000000018,0.746753589191305,0.5729488802876507,0.015516379849410034,0.013942401329670978,0.023539545770239274,0.17989571208283237,0.059498655997585255
9,adam,9,10,0.027405517424509224,1,0.00023582662097327856,2.3710053922737652e-05,9.811810018936162e-05,0.0070790806195810095,1,5,,0,2.674975240238867e-10,1.0000000000000018,0.750331315703474,0.5521449006452005,0.0,0.0,0.0,0.013906509070232442,0.015356647452268954,0.023602763046439705,0.014133784978189538,0.011366631624625808,1.4486824611224285,52.40547730638596,0.06091043722887903,0.18030285704916493,1.0000000000000018,0.750331315703474,0.5521449006452005,0.015356647452268954,0.013906509070232442,0.023602763046439705,0.18030285704916493,0.06091043722887903
