evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1,9.287283914330764e-06,5.791097451450346e-07,3.2908801698422456e-06,2,1.281840871830589e-13,-3.8149317577806783,-0.16655211349260765,-0.22644917761557834
2,0.00026502650994429135,0.0002188905471168731,0.0014540112914717697,55,5.118993469235823e-15,-4.619545239271208,-0.5818048799731839,-0.260811497072755
3,1.288484746535308e-05,2.9930178694760917e-06,1.6402543923223038e-05,6,6.218635851217836e-12,-3.8077148585817504,-0.1669552776596503,-0.22650297820029383
4,9.287175215755497e-06,5.709929063146625e-07,2.9981811954391807e-06,2,1.4076657431319252e-12,-3.8149185483471704,-0.1665529123926406,-0.22644929852995185
5,9.286668069360122e-06,5.820047437814551e-07,2.0807428537229534e-06,2,4.2734440255476194e-11,-3.814855814544463,-0.16655670611763157,-0.22644987276313952
6,1.2818045688543996e-05,3.3510839336320188e-06,2.0417709636862773e-05,19,1.4453977112425342e-13,-3.8121090579194443,-0.1666584638466815,-0.22646130902345632
7,9.286662439282067e-06,5.823103165411854e-07,2.0819651671411272e-06,2,4.313256459586615e-11,-3.814855099850687,-0.16655674871471793,-0.2264498785582197
8,9.28665262978413e-06,5.82849483376273e-07,2.084096948536137e-06,2,4.383067250145124e-11,-3.8148538544816764,-0.16655682294086468,-0.22644988865627683
9,9.282413418140315e-06,3.128517134295666e-06,1.815663900374678e-05,3,8.145690161811327e-11,-3.8141480679129116,-0.16659827854859938,-0.2264555988167668
10,1.2823240164142231e-05,3.3346748785020307e-06,2.0176788726325538e-05,14,7.115406762394929e-15,-3.8112105300054253,-0.16671058329889957,-0.2264675002902968
11,9.282408367040186e-06,3.13064391135997e-06,1.8171193605205706e-05,3,8.157253089036638e-11,-3.814147296689749,-0.1665983237478434,-0.2264556045357413
12,9.28239862480412e-06,3.1347520812164522e-06,1.819930696299196e-05,3,8.179599792125254e-11,-3.814145808943549,-0.1665984109398253,-0.22645561556804336
13,9.278272229081638e-06,9.456355758337137e-06,6.101432001993447e-05,4,2.647879163680014e-11,-3.8133431035624072,-0.16664494688942183,-0.2264615579027399
14,1.286544006401004e-05,3.204908579042575e-06,1.8156523834433628e-05,10,2.1677432861085252e-14,-3.8048027867376977,-0.16708770970640896,-0.22651293096908345
