step,optimizer_phase,optimizer_iteration,optimizer_evaluation,learning_rate,evaluation_success,objective,gradient_rms,gradient_inf,activation_update_rms,forward_converged,forward_iterations,forward_failure,line_search_failures,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv,inverted_cell_fraction,inverted_rest_measure_fraction,negative_det_f_mean,top_target_mae,top_target_rms,top_target_max,top_error_rms,top_highpass_rms,top_slope_rms,top_curvature_rms,activation_neighbor_jump_rms,activation_rms,detF/min,detG/min,detAinv/min,target/rms,target/mae,target/max,activation/rms,activation/neighbor_jump_rms
0,adam,0,1,0.03,1,0.0014813333333333334,3.751803540211842e-05,0.0001016686219521628,0.0,1,1,,0,9.830796932642262e-20,1.0,1.0,1.0,0.0,0.0,0.0,0.03666666666666667,0.038488093396962825,0.05,0.038488093396962825,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.038488093396962825,0.03666666666666667,0.05,0.0,0.0
1,adam,1,2,0.029699999999999997,1,0.0013742019454711465,3.7645074937761755e-05,0.00010188301925580196,0.02995889979951619,1,3,,0,1.8866150553541134e-09,0.9672206129981191,0.9478167635576586,0.9400130245604024,0.0,0.0,0.0,0.03533468563760942,0.037070229908528304,0.04807598234669769,0.03706865977601038,0.0003125155267386845,0.03849440922241174,1.3324923917130096,0.029490279684142036,0.02995889979951619,0.9672206129981191,0.9478167635576586,0.9400130245604024,0.037070229908528304,0.03533468563760942,0.04807598234669769,0.02995889979951619,0.029490279684142036
2,adam,2,3,0.029403,1,0.0012663313882834652,3.7496031540211904e-05,0.00010067796521727282,0.029300219678854735,1,3,,0,2.4543297239083686e-09,0.9313951387208167,0.8958139641311099,0.8805686653281125,0.0,0.0,0.0,0.03394400384061089,0.035585550273720165,0.0460462546050567,0.035578296591863644,0.000646436631481636,0.07955037162342973,2.753455112650428,0.05773763992693601,0.05924238229763159,0.9313951387208167,0.8958139641311099,0.8805686653281125,0.035585550273720165,0.03394400384061089,0.0460462546050567,0.05924238229763159,0.05773763992693601
3,adam,3,4,0.029108969999999998,1,0.0011586778049606438,3.713948782297396e-05,9.843452907616345e-05,0.028702265119561098,1,3,,0,3.1780318554749573e-09,0.8924917273170269,0.8448535248289746,0.8216080474597702,0.0,0.0,0.0,0.03250047183967872,0.03403935670603432,0.043913509031613965,0.034020485976642596,0.0010020041975530279,0.12319504953359317,4.263454308469398,0.08389849156848789,0.08779767760019049,0.8924917273170269,0.8448535248289746,0.8216080474597702,0.03403935670603432,0.03250047183967872,0.043913509031613965,0.08779767760019049,0.08389849156848789
4,adam,4,5,0.028817880299999998,1,0.0010521405651418353,3.657012289864155e-05,9.528980238250584e-05,0.02812460102833718,1,3,,0,3.898234624838577e-09,0.850586856394765,0.7984957821677693,0.7631048233990018,0.0,0.0,0.0,0.031010194100804134,0.03243671631256523,0.04167377918774732,0.03239778570928328,0.0013805536017507125,0.1695139954796495,5.866884367950487,0.10723607325132523,0.11556825863343792,0.850586856394765,0.7984957821677693,0.7631048233990018,0.03243671631256523,0.031010194100804134,0.04167377918774732,0.11556825863343792,0.10723607325132523
5,adam,5,6,0.028529701496999998,1,0.0009476526191415,3.578739707420248e-05,9.138449896189202e-05,0.027722569690992308,1,3,,0,4.3120680833489264e-09,0.8058530765895748,0.7607579458171763,0.7050411614092157,0.0,0.0,0.0,0.029480086224879614,0.030783966916911473,0.039326371508997,0.030713160207885764,0.0017828593482300827,0.2185641285362405,7.567094668387731,0.12794228246113706,0.1426471149673925,0.8058530765895748,0.7607579458171763,0.7050411614092157,0.030783966916911473,0.029480086224879614,0.039326371508997,0.1426471149673925,0.12794228246113706
6,adam,6,7,0.02824440448203,1,0.0008462415870020846,3.47824138706461e-05,8.69675921813641e-05,0.027383386318981053,1,3,,0,4.4381549302122106e-09,0.7588974661593217,0.725266032445522,0.6474191461569625,0.0,0.0,0.0,0.027919060022142173,0.029090231814168904,0.036876162278151894,0.028971255050745617,0.0022084236578017277,0.2702914102379196,9.362361067445194,0.14702287226608612,0.1692243535646331,0.7588974661593217,0.725266032445522,0.6474191461569625,0.029090231814168904,0.027919060022142173,0.036876162278151894,0.1692243535646331,0.14702287226608612
7,adam,7,8,0.027961960437209697,1,0.0007490139429228138,3.35314625918226e-05,8.219996829352573e-05,0.027017576229568647,1,3,,0,4.219805270851387e-09,0.7106199198371267,0.6787260646587697,0.590267633684387,0.0,0.0,0.0,0.026339460417354313,0.027368119097278383,0.034323398213769556,0.027178732477774838,0.0026574346539374317,0.32466413045990655,11.253366523065111,0.16463420047553373,0.19531318765113256,0.7106199198371267,0.6787260646587697,0.590267633684387,0.027368119097278383,0.026339460417354313,0.034323398213769556,0.19531318765113256,0.16463420047553373
8,adam,8,9,0.0276823408328376,1,0.0006571312868623651,3.1991769420764365e-05,7.709892637094436e-05,0.02665263867311677,1,3,,0,3.731040926117001e-09,0.6620740306911636,0.6343358327155567,0.5336577988626089,0.0,0.0,0.0,0.024756991694787987,0.02563457210218975,0.031669979822868045,0.02534481782721599,0.003130066019029781,0.3816219540988658,13.242639421976373,0.180838105129597,0.2209095312379023,0.6620740306911636,0.6343358327155567,0.5336577988626089,0.02563457210218975,0.024756991694787987,0.031669979822868045,0.2209095312379023,0.180838105129597
9,adam,9,10,0.027405517424509224,1,0.0005719262905512219,3.0109283016414845e-05,7.201174140491797e-05,0.02625419500218092,1,3,,0,3.0417404740253253e-09,0.6142887265438868,0.5923864409653785,0.47773055547206633,0.0,0.0,0.0,0.02319367857368149,0.02391498046311604,0.0289294337667742,0.02348546640155622,0.0036249531285466323,0.4409175658440664,15.328605966135322,0.19580902808150172,0.24601162165919466,0.6142887265438868,0.5923864409653785,0.47773055547206633,0.02391498046311604,0.02319367857368149,0.0289294337667742,0.24601162165919466,0.19580902808150172
