evaluation,objective,gradient_rms,gradient_inf,forward_iterations,equilibrium_residual_rms,min_det_f,min_det_g,min_det_ainv
1,7.460385337119863e-05,7.3943113300791475e-06,1.1147839145907932e-05,2,3.795875638938036e-12,0.6518807324243668,0.4471089227610278,0.30149571425606125
2,0.017757486036892735,0.05384121363227101,0.08100763960823082,104,5.854072947656246e-16,-8.596965015799993,-0.12927331129456854,-0.12289002169475152
3,7.460303073946514e-05,7.389959062384328e-06,1.112697194243745e-05,2,1.50418618746399e-12,0.6518700612915326,0.4470920166729498,0.30149611866870074
4,7.226821279056585e-05,5.389486917035142e-05,7.841772060467175e-05,5,7.446956652607525e-12,0.6334298771129808,0.4014509556878075,0.29709710957493835
5,0.0004666799213450221,0.008077184006087635,0.012293033045142513,35,1.3416914641942404e-11,0.5267605586578781,0.09165118856462257,0.17265107499121132
6,6.56906696728596e-05,0.00018853338058032784,0.00026356769789964566,6,2.2789266264371466e-11,0.610757491193557,0.3371971819191527,0.283810850609305
7,6.712397966537772e-05,0.0007504147231842794,0.0011632651309877655,15,4.403607162057421e-13,0.5801536005388398,0.2690848861865615,0.26318830677513516
8,6.384271017859503e-05,0.00035554828318519666,0.0005518056036779703,10,3.5801663503154e-11,0.5976794227421579,0.3066306372970436,0.27543009781494565
9,0.0054223632745975525,0.0018189547793044352,0.0026929851429338112,153,7.380585349272446e-15,-0.8563724671165168,-0.31010811355655715,-1.4199754806912954
10,6.383340751553908e-05,0.0003602167169669071,0.0005593817149572883,3,2.518506201798761e-14,0.5973954774323806,0.3060082832058812,0.2752456312395412
11,6.191238481786782e-05,0.0003690041446253275,0.0005764259710411672,4,1.2694861391362343e-15,0.5957170815071783,0.29978646693005334,0.2743259542445838
12,5.639162912192366e-05,0.0005067588874285139,0.000798546110761083,5,1.9211790562742012e-13,0.5909156531670324,0.2718485181645834,0.2684077994148669
13,4.3383035873487504e-05,0.00039132090608115223,0.0006214739704999443,5,1.1054100721929488e-15,0.6140008275247915,0.24845795081033253,0.26863280281543167
14,3.444657529630126e-05,0.00013641235833909625,0.00017633009196826296,4,9.495376460668009e-11,0.6520574696506841,0.2455801154227777,0.2797302254725724
15,3.258763910755208e-05,0.00040996631163139836,0.0006065375028137009,5,8.750019170661368e-13,0.683530069736556,0.18911764517903457,0.26327533910028283
16,3.1581819263795504e-05,8.00696771162202e-05,0.00012892207237947205,4,2.0984221981123185e-11,0.6695106038995807,0.21665986950834068,0.27241608799616585
17,3.076312530988777e-05,8.912218443321611e-05,0.00013476436366986505,4,3.4489800180774707e-14,0.6855074564036361,0.20243887321609966,0.27078875035579847
18,3.061841357886448e-05,2.6761124897050703e-05,3.82896721400597e-05,3,7.075647094816711e-11,0.6921177770586606,0.20341244763813204,0.27362987802321703
19,3.0607128898128296e-05,1.5318563903882614e-06,2.1263865842609405e-06,3,5.34724343062986e-13,0.6926829422988869,0.20154332886775567,0.27287212725537874
20,3.0607097558270876e-05,3.0180745534391576e-07,3.652956595205756e-07,2,1.7126164800122228e-11,0.6927255511479443,0.20144228317889507,0.27283556359031075
21,3.0607097856940284e-05,2.8000958738344823e-07,3.351600368406752e-07,2,6.140239960566725e-14,0.6927295787766542,0.20143978816824426,0.27283598639989376
22,3.0607100122910797e-05,2.980244950410059e-07,3.600830033799159e-07,2,2.069157470441626e-15,0.6927262578650559,0.20144184916328128,0.27283564227824525
23,3.0607097558270876e-05,3.018049554723256e-07,3.6529138225621476e-07,1,2.3392042058705314e-11,0.6927255511479443,0.20144228487015997,0.2728355658809781
24,3.0607097558270876e-05,3.018069277771981e-07,3.652947568589496e-07,1,1.8132016077524653e-11,0.6927255511479443,0.20144228353581428,0.27283556407372606
25,3.0607097558270876e-05,3.0180734400964186e-07,3.65295469029127e-07,1,1.732001956871298e-11,0.6927255511479443,0.2014422832542177,0.2728355636923288
26,3.0607097558270876e-05,3.0180743185742596e-07,3.652956193337547e-07,1,1.716621110858171e-11,0.6927255511479443,0.20144228319479085,0.27283556361184036
27,3.0607097558270876e-05,3.018074503836517e-07,3.6529565103485045e-07,1,1.7134577098197353e-11,0.6927255511479443,0.20144228318224972,0.2728355635948542
28,3.0607097558270876e-05,3.0180745430557127e-07,3.652956577428093e-07,1,1.7127938662416883e-11,0.6927255511479443,0.20144228317960292,0.27283556359126976
29,3.0607097558270876e-05,3.018074551266124e-07,3.652956591483148e-07,1,1.712653895527143e-11,0.6927255511479443,0.2014422831790446,0.2728355635905131
30,3.0607097558270876e-05,3.018074549513873e-07,3.652956588486955e-07,1,1.712683474302833e-11,0.6927255511479443,0.20144228317916255,0.27283556359067307
31,3.0607097558270876e-05,3.0180745481140156e-07,3.652956586095747e-07,1,1.712706795112704e-11,0.6927255511479443,0.20144228317925564,0.27283556359079914
32,3.0607097558270876e-05,3.0180745470196845e-07,3.652956584222246e-07,1,1.712725186074172e-11,0.6927255511479443,0.20144228317932922,0.2728355635908986
33,3.0607097558270876e-05,3.0180745479075386e-07,3.6529565857390447e-07,1,1.712710633320203e-11,0.6927255511479443,0.2014422831792708,0.27283556359081984
34,3.0607097558270876e-05,3.018074547770755e-07,3.6529565855021465e-07,1,1.712713709126358e-11,0.6927255511479443,0.20144228317928337,0.27283556359083644
35,3.0607097558270876e-05,3.0180745479075386e-07,3.6529565857390447e-07,1,1.712710633320203e-11,0.6927255511479443,0.2014422831792708,0.27283556359081984
